Stress_Period,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Runoff,Storage,Error
337,2908612,888783,391143,-6901172,-415217,0,3127851,0
338,16401213,0,0,-1665932,-2250596,0,-12484685,0
339,17127778,0,0,-482909,-5139964,0,-11504905,0
340,11660808,0,0,-743953,-5499787,0,-5417068,0
341,31111816,0,0,-978944,-24371950,0,-5760922,0
342,6448462,0,0,-11184629,-770792,0,5506959,0
343,7882492,268604,196847,-16346879,-857820,0,8856757,0
344,7886695,6626006,7571599,-22801030,-528703,0,1245433,0
345,0,10718291,12335403,-26402067,-1122648,0,4471021,0
346,0,7866526,12055345,-21968468,-1797161,0,3843758,0
347,7264308,2611061,10735814,-18590483,-2301558,0,280858,0
348,6148836,2559062,1782642,-12173926,-1477645,0,3161031,0
349,2729183,1868580,601997,-8922091,-516679,0,4239011,0
350,2904158,0,0,-1917871,-251134,0,-735153,0
351,15244065,0,0,-521670,-2903190,0,-11819205,0
352,15933425,0,0,-650847,-5829009,0,-9453568,0
353,283413,0,0,-1505948,-97642,0,1320176,0
354,2168073,94139,540883,-12112226,-160276,0,9469407,0
355,1177071,4438279,6571025,-18472146,-64651,0,6350422,0
356,8195330,6749619,7763659,-18205108,-725248,0,-3778252,0
357,4752126,8404823,11043328,-22621255,-1680711,0,101689,0
358,2909254,2185677,15073450,-22309942,-1254580,0,3396141,0
359,534845,1239119,12937050,-14584080,-1015472,0,888539,0
360,0,1028130,2935036,-9541706,-630247,0,6208788,0
361,0,1212689,784253,-6235470,-230815,0,4469343,0
362,11367729,0,0,-2007311,-957686,0,-8402732,0
363,15558372,0,0,-415797,-3839703,0,-11302872,0
364,11646816,0,0,-624697,-3632902,0,-7389217,0
365,15986196,0,0,-1191099,-8686050,0,-6109047,0
366,9670251,17368,212181,-13911730,-3103048,0,7114979,0
367,1215422,3724889,4817687,-19329258,-73903,0,9645163,0
368,849897,9185566,10569322,-23509831,-54958,0,2960005,0
369,3659122,6124803,12461973,-23550308,-854824,0,2159234,0
370,0,1323425,15886184,-18824544,-848670,0,2463604,0
371,3646518,1130775,11517905,-14490686,-1199032,0,-605480,0
372,9361113,333713,2186921,-11992587,-2202160,0,2313000,0
373,14670671,1631500,619018,-8271938,-2708215,0,-5941036,0
374,6118191,0,0,-2273356,-899900,0,-2944935,0
375,27661013,0,0,-402466,-10506984,0,-16751563,0
376,11178977,0,0,-830027,-8115841,0,-2233109,0
377,3106930,0,0,-1401296,-2001915,0,296281,0
378,5951578,2736,82126,-13663877,-639480,0,8266917,0
379,7108643,2349169,2780836,-16281317,-572901,0,4615570,0
380,4815593,7586717,8744891,-21889239,-427396,0,1169434,0
381,8312436,8395254,9635778,-24914671,-2975173,0,1546377,0
382,2025260,0,15744295,-22142278,-1321619,0,5694344,0
383,988844,0,13996786,-14466058,-1059707,0,540134,0
384,878538,0,3114931,-9441299,-678447,0,6126277,0
385,875580,0,1359026,-6546477,-306541,0,4618412,0
386,8782334,0,0,-2550418,-734646,0,-5497270,0
387,33791667,0,0,-304762,-10085511,0,-23401394,0
388,22613174,0,0,-784195,-16314121,0,-5514858,0
389,11851133,0,0,-1292118,-9247457,0,-1311558,0
390,19149931,0,0,-8495921,-13126751,0,2472742,0
391,3008391,965600,948344,-17619838,-168412,0,12865916,0
392,6649291,7436904,8582926,-23811860,-473675,0,1616415,0
393,4678892,8673213,9954242,-24140912,-1362666,0,2197231,0
394,0,8739362,13298221,-23939941,-2032012,0,3934371,0
395,2557434,2998620,10494477,-16425722,-1295093,0,1670283,0
396,4899741,3296348,1677286,-11715071,-1482199,0,3323895,0
397,1978258,1595777,495281,-7829865,-358926,0,4119474,0
398,6303012,0,0,-2457448,-496524,0,-3349040,0
399,13221496,0,0,-361647,-3325649,0,-9534200,0
400,24002398,0,0,-626122,-9358646,0,-14017630,0
401,11111428,0,0,-1100576,-6946614,0,-3064238,0
