Stress_Period,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Runoff,Storage,Error
94,2344699,11393646,8324108,-30022402,-3623295,0,11583243,0
95,306842,7285378,3308620,-21260057,-2526518,0,12885736,0
96,3763795,4576540,2100496,-13202762,-1957644,0,4719574,0
97,7519426,1442711,447436,-8883538,-1197047,0,671012,0
98,43554971,0,0,-2725939,-14121877,0,-26707155,0
99,6587372,0,0,-725295,-3446759,0,-2415318,0
100,24986579,0,0,-975908,-17013580,0,-6997091,0
101,2465321,0,0,-1658177,-1397154,0,590010,0
102,4949309,0,262,-9569492,-864253,0,5484174,0
103,856278,2877293,3384404,-15791101,-32882,0,8706008,0
104,284198,8711899,10328154,-22433020,-46114,0,3154883,0
105,0,10605517,12515735,-22765677,-2052583,0,1697007,0
106,0,10170938,8645698,-22971906,-2756477,0,6911747,0
107,1123400,5878165,2915679,-16896964,-1859863,0,8839583,0
108,0,4872944,2430001,-7847030,-1437463,0,1981549,0
109,6013542,2101087,651622,-6461265,-901857,0,-1403129,0
110,17795032,0,0,-3349503,-3552194,0,-10893335,0
111,5312665,0,0,-718036,-1738291,0,-2856339,0
112,35180875,0,0,-765607,-16749688,0,-17665580,0
113,3489610,0,0,-1317978,-1888747,0,-282885,0
114,9232849,10714,102751,-7206317,-4480183,0,2340186,0
115,14482354,337508,1124632,-17750289,-1763125,0,3568920,0
116,2587126,7615218,9097545,-22836247,-151039,0,3687396,0
117,2008985,4501017,5284985,-11880626,-1109721,0,1195360,0
118,3989482,7085114,6536717,-23740287,-2411689,0,8540662,0
119,350077,2204179,4554322,-18700896,-1443725,0,13036043,0
120,883885,2511574,2733213,-7767493,-802983,0,2441805,0
121,11398943,1452714,450538,-8824571,-1384159,0,-3093465,0
122,3806065,0,0,-2654114,-344581,0,-807370,0
123,5284851,0,0,-712322,-1080066,0,-3492463,0
124,6741824,0,0,-960462,-1547753,0,-4233609,0
125,3750330,0,0,-1125869,-869971,0,-1754490,0
126,11768463,102605,517855,-11969452,-2405290,0,1985820,0
127,4996716,2746870,4479040,-14893450,-325966,0,2996789,0
128,2210440,9938323,11738637,-22829264,-231595,0,-826541,0
129,493376,4225694,15097514,-21212130,-1135602,0,2531148,0
130,2408668,1120078,11328806,-19642258,-1362237,0,6146942,0
131,0,845388,5493764,-6970212,-1214698,0,1845759,0
132,2585536,692418,3535348,-6250738,-1133486,0,570922,0
133,1313505,681611,960578,-4345581,-320877,0,1710765,0
134,30908691,0,0,-1870933,-5684407,0,-23353351,0
135,24642115,0,0,-773367,-11073602,0,-12795147,0
136,18780782,0,0,-992284,-12768217,0,-5020281,0
137,12265877,0,0,-1417372,-8420221,0,-2428284,0
138,2518332,4321,49986,-14275495,-172785,0,11875640,0
139,8206100,2790101,3859940,-15632751,-728409,0,1505019,0
140,1522817,7528920,8917064,-20910567,-98801,0,3040567,0
141,585936,9569255,11136326,-22521045,-1422991,0,2652519,0
142,901875,5284745,8949933,-22432603,-1653065,0,8949116,0
143,0,1796448,4957181,-16063548,-1186589,0,10496508,0
144,687834,1279228,3631803,-6807913,-894155,0,2103203,0
145,0,1360974,662112,-3532047,-239457,0,1748417,0
146,21522996,0,0,-2365953,-3240928,0,-15916115,0
147,72561527,0,0,-765887,-43831704,0,-27963936,0
148,17614457,0,0,-1003649,-15098383,0,-1512425,0
149,25944796,0,0,-3343496,-22340528,0,-260772,0
150,18665194,0,0,-14352732,-6601637,0,2289174,0
151,17230283,51,333,-12977750,-3126777,0,-1126141,0
152,1577937,4856204,5773231,-24552441,-59290,0,12404358,0
153,0,11866546,13866106,-29290855,-1492054,0,5050257,0
154,7023777,9203165,8333712,-28454154,-3506613,0,7400113,0
155,14685089,5630269,2727542,-23681980,-5198605,0,5837684,0
156,419339,4047776,2392853,-11592154,-1383357,0,6115542,0
157,0,1731387,674059,-6543327,-318862,0,4456744,0
158,11148719,0,0,-3268057,-861655,0,-7019007,0
159,20201948,0,0,-761886,-6015264,0,-13424798,0
160,16317429,0,0,-1260928,-6622269,0,-8434232,0
161,51095885,0,0,-2017532,-36202844,0,-12875509,0
162,6989847,0,344,-10857637,-1977670,0,5845117,0
163,3278967,2337614,2602221,-18351517,-178972,0,10311686,0
164,5193901,7120272,8375167,-22206913,-302293,0,1819867,0
165,866227,10752121,12456225,-25598812,-1413379,0,2937618,0
166,794738,6808980,10329433,-26020389,-2039536,0,10126774,0
167,1046969,1735297,4848375,-16187657,-1197925,0,9754940,0
168,0,1670169,3362928,-6996411,-824165,0,2787478,0
169,15772076,1642976,508976,-8308221,-2647609,0,-6968198,0
170,5996809,0,0,-3312261,-496542,0,-2188006,0
171,27706885,0,0,-1195084,-8317677,0,-18194125,0
172,9753292,0,0,-972391,-4710147,0,-4070754,0
173,71742025,0,0,-1465220,-57451677,0,-12825128,0
174,4920519,0,585,-13079816,-538363,0,8697076,0
175,5797288,1770976,1894021,-14835855,-462173,0,5835743,0
176,14136028,5621615,6607095,-21088346,-1396765,0,-3879626,0
177,1678262,7992740,9259310,-21442184,-1734713,0,4246585,0
178,1780889,8183520,8045606,-25970689,-2590942,0,10551615,0
