"kstp","kper","storage_in","constant_head_in","wells_in","drno_drains_in","recharge_in","et_segments_in","stream_leakage_in","total_in","storage_out","constant_head_out","wells_out","drno_drains_out","recharge_out","et_segments_out","stream_leakage_out","total_out","difference","discrepancy"
31,1,11279876,0,2284088.75,0,204529.3125,0,12584347,26352840,5919767,0,421542.4375,288981.9375,0,473667.6875,19266126,26370084,-17244,-0.07
30,2,3894969,0,2210408.75,0,341300.75,0,15438495,21885176,4094223,0,0,254004.5,0,51691.25,17489206,21889124,-3948,0.03
31,3,13253859,0,4568184.25,0,417352.0625,0,30299609,48539000,9106458,0,421542.4375,539501.875,0,479028.5625,38012734,48559268,-20268,-0.06
31,4,5198401,0,4494499.75,0,610564.8125,0,36887943,47191416,7490368,0,0,484800.625,0,109225.6875,39103210,47187596,3820,0.04
28,5,14814549,0,6631224.25,0,853053.0625,0,53199417,75498232,13319970,0,421542.4375,737799,0,610509,60460510,75550340,-52108,-0.08
31,6,7223127,0,6778579.75,0,2377184.9375,0,65168847,81547752,13070120,0,198409.0625,708928.125,0,136219.1875,67534946,81648620,-100868,-0.02
30,7,17107945,0,9869004.25,0,1173513.0625,0,78067329,106217784,14850850,0,3030938.6875,958040.625,0,1047965.1875,86385822,106273620,-55836,-0.06
31,8,8968515,0,10124285.75,0,2634244.6875,0,94777743,116504792,15674270,0,4335071.8125,937485.5,0,822200.1875,94839058,116608076,-103284,-0.01
30,9,24585303,0,10382784.25,0,1908887.8125,0,101007233,137884200,15058998,0,9356928.1875,1173189.25,0,2270336.5625,110145374,138004836,-120636,-0.08
31,10,21872077,0,10655191.75,0,4059717.6875,0,105585855,142172856,15766118,0,15070075.8125,1129826.75,0,2416375.9375,107988850,142371228,-198372,-0.03
31,11,35901231,0,10382784.25,0,2769757.8125,0,107636465,156690216,15079880,0,19584588.1875,1209497.5,0,3660310.0625,117287390,156821668,-131452,-0.08
30,12,26797001,0,10655191.75,0,4631907.6875,0,110800319,152884440,17644098,0,17132035.8125,1151302.75,0,3382757.4375,113770546,153080732,-196292,-0.03
31,13,38583743,0,12666864.25,0,3120259.3125,0,114839217,169210056,19414706,0,20005860.1875,1282423.5,0,4119764.5625,124515166,169337924,-127868,-0.07
30,14,28098237,0,12865591.75,0,6022354.6875,0,123633119,170619320,24491894,0,17132035.8125,1273283,0,3447486.4375,124474066,170818748,-199428,-0.03
31,15,39288387,0,14950944.25,0,4891723.3125,0,136475281,195606312,29458126,0,20005860.1875,1430941.5,0,4121113.0625,140723550,195739620,-133308,-0.06
31,16,28321837,0,15149671.75,0,7837683.6875,0,145661743,196970968,29437390,0,17132035.8125,1431720.5,0,3449233.4375,145703682,197154012,-183044,-0.02
29,17,39975147,0,17087664.25,0,5011058.3125,0,164098929,226172776,36307986,0,20005860.1875,1588328.75,0,4124630.5625,164283614,226310468,-137692,-0.06
31,18,29611037,0,17433751.75,0,8470238.6875,0,174251247,229766296,32292774,0,17601531.8125,1613738.25,0,3460036.4375,175059650,230027676,-261380,-0.03
30,19,42966891,0,20325504.25,0,5339888.3125,0,198124017,266756264,41396034,0,24160348.1875,1771115.25,0,4968232.5625,194652030,266947812,-191548,-0.06
31,20,35825749,0,20779519.75,0,8635282.6875,0,200487215,265727800,32916926,0,24139707.8125,1800751,0,4848914.4375,202364482,266070748,-342948,-0.04
30,21,52367563,0,20839224.25,0,7031888.3125,0,212146289,292384968,41691306,0,31019600.1875,1941856,0,6098366.5625,211839998,292591140,-206172,-0.06
31,22,47108597,0,21310363.75,0,10093483.6875,0,209760335,288272760,32986214,0,34990499.8125,1941358,0,6388983.4375,212356290,288663324,-390564,-0.04
31,23,65599891,0,20839224.25,0,8036908.3125,0,216942961,311419016,41700386,0,43352412.1875,1947068.75,0,7573004.5625,217058462,311631332,-212316,-0.06
30,24,51855309,0,21310363.75,0,10692643.6875,0,213515599,297373880,35458846,0,36679403.8125,1952203.5,0,7220884.4375,216453730,297765084,-391204,-0.04
31,25,67530859,0,23123304.25,0,9168718.3125,0,227703153,327526088,50253618,0,43680604.1875,2025261,0,7823951.5625,223957822,327741220,-215132,-0.06
30,26,52811893,0,23520763.75,0,11230303.6875,0,229727759,317290680,44582814,0,36679403.8125,2058069.25,0,7222988.4375,227145090,317688412,-397732,-0.03
31,27,67924003,0,25407384.25,0,13250736.3125,0,252097553,358679752,62092466,0,43680604.1875,2147440.75,0,7824926.5625,243162206,358907620,-227868,-0.06
31,28,54050949,0,25804843.75,0,23438227.6875,0,260099279,363393208,61233558,0,36679403.8125,2446340.75,0,7224005.4375,256256514,363839836,-446628,-0.03
28,29,70113627,0,27470424.25,0,13621680.3125,0,281719089,392924872,65865938,0,43680604.1875,2383437.75,0,7827709.5625,273474110,393231780,-306908,-0.07
31,30,57747557,0,28088923.75,0,23939311.6875,0,305424015,415199736,70506798,0,36679403.8125,2866496.75,0,7230541.4375,298375234,415658460,-458724,-0.02
30,31,72659131,0,30708264.25,0,14128200.3125,0,318430001,435925640,68060546,0,43719180.1875,2635164.75,0,7882758.5625,314008126,436305764,-380124,-0.08
31,32,59991525,0,31434691.75,0,25031007.6875,0,350764303,467221496,75772078,0,39486131.8125,3163724.25,0,7641334.4375,341615298,467678556,-457060,-0.00999999999999998
30,33,82674795,0,31221984.25,0,15616680.3125,0,355363825,484877320,68975122,0,51745772.1875,2999710.75,0,9213565.5625,352436158,485370340,-493020,-0.09
31,34,71478661,0,31965535.75,0,27211299.6875,0,371884495,502539960,76134030,0,48677779.8125,3603648.75,0,9570696.4375,365074818,503060956,-520996,-0.00999999999999998
31,35,92214827,0,31221984.25,0,17421624.3125,0,366965873,507824328,69074066,0,59730908.1875,3264158.25,0,10506073.5625,365747966,508323172,-498844,-0.09
30,36,76288453,0,31965535.75,0,28195059.6875,0,381519311,517968312,78003166,0,50227851.8125,3800261.25,0,10613596.4375,375846914,518491804,-523492,-0.00999999999999998
31,37,94158683,0,33506064.25,0,17973920.3125,0,382055217,527693896,73963282,0,60050020.1875,3460494.25,0,11036413.5625,379686270,528196452,-502556,-0.09
30,38,77076421,0,34175935.75,0,28376739.6875,0,399644047,539273144,82809214,0,50227851.8125,3977687.75,0,10869904.4375,391914242,539798940,-525796,-0.00999999999999998
31,39,94678219,0,35790144.25,0,19526772.3125,0,405369457,555364552,79531346,0,60050020.1875,3649549.75,0,11037695.5625,401593598,555862116,-497564,-0.08
31,40,77555349,0,36460015.75,0,30746751.6875,0,425087247,569849400,88439662,0,50227851.8125,4172871.25,0,10871226.4375,416690754,570402460,-553060,-0.00999999999999998
28,41,95620331,0,37853184.25,0,19579972.3125,0,427970161,581023688,81332898,0,60050020.1875,3835418.25,0,11040551.5625,425307518,581566308,-542620,-0.09
31,42,78444885,0,38744095.75,0,30888235.6875,0,452865487,600942648,90777582,0,50901435.8125,4385977.25,0,11178016.4375,444284802,601527964,-585316,-0.00999999999999998
30,43,99063163,0,41091024.25,0,19619572.3125,0,453436273,613210056,83325330,0,64399292.1875,4040481.75,0,12076823.5625,449987966,613829732,-619676,-0.09
31,44,81445925,0,42089863.75,0,31241263.6875,0,481860943,636638008,92992350,0,56971379.8125,4592201.25,0,12393068.4375,470350210,637299356,-661348,-0.00999999999999998
30,45,111010043,0,41604864.25,0,20242612.3125,0,468721649,641579208,83406754,0,73552588.1875,4212676.75,0,13785737.5625,467290238,642247780,-668572,-0.09
31,46,97076005,0,42620831.75,0,32182299.6875,0,488996495,660875576,93021342,0,71481779.8125,4603885.25,0,14329706.4375,478104386,661541276,-665700,-0.00999999999999998
31,47,123565019,0,41604864.25,0,21196296.3125,0,472516337,658882504,83447778,0,85416908.1875,4214624.75,0,15027443.5625,471448126,659554660,-672156,-0.09
30,48,102052405,0,42620831.75,0,32828979.6875,0,491836175,669338424,94881630,0,74008547.8125,4608016.25,0,15118620.4375,481389890,670006940,-668516,-0.00999999999999998
31,49,126443963,0,43888944.25,0,21381056.3125,0,476126513,667840456,87501522,0,85910940.1875,4233610.75,0,15534055.5625,475333694,668513636,-673180,-0.09
30,50,103317317,0,44831231.75,0,34920939.6875,0,497453071,680522552,100908014,0,74008547.8125,4679778.25,0,15119468.4375,486477634,681193628,-671076,-0.00999999999999998
31,51,127281067,0,46173024.25,0,23144956.3125,0,488748017,685347016,96105474,0,85910940.1875,4332592.75,0,15535171.5625,484145982,686029924,-682908,-0.09
31,52,105768373,0,47115311.75,0,65389723.6875,0,545389839,763663288,149048702,0,74008547.8125,5731072.25,0,15119822.4375,520465602,764373916,-710628,-0.00999999999999998
28,53,136130731,0,48236064.25,0,23306012.3125,0,527600049,735272776,102307682,0,85910940.1875,4975772.75,0,15540481.5625,527285502,736020196,-747420,-0.09
31,54,109532101,0,49399391.75,0,80948003.6875,0,591145295,831024824,164068638,0,74008547.8125,6918428.25,0,15122766.4375,571663746,831782300,-757476,-0.00999999999999998
30,55,141776875,0,51473904.25,0,23999372.3125,0,565959473,783209544,104939266,0,85918620.1875,5484062.75,0,15547049.5625,572083838,783972708,-763164,-0.08
31,56,113066965,0,52745159.75,0,81378035.6875,0,634271055,881461304,166362430,0,77616499.8125,7339400.25,0,15348754.4375,615550850,882218012,-756708,-0.00999999999999998
30,57,149393387,0,51987744.25,0,25035692.3125,0,604002993,830419656,105645314,0,93043164.1875,5898910.75,0,16425135.5625,610205438,831217892,-798236,-0.08
31,58,121401717,0,53276127.75,0,84374123.6875,0,662965583,922017720,166934686,0,85779171.8125,7943171.25,0,17018584.4375,645186946,922862620,-844900,-0.00999999999999998
31,59,162141227,0,51987744.25,0,26894948.3125,0,617889329,858913096,105712386,0,102572732.1875,6266092.75,0,18246219.5625,626954878,859752292,-839196,-0.08
30,60,126707605,0,53276127.75,0,85307003.6875,0,673778767,939069624,168713950,0,87286147.8125,8181785.25,0,18126124.4375,657607938,939915932,-846308,-0.00999999999999998
31,61,164292043,0,54271824.25,0,27181140.3125,0,633441713,879186504,109899810,0,102983356.1875,6494084.75,0,18957215.5625,641693438,880027876,-841372,-0.08
30,62,127608245,0,55486527.75,0,85450043.6875,0,693203791,961748792,173291998,0,87286147.8125,8372053.25,0,18425384.4375,675190402,962566044,-817252,-0.00999999999999998
31,63,166864523,0,56555904.25,0,41300772.3125,0,672196913,936917960,133632546,0,102983356.1875,7034176.75,0,18958071.5625,675212030,937820132,-902172,-0.08
31,64,129642837,0,57770607.75,0,121580219.6875,0,728718415,1037712184,195036382,0,87286147.8125,10533817.25,0,18426128.4375,727299330,1038581788,-869604,-0.00999999999999998
29,65,174701707,0,58692624.25,0,42954004.3125,0,717555505,993903816,138420738,0,102983356.1875,8219780.75,0,18962091.5625,726257918,994843876,-940060,-0.08
31,66,135311989,0,60054687.75,0,121958171.6875,0,767478095,1084803000,195862014,0,87286147.8125,11152037.25,0,18432972.4375,772996610,1085729820,-926820,-0.00999999999999998
30,67,178337547,0,61930464.25,0,43450324.3125,0,756389809,1040108104,142002978,0,103064956.1875,8749194.75,0,19063827.5625,768231934,1041112804,-1004700,-0.08
31,68,141535029,0,63400455.75,0,122269659.6875,0,807910479,1135115704,198453886,0,91906835.8125,11598871.25,0,19123796.4375,815028354,1136111900,-996196,-0.00999999999999998
30,69,190912299,0,62444304.25,0,43876564.3125,0,784372145,1081605192,142032130,0,112083148.1875,9091136.75,0,21050911.5625,798469502,1082726628,-1121436,-0.09
31,70,153746037,0,63931423.75,0,124236795.6875,0,825652431,1167566776,198612158,0,102947731.8125,12005033.25,0,21396616.4375,833630466,1168592156,-1025380,-0.00999999999999998
31,71,203736267,0,62444304.25,0,45080356.3125,0,793260977,1104521800,142039586,0,123741276.1875,9208040.75,0,22856567.5625,807804542,1105649892,-1128092,-0.08
30,72,159035349,0,63931423.75,0,124969755.6875,0,832624207,1180560824,201628062,0,104432739.8125,12074335.25,0,22401528.4375,841047682,1181584412,-1023588,-0.00999999999999998
31,73,206118539,0,64728384.25,0,45739044.3125,0,806959409,1123545160,148819554,0,124120172.1875,9383258.75,0,23200883.5625,819151102,1124675044,-1129884,-0.08
30,74,159984437,0,66141823.75,0,128821755.6875,0,870129999,1225078200,222571550,0,104432739.8125,12287615.25,0,22538528.4375,864289666,1226119964,-1041764,-0.00999999999999998
31,75,211349931,0,67012464.25,0,75923124.3125,0,856667825,1210953288,180912834,0,124120172.1875,11196340.75,0,23201507.5625,872690046,1212121060,-1167772,-0.08
31,76,171229557,0,68425903.75,0,153276539.6875,0,917525711,1310457784,238545886,0,104432739.8125,15570265.25,0,22540460.4375,930469634,1311558684,-1100900,-0.00999999999999998
28,77,220571371,0,69075504.25,0,76129204.3125,0,887870897,1253646920,181475362,0,124120172.1875,11902220.75,0,23204811.5625,914199422,1254902244,-1255324,-0.08
31,78,174803861,0,70709983.75,0,154287387.6875,0,950675535,1350476728,239662590,0,104432739.8125,16201791.25,0,22552492.4375,968773762,1351623196,-1146468,-0.00999999999999998
30,79,225846923,0,72313104.25,0,76331284.3125,0,920717361,1295208776,184789986,0,125964700.1875,12393936.75,0,23573663.5625,949846398,1296568804,-1360028,-0.08
31,80,183646869,0,74055503.75,0,154341947.6875,0,980790351,1392834488,239961662,0,112664563.8125,16581237.25,0,23988416.4375,1000891138,1394086940,-1252452,-0.02
30,81,234687435,0,72826704.25,0,78168724.3125,0,943097009,1328780104,185048258,0,133614876.1875,12880668.75,0,25386459.5625,973256830,1330187236,-1407132,-0.08
31,82,191521365,0,74586223.75,0,155625099.6875,0,996028111,1417760440,239999518,0,118808851.8125,16969603.25,0,25106352.4375,1018140674,1419024924,-1264484,-0.02
31,83,238239531,0,72826704.25,0,79590260.3125,0,956960177,1347617096,187034466,0,134295468.1875,13184410.75,0,25437195.5625,989075838,1349027300,-1410204,-0.08
30,84,193889141,0,74586223.75,0,156446379.6875,0,1010125007,1435046328,241197950,0,118935091.8125,17264771.25,0,25107328.4375,1033807618,1436312860,-1266532,-0.02
31,85,239027915,0,75110784.25,0,81503332.3125,0,976200753,1371843144,191823458,0,134318284.1875,13557000.75,0,25437619.5625,1008121470,1373257700,-1414556,-0.08
30,86,194083253,0,76796623.75,0,162307659.6875,0,1032937167,1466124216,248289470,0,118935091.8125,17752435.25,0,25107568.4375,1057317890,1467402524,-1278308,-0.00999999999999998
31,87,239733515,0,77394864.25,0,84811156.3125,0,1001066033,1403006024,195052130,0,134318284.1875,13987038.75,0,25438859.5625,1035639550,1404435684,-1429660,-0.08
31,88,196106645,0,79080703.75,0,184555723.6875,0,1072517071,1532259768,270457886,0,118935091.8125,19202105.25,0,25107924.4375,1099848706,1533551900,-1292132,-0.00999999999999998
28,89,245496267,0,79457904.25,0,84924948.3125,0,1038053809,1447933256,196790082,0,134318284.1875,14510574.75,0,25442031.5625,1078325246,1449386212,-1452956,-0.08
31,90,201046037,0,81364783.75,0,188159659.6875,0,1120653135,1591223224,279303134,0,118935091.8125,20300053.25,0,25112220.4375,1148912386,1592562972,-1339748,-0.00999999999999998
30,91,251296843,0,82695504.25,0,85050708.3125,0,1075138481,1494181960,198586498,0,134431084.1875,15002322.75,0,25486327.5625,1122199806,1495705828,-1523868,-0.08
31,92,205713909,0,84710303.75,0,189097099.6875,0,1162224463,1641745336,281579518,0,121413507.8125,20765113.25,0,25311684.4375,1194095618,1643165724,-1420388,-0.00999999999999998
30,93,257586987,0,83209104.25,0,86673108.3125,0,1117262513,1544732232,199650850,0,141914748.1875,15478158.75,0,26382339.5625,1162864382,1546290148,-1557916,-0.08
31,94,215574805,0,85241023.75,0,191839979.6875,0,1193242447,1685897656,281871486,0,131921379.8125,21409845.25,0,27895940.4375,1224365826,1687464732,-1567076,-0.02
31,95,269988107,0,83209104.25,0,88742420.3125,0,1133508529,1575448648,199661090,0,152014268.1875,15898326.75,0,28372063.5625,1181104382,1577049828,-1601180,-0.08
30,96,219982997,0,85241023.75,0,193151339.6875,0,1206781263,1705156024,284048318,0,133371235.8125,21669305.25,0,28957036.4375,1238679554,1706725660,-1569636,-0.02
31,97,271523531,0,85493184.25,0,89627284.3125,0,1153755825,1600400456,205331138,0,152326716.1875,16148802.75,0,28758391.5625,1199439358,1602004196,-1603740,-0.08
30,98,220686709,0,87451423.75,0,205349099.6875,0,1237359951,1750846392,301148286,0,133371235.8125,22319177.25,0,28957912.4375,1266635778,1752432668,-1586276,-0.02
31,99,274813707,0,87777264.25,0,93818484.3125,0,1187947441,1644357704,210262274,0,152326716.1875,16667674.75,0,28759711.5625,1238049022,1646065124,-1707420,-0.08
31,100,222139349,0,89735503.75,0,223539403.6875,0,1273041487,1808454840,314819582,0,133371235.8125,23575637.25,0,28959504.4375,1309329154,1810055196,-1600356,-0.02
28,101,279144939,0,89840304.25,0,95181300.3125,0,1225172401,1689339720,213655426,0,152326716.1875,17298350.75,0,28764339.5625,1279016702,1691061476,-1721756,-0.07
31,102,226460853,0,92019583.75,0,224248683.6875,0,1313082191,1855810488,316116862,0,133371235.8125,24157721.25,0,28970432.4375,1354887938,1857504284,-1693796,-0.03
30,103,283162699,0,93077904.25,0,95212020.3125,0,1262272433,1733725768,216168130,0,153877724.1875,17745114.75,0,29190415.5625,1318504190,1735485412,-1759644,-0.07
31,104,232111989,0,95365103.75,0,224262571.6875,0,1355721807,1907460792,318941310,0,140774243.8125,24518569.25,0,30367696.4375,1394537474,1909139484,-1678692,-0.02
30,105,291647339,0,93591504.25,0,96215220.3125,0,1299609265,1781064008,216578690,0,162747548.1875,18136166.75,0,31480759.5625,1353960958,1782903780,-1839772,-0.08
31,106,244721845,0,95895823.75,0,226464811.6875,0,1377110095,1944191928,319125918,0,151366243.8125,25063945.25,0,32645864.4375,1417731330,1945933596,-1741668,-0.02
31,107,301476619,0,93591504.25,0,97791508.3125,0,1311801009,1804661320,216609762,0,171606428.1875,18447042.75,0,33014927.5625,1366879998,1806557924,-1896604,-0.08
30,108,249459253,0,95895823.75,0,227477611.6875,0,1388175439,1961007544,321443742,0,153039587.8125,25279829.25,0,33824516.4375,1429151234,1962739228,-1731684,-0.02
31,109,303523979,0,95875584.25,0,98460116.3125,0,1327534001,1825394248,221638178,0,172060636.1875,18654510.75,0,33652051.5625,1381287934,1827293156,-1898908,-0.08
30,110,250017589,0,98106223.75,0,230129131.6875,0,1411851087,1990103480,330332190,0,153039587.8125,25485889.25,0,33826196.4375,1449158658,1991842588,-1739108,-0.02
31,111,304219723,0,98159664.25,0,99646548.3125,0,1353088433,1855114824,225578658,0,172060636.1875,18872234.75,0,33653291.5625,1406858238,1857022948,-1908124,-0.07
31,112,251401589,0,100390303.75,0,244148075.6875,0,1446907727,2042847160,346564638,0,153039587.8125,26150345.25,0,33826940.4375,1485053698,2044635164,-1788004,-0.02
29,113,306905675,0,100296384.25,0,101022772.3125,0,1387926705,1896152136,229610210,0,172060636.1875,19303226.75,0,33656307.5625,1443459838,1898090212,-1938076,-0.07
31,114,252787573,0,102674383.75,0,246976267.6875,0,1484205903,2086643640,348448862,0,153039587.8125,26666189.25,0,33829916.4375,1526488578,2088473116,-1829476,-0.02
