Stress_Period,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Runoff,Storage,Error
95,306842,5198077,6075440,-22438004,-23421,0,10881068,0
96,3763795,0,0,-14578157,-394488,0,11208850,0
97,7519426,1442711,447436,-9763960,-562562,0,916949,0
98,43554971,0,0,-2725939,-8754071,0,-32074961,0
99,6587372,0,0,-725295,-3684995,0,-2177082,0
100,24986579,0,0,-975908,-19911989,0,-4098682,0
101,2465321,0,0,-1658177,-1822922,0,1015777,0
102,4949309,0,262,-9569492,-1105136,0,5725057,0
103,856278,2129852,2319181,-15791063,-32120,0,10517872,0
104,284198,8711899,10328154,-22433020,-43459,0,3152228,0
105,0,10605517,12515735,-22765677,-1519172,0,1163596,0
106,0,10921475,14020606,-22981022,-2650454,0,689396,0
107,1123400,4003902,5400887,-19002293,-42102,0,8516206,0
108,0,0,0,-10704773,0,0,10704773,0
109,6013542,2101087,651622,-7802396,-492206,0,-471648,0
110,17795032,0,0,-3349503,-1630618,0,-12814911,0
111,5312665,0,0,-718036,-886975,0,-3707654,0
112,35180875,0,0,-765607,-14812788,0,-19602480,0
113,3489610,0,0,-1317978,-1909974,0,-261658,0
114,9232849,0,1504,-7206317,-4705872,0,2677836,0
115,14482354,20980,72892,-17750289,-1964285,0,5138348,0
116,2587126,5801802,6922785,-22836178,-118657,0,7643122,0
117,2008985,4501017,5284985,-11880626,-240051,0,325690,0
118,3989482,7713320,10576497,-23741081,-1538841,0,3000623,0
119,350077,2159044,6583686,-19547593,-13120,0,10467906,0
120,883885,0,0,-9696361,-36357,0,8848833,0
121,11398943,1452714,450538,-9800381,-869465,0,-2632350,0
122,3806065,0,0,-2654114,-276560,0,-875391,0
123,5284851,0,0,-712322,-433226,0,-4139303,0
124,6741824,0,0,-960462,-726760,0,-5054602,0
125,3750330,0,0,-1125869,-508832,0,-2115629,0
126,11768463,102605,517855,-11969452,-1742874,0,1323404,0
127,4996716,2746870,4479040,-14893450,-327640,0,2998463,0
128,2210440,9938323,11738637,-22829264,-198835,0,-859300,0
129,493376,4225694,15097514,-21212130,-766159,0,2161705,0
130,2408668,1120078,17300431,-20009029,-1196283,0,376134,0
131,0,845388,7908590,-15935489,0,0,7181512,0
132,2585536,0,0,-7521194,-187472,0,5123130,0
