               Stress_Period  Alfalfa_Irrigated             Grain_Irrigated               Pasture_Irrigated             Native_Vegetation             Urban_Barren                  Water                         
 110                0.00                0.00                0.00          7217608.54                0.00                0.00
 111                0.00                0.00                0.00          4446356.74                0.00                0.00
 112                0.00                0.00                0.00          4527823.27                0.00                0.00
 113                0.00                0.00                0.00          8260215.32                0.00                0.00
 114                0.00                0.00                0.00          8866495.44                0.00                0.00
 115                0.00                0.00                0.00         21417327.99                0.00                0.00
 116                0.00                0.00                0.00         22003079.88                0.00                0.00
 117                0.00                0.00                0.00          2645679.81                0.00                0.00
 118                0.00                0.00                0.00          3791494.11                0.00                0.00
 119                0.00                0.00                0.00           336956.66                0.00                0.00
 120                0.00                0.00                0.00           850759.00                0.00                0.00
 121                0.00                0.00                0.00          7370930.50                0.00                0.00
 122                0.00                0.00                0.00          5242711.59                0.00                0.00
 123                0.00                0.00                0.00          4436361.72                0.00                0.00
 124                0.00                0.00                0.00          5925457.80                0.00                0.00
 125                0.00                0.00                0.00          5881163.13                0.00                0.00
 126                0.00                0.00                0.00         10887099.18                0.00                0.00
 127                0.00                0.00                0.00          4723421.67                0.00                0.00
 128                0.00                0.00                0.00          2121717.20                0.00                0.00
 129                0.00                0.00                0.00           474885.18                0.00                0.00
 130                0.00                0.00                0.00          2291071.24                0.00                0.00
 131                0.00                0.00                0.00                0.00                0.00                0.00
 132                0.00                0.00                0.00          2421213.06                0.00                0.00
 133                0.00                0.00                0.00          1255728.75                0.00                0.00
 134                0.00                0.00                0.00          4901928.85                0.00                0.00
 135                0.00                0.00                0.00          4530289.45                0.00                0.00
 136                0.00                0.00                0.00          5986012.51                0.00                0.00
 137                0.00                0.00                0.00          8164639.37                0.00                0.00
 138                0.00                0.00                0.00         17508173.17                0.00                0.00
 139                0.00                0.00                0.00         16627796.10                0.00                0.00
 140                0.00                0.00                0.00         15958781.77                0.00                0.00
 141                0.00                0.00                0.00          1624301.27                0.00                0.00
 142                0.00                0.00                0.00           868074.97                0.00                0.00
 143                0.00                0.00                0.00                0.00                0.00                0.00
 144                0.00                0.00                0.00           662056.26                0.00                0.00
 145                0.00                0.00                0.00                0.00                0.00                0.00
 146                0.00                0.00                0.00          5714730.62                0.00                0.00
 147                0.00                0.00                0.00          4518692.33                0.00                0.00
 148                0.00                0.00                0.00          6001371.56                0.00                0.00
 149                0.00                0.00                0.00         19178444.73                0.00                0.00
 150                0.00                0.00                0.00         17817594.09                0.00                0.00
 151                0.00                0.00                0.00         15799784.20                0.00                0.00
 152                0.00                0.00                0.00         27006522.54                0.00                0.00
 153                0.00                0.00                0.00         13211601.54                0.00                0.00
 154                0.00                0.00                0.00          6625634.39                0.00                0.00
 155                0.00                0.00                0.00         13538339.98                0.00                0.00
 156                0.00                0.00                0.00           403623.52                0.00                0.00
 157                0.00                0.00                0.00                0.00                0.00                0.00
 158                0.00                0.00                0.00          6978841.21                0.00                0.00
 159                0.00                0.00                0.00          4506132.55                0.00                0.00
 160                0.00                0.00                0.00          7506329.66                0.00                0.00
 161                0.00                0.00                0.00         11481392.43                0.00                0.00
