Stress_Period,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Runoff,Storage,Error
1,4066513,1129531,374104,-9289338,-258199,0,3977390,0
2,5971931,0,0,-4604448,-445711,0,-921772,0
3,3847915,0,0,-2275324,-274418,0,-1298173,0
4,4629442,0,0,-2441013,-336803,0,-1851627,0
5,4771590,0,0,-2655830,-507505,0,-1608255,0
6,16933489,20656,180522,-15618136,-1938786,0,422254,0
7,6318744,1256048,2167682,-11676496,-399362,0,2333385,0
8,5365874,2899435,3644575,-11055874,-311992,0,-542019,0
9,5838298,4484970,5637584,-13740495,-695739,0,-1524618,0
10,4285536,3665834,9245842,-16676106,-1364379,0,843272,0
11,1465048,1589535,8793778,-12103324,-696408,0,951370,0
12,372378,1403254,1599585,-7859041,-449521,0,4933345,0
13,3438474,874497,361383,-6868548,-361805,0,2555998,0
14,13615465,0,0,-3353556,-1532780,0,-8729129,0
15,10055835,0,0,-2312862,-1871208,0,-5871765,0
16,9275055,0,0,-3114145,-1853664,0,-4307246,0
17,662721,0,0,-4252805,-113512,0,3703596,0
18,7735621,69985,481571,-14273278,-719657,0,6705757,0
19,6684325,1929369,3663601,-12777023,-405581,0,905309,0
20,2337380,4647109,5841393,-12075841,-140813,0,-609228,0
21,12947687,3823346,6176469,-20420711,-1591763,0,-935026,0
22,1389836,4111959,9434609,-15000577,-1268312,0,1332486,0
23,0,1105998,10723667,-12058667,-786886,0,1015889,0
24,858482,2357297,1358477,-8878986,-482652,0,4787383,0
25,12384493,947494,286795,-9851822,-1233471,0,-2533489,0
26,5827405,0,0,-5235451,-591729,0,-225,0
27,22447534,0,0,-2377493,-4334368,0,-15735674,0
28,26584368,0,0,-2380185,-12343748,0,-11860436,0
29,874791,0,0,-3435227,-328919,0,2889354,0
30,9874164,0,0,-14391434,-623329,0,5140600,0
31,9819852,22415,38240,-17700042,-633619,0,8453153,0
32,19484765,2015775,2368685,-21719787,-1364516,0,-784923,0
33,4549767,5732444,7205652,-20911825,-1336132,0,4760094,0
34,0,6529213,8343676,-13151595,-1814178,0,92884,0
35,4894143,3988514,7196158,-14969260,-1580211,0,470657,0
36,1182363,2837696,1391258,-10326393,-919811,0,5834886,0
37,3719191,921075,278798,-7955715,-537599,0,3574249,0
38,3452041,0,0,-2127552,-228835,0,-1095655,0
39,12999486,0,0,-2342191,-1674593,0,-8982702,0
40,10455993,0,0,-2338014,-2264788,0,-5853190,0
41,265088,0,0,-3415040,-45881,0,3195832,0
42,3216089,87859,586918,-12887234,-166476,0,9162844,0
43,1114022,1994263,3848064,-8625650,-41960,0,1711260,0
44,7945150,4316014,5425207,-15237106,-414892,0,-2034373,0
45,0,5208337,8300440,-12648111,-501864,0,-358801,0
46,0,1602004,12664763,-14764039,-800172,0,1297444,0
47,0,879077,10390406,-10626951,-733624,0,91092,0
48,1028069,730558,2036774,-8470667,-518318,0,5193584,0
49,143110,807472,421197,-3839065,-146213,0,2613501,0
50,19999844,0,0,-4298140,-2312435,0,-13389269,0
51,9471551,0,0,-2341390,-1777230,0,-5352931,0
52,54559077,0,0,-1629271,-31726773,0,-21203033,0
53,304852,0,0,-5450327,-132062,0,5277538,0
54,29760083,0,0,-11648507,-15555905,0,-2555670,0
55,13849492,538,7751,-18175230,-858288,0,5175737,0
56,9268192,2505483,3147919,-25610287,-517219,0,11205911,0
57,6965293,5048970,6346530,-22350659,-977781,0,4967647,0
58,8377836,5869137,7377474,-18874448,-2654780,0,-95219,0
59,0,5107170,8635132,-13160389,-1535771,0,953857,0
60,310946,2788716,1340432,-9293537,-823615,0,5677057,0
61,114488,1185446,358820,-5746455,-251781,0,4339483,0
62,3265349,0,0,-3008572,-167993,0,-88785,0
