Stress_Period,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Runoff,Storage,Error
94,2344699,14276190,15139868,-30023072,-7050341,0,5312657,0
95,306842,8978785,14942725,-22431750,-5172170,0,3375569,0
96,3763795,5096737,2416595,-15884105,-2536350,0,7143328,0
97,7519426,1669338,510543,-10058557,-1376046,0,1735295,0
98,43554971,0,0,-2725939,-17078352,0,-23750680,0
99,6587372,0,0,-725295,-5159742,0,-702335,0
100,24986579,0,0,-975908,-22287120,0,-1723551,0
101,2465321,0,0,-1658177,-1822922,0,1015777,0
102,4949309,0,291,-9569492,-1105136,0,5725028,0
103,856278,2431815,2583034,-15791042,-32165,0,9952080,0
104,284198,10019160,11540819,-22433020,-616408,0,1205251,0
105,0,12198029,13985708,-22765677,-4324956,0,906896,0
106,0,11937218,15780829,-22980584,-4964044,0,226581,0
107,1123400,6085156,13698480,-18954301,-2804760,0,852025,0
108,0,5021700,2983332,-13933195,-1773547,0,7701710,0
109,6013542,2431135,743528,-9957312,-1039304,0,1808411,0
110,17795032,0,0,-3349503,-3578232,0,-10867297,0
111,5312665,0,0,-718036,-1778537,0,-2816092,0
112,35180875,0,0,-765607,-19757278,0,-14657990,0
113,3489610,0,0,-1317978,-2517851,0,346219,0
114,9232849,0,0,-7206317,-5597141,0,3570609,0
115,14482354,23355,34112,-17750245,-1991750,0,5202173,0
116,2587126,6372173,7294409,-22836122,-123811,0,6706225,0
117,2008985,5177144,5905883,-11880626,-689892,0,-521494,0
118,3989482,8487219,11895081,-23740777,-3508369,0,2877365,0
119,350077,2204179,16572760,-19378023,-2312811,0,2563819,0
120,883885,2527084,3261789,-12512090,-1334616,0,7173949,0
121,11398943,1680912,514083,-10422552,-1513670,0,-1657717,0
122,3806065,0,0,-2654114,-344581,0,-807370,0
123,5284851,0,0,-712322,-1038625,0,-3533904,0
124,6741824,0,0,-960462,-1604936,0,-4176425,0
125,3750330,0,0,-1125869,-939495,0,-1684966,0
126,11768463,11230,103806,-11969452,-2780751,0,2866705,0
127,4996716,2745684,3382199,-14893450,-394225,0,4163076,0
128,2210440,11430424,13105166,-22829264,-1331521,0,-2585244,0
129,493376,4248575,17184355,-21229162,-2849835,0,2152692,0
130,2408668,1120078,19500071,-20336162,-2664959,0,-27697,0
131,0,845388,18848562,-16477338,-2371010,0,-845601,0
132,2585536,692418,4085748,-12587606,-1751087,0,6974992,0
133,1313505,681611,1134607,-7992947,-494495,0,5357720,0
134,30908691,0,0,-2406428,-6061221,0,-22441042,0
135,24642115,0,0,-773367,-13173084,0,-10695665,0
136,18780782,0,0,-992284,-16211880,0,-1576618,0
137,12265877,0,0,-1417372,-10357287,0,-491219,0
138,2518332,1527,7506,-14275495,-207599,0,11955728,0
139,8206100,3040455,3363638,-15632751,-796672,0,1819230,0
140,1522817,8659353,9955162,-20910567,-792478,0,1565712,0
141,585936,11006729,12434255,-22521045,-3951387,0,2445511,0
142,901875,5309071,16391530,-22424834,-3361020,0,3183379,0
143,0,1796448,17504570,-17464697,-2285132,0,448812,0
144,687834,1279228,4227954,-12606689,-1496771,0,7908443,0
145,0,1526345,760399,-7193346,-406051,0,5312654,0
146,21522996,0,0,-2671685,-3263344,0,-15587967,0
147,72561527,0,0,-765887,-52331838,0,-19463802,0
148,17614457,0,0,-1003649,-16468783,0,-142026,0
149,25944796,0,0,-3343496,-22543904,0,-57396,0
150,18665194,0,0,-14352732,-6601637,0,2289174,0
151,17230283,59,378,-12977752,-3126811,0,-1126157,0
152,1577937,5583781,6443874,-24552449,-63166,0,11010023,0
153,0,13648781,15481747,-29290855,-4111489,0,4271816,0
154,7023777,11061126,15007787,-28455333,-5626168,0,988811,0
155,14685089,7496684,11614105,-23933103,-10095542,0,232766,0
156,419339,4064461,2966046,-13927390,-2019025,0,8496569,0
157,0,1980721,771942,-8944010,-465841,0,6657189,0
158,11148719,0,0,-3310408,-861655,0,-6976656,0
159,20201948,0,0,-761886,-6079960,0,-13360102,0
160,16317429,0,0,-1260928,-7088047,0,-7968454,0
161,51095885,0,0,-2017532,-44892064,0,-4186288,0
162,6989847,0,382,-10857637,-2114223,0,5981631,0
