Stress_Period,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Runoff,Storage,Error
1,4066513,1467573,591115,-7686549,-307525,0,1868873,0
2,5971931,0,0,-2751017,-537457,0,-2683458,0
3,3847915,0,0,-709098,-343679,0,-2795138,0
4,4629442,0,0,-947483,-438102,0,-3243857,0
5,4771590,0,0,-1235589,-641194,0,-2894806,0
6,16933489,18716,183214,-11716761,-3001096,0,-2417562,0
7,6318744,1769953,2753361,-12668689,-715707,0,2542338,0
8,5365874,4879620,5806371,-15278794,-575865,0,-197206,0
9,5838298,7522271,8951048,-19177033,-1166664,0,-1967919,0
10,4285536,3899153,12665008,-20411127,-1837975,0,1399405,0
11,1465048,1619622,11321820,-14404600,-1102691,0,1100800,0
12,372378,1435289,2697889,-9387739,-694465,0,5576648,0
13,3438474,1245283,542658,-7077064,-660495,0,2511143,0
14,13615465,0,0,-2147765,-2644626,0,-8823074,0
15,10055835,0,0,-699281,-3207254,0,-6149300,0
16,9275055,0,0,-953252,-3286855,0,-5034948,0
17,662721,0,0,-1272687,-228220,0,838186,0
18,7735621,74822,491870,-10643279,-1591328,0,3932295,0
19,6684325,2876160,4852966,-15896400,-949907,0,2432856,0
20,2337380,7841303,9342452,-20778352,-471587,0,1728802,0
21,12947687,6038399,9863440,-24996554,-2639550,0,-1213422,0
22,1389836,4405422,12992050,-19876734,-1669845,0,2759272,0
23,0,1105998,13902759,-14789351,-1167901,0,948494,0
24,858482,2630676,2395364,-10958802,-817259,0,5891540,0
25,12384493,1286483,456573,-9109763,-2430143,0,-2587643,0
26,5827405,0,0,-2965809,-1171837,0,-1689759,0
27,22447534,0,0,-739706,-7501170,0,-14206658,0
28,26584368,0,0,-741598,-15811695,0,-10031075,0
29,874791,0,0,-1029658,-547399,0,702266,0
30,9874164,0,0,-10607550,-1883750,0,2617136,0
31,9819852,38231,47917,-13993836,-1648354,0,5736190,0
32,19484765,3481804,4017154,-22502168,-1606730,0,-2874824,0
33,4549767,9544072,11383180,-27842015,-2263343,0,4628338,0
34,0,8800747,10565385,-22068775,-2485928,0,5188571,0
35,4894143,5058107,8928963,-17312296,-2530983,0,962066,0
36,1182363,4139768,2042629,-12349677,-1261818,0,6246734,0
37,3719191,1250612,443842,-8465149,-1018469,0,4069974,0
38,3452041,0,0,-1803691,-545465,0,-1102885,0
39,12999486,0,0,-717291,-3082704,0,-9199492,0
40,10455993,0,0,-715057,-4282205,0,-5458732,0
41,265088,0,0,-1017380,-102390,0,854682,0
42,3216089,123640,649292,-11607605,-441763,0,8060347,0
43,1114022,3024795,4990718,-13090688,-142510,0,4103663,0
44,7945150,7300582,8744740,-20788767,-985157,0,-2216547,0
45,0,7951586,13233501,-20932407,-961115,0,708435,0
46,0,1612605,16799100,-19173545,-1029738,0,1791577,0
47,0,879077,13226577,-13027506,-1110662,0,32515,0
48,1028069,730558,3247676,-10019473,-798022,0,5811192,0
49,143110,1166837,625468,-5505015,-222933,0,3792533,0
50,19999844,0,0,-2462926,-4029230,0,-13507687,0
51,9471551,0,0,-718432,-3202563,0,-5550555,0
52,54559077,0,0,-520209,-36623340,0,-17415528,0
53,304852,0,0,-1625300,-209109,0,1529558,0
54,29760083,0,0,-8626095,-21201033,0,67045,0
55,13849492,1994,9102,-14215096,-2108884,0,2463392,0
56,9268192,4288299,5134298,-23847502,-1241576,0,6398289,0
57,6965293,8398408,10014461,-26334138,-1572056,0,2528033,0
58,8377836,8254167,9455910,-23902909,-3792827,0,1607822,0
59,0,7003160,10608978,-18541812,-2127784,0,3057458,0
60,310946,4067829,1977205,-11989478,-1112307,0,6745805,0
61,114488,1609568,571235,-7190850,-363182,0,5258742,0
62,3265349,0,0,-2366428,-468294,0,-430627,0
63,47733147,0,0,-752811,-19727344,0,-27252992,0
64,43721917,0,0,-763898,-40454742,0,-2503277,0
65,2920790,0,0,-1274697,-2210765,0,564672,0
66,6807206,0,0,-9517678,-1414605,0,4125077,0
67,9849335,110192,96949,-15091698,-1409561,0,6444783,0
68,7416498,5789765,6766398,-23533817,-535205,0,4096361,0
69,1032528,10721206,12666421,-27590429,-983895,0,4154170,0
70,822959,9126420,12415913,-22989171,-2260330,0,2884210,0
71,417674,3286977,12936097,-17478939,-1399062,0,2237253,0
72,2171415,2820961,2084335,-10900244,-971046,0,4794578,0
73,7737014,1484403,526814,-8391179,-1319442,0,-37611,0
74,23920798,0,0,-2755074,-6938258,0,-14227466,0
75,51307607,0,0,-774882,-35821689,0,-14711037,0
76,28758681,0,0,-966238,-27355481,0,-436962,0
77,371124,0,0,-1014029,-276713,0,919618,0
78,5305488,0,0,-10604944,-1852370,0,7151826,0
79,4437458,1893812,2183981,-14637506,-322403,0,6444657,0
80,1399788,9868615,11675631,-26648295,-483610,0,4187871,0
81,7069693,8996042,10840485,-23924422,-2796028,0,-185771,0
82,2125851,4992719,6890417,-13809590,-1549317,0,1349920,0
83,6603800,630907,726060,-1998752,-2518965,0,-3443051,0
84,3581591,494801,175605,-2032355,-1387921,0,-831721,0
85,8211587,89064,31609,-1060079,-3154583,0,-4117599,0
86,13108212,0,0,-616230,-7877507,0,-4614475,0
87,6196957,0,0,-725398,-4199726,0,-1271833,0
88,31266384,0,0,-799290,-25396437,0,-5070657,0
89,212071,0,0,-1016939,-147183,0,952051,0
90,16716671,0,0,-9682803,-7258856,0,224989,0
91,3540706,162660,140832,-15132246,-426491,0,11714538,0
92,18341374,3011469,3497807,-19185833,-1385599,0,-4279218,0
93,9645572,8764440,10344476,-27835807,-2681911,0,1763231,0
94,2344699,10583349,12176102,-27148440,-3360676,0,5404967,0
95,306842,7927473,11190105,-19409115,-2438278,0,2422974,0
96,3763795,4313847,1914377,-13798468,-2095423,0,5901871,0
97,7519426,1223118,434084,-8786833,-1776080,0,1386285,0
98,43554971,0,0,-2471097,-18087356,0,-22996518,0
99,6587372,0,0,-725295,-5145504,0,-716573,0
100,24986579,0,0,-975908,-22240608,0,-1770063,0
101,2465321,0,0,-1658177,-1832218,0,1025073,0
102,4949309,0,0,-8490343,-1439048,0,4980082,0
103,856278,1849477,2027506,-14563007,-32120,0,9861866,0
104,284198,8861917,10456884,-23071400,-309817,0,3778218,0
105,0,10642188,12558684,-23329006,-1592666,0,1720800,0
106,0,9996826,12419854,-20307447,-2488674,0,379442,0
107,1123400,5957465,10020461,-16298993,-1779820,0,977487,0
108,0,4592737,2216065,-12465653,-1173422,0,6830274,0
109,6013542,1781284,632177,-8005230,-1182532,0,760759,0
110,17795032,0,0,-3037236,-4849261,0,-9908535,0
111,5312665,0,0,-718036,-2120806,0,-2473823,0
112,35180875,0,0,-765607,-18896978,0,-15518290,0
113,3489610,0,0,-1317978,-2045629,0,-126003,0
114,9232849,0,0,-6425651,-5223290,0,2416092,0
115,14482354,19638,31313,-16559927,-2891274,0,4917895,0
116,2587126,5653646,6601158,-23351405,-117919,0,8627393,0
117,2008985,4461501,5263421,-11990540,-237915,0,494548,0
118,3989482,7043854,9411446,-21411481,-1409350,0,2376048,0
119,350077,2204179,12661828,-17213869,-1082045,0,3079830,0
120,883885,2511574,2430486,-11114998,-726972,0,6016026,0
121,11398943,1231599,437094,-8987138,-1728729,0,-2351768,0
122,3806065,0,0,-2385910,-647495,0,-772659,0
123,5284851,0,0,-712322,-1423734,0,-3148795,0
124,6741824,0,0,-960462,-1913606,0,-3867756,0
125,3750330,0,0,-1125869,-1147047,0,-1477414,0
126,11768463,31005,181026,-10564642,-3256627,0,1840774,0
127,4996716,2462348,3799135,-13764360,-660973,0,3167134,0
128,2210440,10168682,11954745,-23772598,-568131,0,6862,0
129,493376,4225694,15056146,-21697868,-1267802,0,3190454,0
130,2408668,1120078,14897678,-17612332,-1524447,0,710354,0
131,0,845388,14061440,-13860898,-1199822,0,153892,0
132,2585536,692418,3221698,-10484740,-1229152,0,5214241,0
133,1313505,681611,864672,-6046864,-370845,0,3557922,0
134,30908691,0,0,-2043493,-7749924,0,-21115275,0
135,24642115,0,0,-773367,-12812415,0,-11056334,0
136,18780782,0,0,-992284,-14499905,0,-3288594,0
137,12265877,0,0,-1417372,-9916954,0,-931552,0
138,2518332,339,5058,-12641873,-393333,0,10511478,0
139,8206100,2417340,2865401,-14522977,-1106318,0,2140453,0
140,1522817,7705938,9072453,-21553901,-394739,0,3647432,0
141,585936,9498632,11092729,-22861171,-1543260,0,3227134,0
142,901875,5284745,12288760,-19698307,-1657835,0,2880762,0
143,0,1796448,13203529,-15499409,-1167461,0,1666893,0
144,687834,1279228,3303944,-10849085,-869745,0,6447824,0
145,0,1278457,605835,-6003810,-216836,0,4336353,0
