               Stress_Period  Alfalfa_Irrigated             Grain_Irrigated               Pasture_Irrigated             Native_Vegetation             Urban_Barren                  Water                         
   1          3840197.69                0.00          3212530.05           633821.10                0.00                0.00
   2           832609.22                0.00           789546.98          1128860.60                0.00                0.00
   3                0.00                0.00                0.00           709097.51                0.00                0.00
   4                0.00                0.00                0.00           947482.83                0.00                0.00
   5                0.00                0.00                0.00          1235589.16                0.00                0.00
   6          4193673.95            79034.27          4812368.00          2631685.16                0.00                0.00
   7          4427338.28           727875.89          4803989.03          2709485.34                0.00                0.00
   8          4793652.49          2926113.38          4827226.09          2731801.81                0.00                0.00
   9          6829391.63          4272029.43          6577244.16          1498368.26                0.00                0.00
  10          9436256.38          1033027.13          8842701.06          1099142.90                0.00                0.00
  11          7986896.15                0.00          6007641.62           410062.26                0.00                0.00
  12          5694755.12                0.00          3587553.06           105430.33                0.00                0.00
  13          3510529.56                0.00          3016539.71           549994.26                0.00                0.00
  14           637888.00                0.00           562696.18           947180.91                0.00                0.00
  15                0.00                0.00                0.00           699281.15                0.00                0.00
  16                0.00                0.00                0.00           953251.57                0.00                0.00
  17                0.00                0.00                0.00          1272686.60                0.00                0.00
  18          3828371.79            89642.05          4375101.66          2350163.71                0.00                0.00
  19          5557314.61          1016792.63          5962579.09          3359713.68                0.00                0.00
  20          6948213.62          4369804.79          6547300.18          2913033.15                0.00                0.00
  21          8798051.59          4872952.96          8663872.36          2661677.16                0.00                0.00
  22          9571048.49           838815.62          8352455.38          1114414.59                0.00                0.00
  23          9186902.01                0.00          5602449.01                0.00                0.00                0.00
  24          6171776.69                0.00          4559247.37           227777.58                0.00                0.00
  25          3582156.23                0.00          3777387.64          1750218.64                0.00                0.00
  26           842989.46                0.00           987967.90          1134851.36                0.00                0.00
  27                0.00                0.00                0.00           739705.94                0.00                0.00
  28                0.00                0.00                0.00           741597.63                0.00                0.00
  29                0.00                0.00                0.00          1029658.04                0.00                0.00
  30          3733237.57            83932.50          4375414.67          2414965.12                0.00                0.00
  31          4696654.43           869161.23          5464683.42          2963337.41                0.00                0.00
  32          6719827.63          4271907.61          7239758.69          4270674.41                0.00                0.00
  33          8655319.84          5240328.75          8713975.00          5232391.55                0.00                0.00
  34          8562513.01          1001475.94          7885003.81          4619782.50                0.00                0.00
  35          7925358.49                0.00          7647982.76          1738954.98                0.00                0.00
  36          6275297.39                0.00          5769718.00           304661.14                0.00                0.00
  37          3901279.52                0.00          3613855.41           950014.17                0.00                0.00
  38           781139.42                0.00           618167.27           404384.67                0.00                0.00
  39                0.00                0.00                0.00           717290.74                0.00                0.00
  40                0.00                0.00                0.00           715056.54                0.00                0.00
  41                0.00                0.00                0.00          1017380.38                0.00                0.00
  42          4175552.99           100167.28          4792986.46          2538897.99                0.00                0.00
  43          5016116.97           964029.79          4922853.63          2187687.49                0.00                0.00
  44          7097296.94          4672612.11          6951319.45          2067538.45                0.00                0.00
  45          8336882.29          4972799.89          7622724.32                0.00                0.00                0.00
  46         10682325.01           971644.95          7519574.81                0.00                0.00                0.00
  47          8613810.34                0.00          4413696.16                0.00                0.00                0.00
  48          6211529.03                0.00          3539164.68           268779.09                0.00                0.00
  49          2979785.80                0.00          2484710.53            40518.17                0.00                0.00
  50           697464.74                0.00           790463.02           974998.56                0.00                0.00
  51                0.00                0.00                0.00           718431.93                0.00                0.00
  52                0.00                0.00                0.00           520209.23                0.00                0.00
  53                0.00                0.00                0.00          1625300.17                0.00                0.00
  54          3088772.43            63143.47          3500466.19          1973713.21                0.00                0.00
  55          4857344.48           817351.02          5504595.87          3035804.16                0.00                0.00
  56          7335835.28          4240443.24          7802101.64          4469122.02                0.00                0.00
  57          8565200.47          4698923.47          7986881.19          5083133.09                0.00                0.00
  58          9187268.76           940784.82          8563355.21          5211499.95                0.00                0.00
  59          8828844.59                0.00          7882106.16          1830861.33                0.00                0.00
  60          6127628.49                0.00          5460756.62           401092.54                0.00                0.00
  61          3743700.28                0.00          3280727.01           166423.09                0.00                0.00
  62           908384.81                0.00           755927.65           702115.73                0.00                0.00
  63                0.00                0.00                0.00           752811.15                0.00                0.00
  64                0.00                0.00                0.00           763897.82                0.00                0.00
  65                0.00                0.00                0.00          1274697.45                0.00                0.00
  66          3350875.66            94246.61          3937830.14          2134725.74                0.00                0.00
  67          5044327.85          1057948.69          5800339.87          3189081.20                0.00                0.00
  68          7071812.91          4653241.02          7401555.20          4407207.94                0.00                0.00
  69          9062591.93          5396635.40          8053423.14          5077778.37                0.00                0.00
  70         10392500.53           913398.41          9526341.93          2156930.08                0.00                0.00
  71          9274044.43                0.00          7797165.55           407728.66                0.00                0.00
  72          5657666.67                0.00          4692728.00           549849.14                0.00                0.00
  73          3575762.03                0.00          3686408.59          1129007.93                0.00                0.00
  74           789946.91                0.00           801752.76          1163374.80                0.00                0.00
  75                0.00                0.00                0.00           774881.77                0.00                0.00
  76                0.00                0.00                0.00           966237.73                0.00                0.00
  77                0.00                0.00                0.00          1014028.95                0.00                0.00
  78          3815905.71            90187.80          4374519.48          2324331.03                0.00                0.00
  79          5169936.76           954783.98          5398198.11          3114586.82                0.00                0.00
  80          8679728.04          5313577.80          7785384.72          4869604.71                0.00                0.00
  81          8330200.55          4800988.77          7667589.62          3125643.07                0.00                0.00
  82          6025052.97           595948.74          5701888.28          1486700.24                0.00                0.00
  83           741907.84                0.00           800148.01           456695.73                0.00                0.00
  84           738562.39                0.00           846928.92           446863.66                0.00                0.00
  85           387196.17                0.00           437574.42           235308.26                0.00                0.00
  86           174862.79                0.00           197617.14           243750.12                0.00                0.00
  87                0.00                0.00                0.00           725397.89                0.00                0.00
  88                0.00                0.00                0.00           799289.94                0.00                0.00
  89                0.00                0.00                0.00          1016938.97                0.00                0.00
  90          3484759.44            87734.09          3937935.09          2172374.38                0.00                0.00
  91          5245873.28           984843.51          5750835.06          3150693.71                0.00                0.00
  92          5807931.90          3419761.65          6299114.14          3659025.25                0.00                0.00
  93          8981999.49          4734982.95          8786997.41          5331827.07                0.00                0.00
  94         10819305.71           897756.61          9651853.51          5779524.48                0.00                0.00
  95          9467167.67                0.00          8538199.16          1403748.31                0.00                0.00
  96          6532896.43                0.00          6100164.43          1165406.72                0.00                0.00
  97          3628337.34                0.00          3720115.88          1438379.94                0.00                0.00
  98           688697.07                0.00           790454.27           991945.79                0.00                0.00
  99                0.00                0.00                0.00           725295.18                0.00                0.00
 100                0.00                0.00                0.00           975907.79                0.00                0.00
 101                0.00                0.00                0.00          1658176.78                0.00                0.00
 102          3049944.15            72271.96          3500096.89          1868030.02                0.00                0.00
 103          5165227.99           956394.77          5407885.17          3033498.75                0.00                0.00
 104          7570070.04          4628287.68          6735261.70          4137780.79                0.00                0.00
 105          8502986.99          4993957.38          7630648.85          2201412.42                0.00                0.00
 106         10027071.90           953558.43          9146604.32           180212.45                0.00                0.00
 107          8324619.66                0.00          7656308.31           318064.68                0.00                0.00
 108          6625798.21                0.00          5839854.56                0.00                0.00                0.00
 109          3624126.25                0.00          3912359.43           468744.38                0.00                0.00
 110           864471.39                0.00           988012.75          1184752.21                0.00                0.00
 111                0.00                0.00                0.00           718036.06                0.00                0.00
 112                0.00                0.00                0.00           765607.03                0.00                0.00
 113                0.00                0.00                0.00          1317978.07                0.00                0.00
 114          2297023.07            72657.24          2625247.17          1430723.32                0.00                0.00
 115          5557314.61          1209538.79          6335891.22          3457182.38                0.00                0.00
 116          7271292.49          4521515.17          7254717.45          4303879.51                0.00                0.00
 117          4055754.78          2088143.56          3540859.80          2305781.98                0.00                0.00
 118          8696709.59           576901.00          7892236.54          4245633.78                0.00                0.00
 119          8840403.09                0.00          7482583.46           890882.18                0.00                0.00
 120          6154673.67                0.00          4710073.23           250251.54                0.00                0.00
 121          3537198.47                0.00          3780932.87          1669007.13                0.00                0.00
 122           674391.30                0.00           790370.13           921148.85                0.00                0.00
 123                0.00                0.00                0.00           712321.81                0.00                0.00
 124                0.00                0.00                0.00           960462.49                0.00                0.00
 125                0.00                0.00                0.00          1125869.48                0.00                0.00
 126          3733237.57           115201.47          4374729.44          2341473.10                0.00                0.00
 127          4696654.43          1036067.35          5116636.82          2915001.27                0.00                0.00
 128          8315366.44          5897643.20          7873251.70          1686336.86                0.00                0.00
 129          8562515.15          5052046.80          7943617.69           139687.91                0.00                0.00
 130          9909414.81           778984.12          6299516.82           624415.83                0.00                0.00
 131          9168673.78                0.00          4692224.39                0.00                0.00                0.00
 132          6035736.14                0.00          3804166.75           644837.37                0.00                0.00
 133          3169300.14                0.00          2569682.36           307881.50                0.00                0.00
 134           625007.41                0.00           532820.59           885664.55                0.00                0.00
 135                0.00                0.00                0.00           773366.69                0.00                0.00
 136                0.00                0.00                0.00           992283.56                0.00                0.00
 137                0.00                0.00                0.00          1417371.52                0.00                0.00
 138          4555147.90           147614.92          5170990.91          2768119.43                0.00                0.00
 139          5142884.49          1146774.07          5144059.53          3089258.78                0.00                0.00
 140          6805372.68          4353809.33          6435540.70          3959178.07                0.00                0.00
 141          7924113.46          4408398.53          7067640.09          3461019.17                0.00                0.00
 142          9324882.14           631270.21          8575127.30          1167027.00                0.00                0.00
 143          8959368.79                0.00          6540040.66                0.00                0.00                0.00
 144          6611997.40                0.00          4045869.06           191218.34                0.00                0.00
 145          3439784.50                0.00          2564025.34                0.00                0.00                0.00
 146           740138.54                0.00           718497.65           909356.76                0.00                0.00
 147                0.00                0.00                0.00           765887.24                0.00                0.00
 148                0.00                0.00                0.00          1003649.07                0.00                0.00
 149                0.00                0.00                0.00          3343495.81                0.00                0.00
 150          4633158.64           117620.18          5250538.33          2908857.83                0.00                0.00
 151          4110060.82           778048.70          4657869.70          2574561.81                0.00                0.00
 152          7721931.07          4584683.36          8119423.04          4515022.10                0.00                0.00
 153         10193779.41          5377220.69          8850139.24          5270657.78                0.00                0.00
 154         11164979.05           890395.21         10345668.89          3259437.69                0.00                0.00
 155          8771088.40                0.00          8755597.02          3713148.23                0.00                0.00
 156          6470150.51                0.00          5478666.56           365264.56                0.00                0.00
 157          4065572.35                0.00          3261282.48            76623.59                0.00                0.00
 158           833129.83                0.00           959545.40          1163004.00                0.00                0.00
 159                0.00                0.00                0.00           761885.79                0.00                0.00
 160                0.00                0.00                0.00          1260927.65                0.00                0.00
 161                0.00                0.00                0.00          2017531.87                0.00                0.00
 162          3350875.66           125496.81          3937195.67          2089615.70                0.00                0.00
 163          5764946.11          1435011.49          6217599.16          3546861.78                0.00                0.00
 164          7056139.14          4799251.90          6793326.04          4297078.70                0.00                0.00
 165          8876978.53          4972082.33          8006012.35          3967577.51                0.00                0.00
 166         10681824.84           625954.27          9823482.30          1206174.62                0.00                0.00
 167          8942994.32                0.00          6803045.76           333961.29                0.00                0.00
 168          6122342.09                0.00          3964842.20                0.00                0.00                0.00
 169          3498349.51                0.00          3781315.22          1300707.72                0.00                0.00
 170           861656.47                0.00           988019.31          1162452.91                0.00                0.00
 171                0.00                0.00                0.00          1195083.51                0.00                0.00
 172                0.00                0.00                0.00           972390.90                0.00                0.00
 173                0.00                0.00                0.00          1465220.25                0.00                0.00
 174          4197497.03           134015.93          4811871.66          2560922.27                0.00                0.00
 175          4800656.29          1054648.93          5086204.50          2925078.64                0.00                0.00
 176          6485938.90          4072494.83          6927134.59          4019968.50                0.00                0.00
 177          7247534.86          3856466.67          6342174.29          4239126.56                0.00                0.00
 178          9914155.35           662652.56          8941013.17          3729945.76                0.00                0.00
 179          9731388.11                0.00          8190247.04           843195.16                0.00                0.00
 180          5705605.57                0.00          3988474.52           172838.33                0.00                0.00
 181          3339254.02                0.00          2636834.16           383711.56                0.00                0.00
 182           697038.27                0.00           781080.34           949992.03                0.00                0.00
 183                0.00                0.00                0.00           748122.42                0.00                0.00
 184                0.00                0.00                0.00           790320.98                0.00                0.00
 185                0.00                0.00                0.00          1298469.82                0.00                0.00
 186          2323172.45            77883.23          2625364.32          1477461.46                0.00                0.00
 187          4496462.81          1001888.20          5081134.86          2784467.30                0.00                0.00
 188          7355656.55          4468344.84          7401004.23          4344250.52                0.00                0.00
 189          9067272.34          4485855.93          7825147.06          4846089.03                0.00                0.00
 190         10632377.70           587028.61          9451010.37          1871354.63                0.00                0.00
 191          8478489.43                0.00          6857872.46          1065796.03                0.00                0.00
 192          5927762.89                0.00          4651849.69           100396.02                0.00                0.00
 193          2901716.69                0.00          2793983.44           141238.83                0.00                0.00
 194           671454.84                0.00           767313.07           958762.53                0.00                0.00
 195                0.00                0.00                0.00           732282.46                0.00                0.00
 196                0.00                0.00                0.00           695046.48                0.00                0.00
 197                0.00                0.00                0.00          1134120.30                0.00                0.00
 198          3812430.18           122038.19          4347268.76          2292259.27                0.00                0.00
 199          5165197.44          1137691.75          5109935.52          3025652.80                0.00                0.00
 200          7889756.25          5027865.12          7065177.55          4493023.10                0.00                0.00
 201          8107045.22          4489672.94          7346762.53          2311082.50                0.00                0.00
 202          9368259.40           613200.47          7994516.21           463126.85                0.00                0.00
 203          8304179.37                0.00          5355174.58            71968.53                0.00                0.00
 204          5222730.91                0.00          3272798.77            78467.98                0.00                0.00
 205          3007431.11                0.00          3374121.14          1858318.54                0.00                0.00
 206           864471.39                0.00           987992.26          1124974.14                0.00                0.00
 207                0.00                0.00                0.00           734027.11                0.00                0.00
 208                0.00                0.00                0.00           763119.51                0.00                0.00
 209                0.00                0.00                0.00          1458207.54                0.00                0.00
 210          3062697.43           125813.41          3499900.04          1886855.65                0.00                0.00
 211          4816339.43          1237966.36          5030408.69          2823378.94                0.00                0.00
 212          7260695.61          4634019.38          6905697.09          4269490.02                0.00                0.00
 213          8496683.04          4101209.37          7388227.25          3851988.54                0.00                0.00
 214          9540245.09           381296.36          8512024.10          1045530.52                0.00                0.00
 215          8480217.24                0.00          6710537.41                0.00                0.00                0.00
 216          5961537.78                0.00          4006099.08                0.00                0.00                0.00
 217          2990891.80                0.00          2745256.70           358594.54                0.00                0.00
 218           842989.46                0.00           988056.76          1166384.83                0.00                0.00
 219                0.00                0.00                0.00           734113.86                0.00                0.00
 220                0.00                0.00                0.00           945723.66                0.00                0.00
 221                0.00                0.00                0.00          1132232.99                0.00                0.00
 222          2986590.06           101377.30          3500271.90          1882462.39                0.00                0.00
 223          5057934.77          1181352.71          5454246.04          3027145.28                0.00                0.00
 224          7464590.57          4983432.86          7866959.24          4616785.60                0.00                0.00
 225          7892820.93          4593696.86          7893773.11          5085507.85                0.00                0.00
 226          9516138.94           688277.58          8759441.94           852274.77                0.00                0.00
 227          8179703.21                0.00          5530598.79           293546.47                0.00                0.00
 228          6246156.76                0.00          3782835.60            57415.58                0.00                0.00
 229          3582711.03                0.00          3850184.04          1412463.41                0.00                0.00
 230           827985.43                0.00           922743.59          1194469.10                0.00                0.00
 231                0.00                0.00                0.00           735969.80                0.00                0.00
 232                0.00                0.00                0.00           770034.97                0.00                0.00
 233                0.00                0.00                0.00          1352993.23                0.00                0.00
 234          3416361.67           121255.14          3937861.77          2166437.58                0.00                0.00
 235          4408207.65          1039882.13          5078962.58          2789207.18                0.00                0.00
 236          6073530.54          3906042.66          6504817.88          3735551.22                0.00                0.00
 237          8026401.72          4155337.85          7325735.69          4687900.00                0.00                0.00
 238          9690560.17           576711.49          8946696.46          3821804.04                0.00                0.00
 239          8270186.58                0.00          7561884.09                0.00                0.00                0.00
 240          6091133.59                0.00          5514001.04          1091645.40                0.00                0.00
 241          3444033.24                0.00          3494269.68           784695.36                0.00                0.00
 242           697464.74                0.00           790403.58           935724.12                0.00                0.00
 243                0.00                0.00                0.00           770511.42                0.00                0.00
 244                0.00                0.00                0.00           936590.31                0.00                0.00
 245                0.00                0.00                0.00          1076545.32                0.00                0.00
 246          2702676.64            91362.02          3063012.86          1782817.67                0.00                0.00
 247          4110060.82           923433.46          4629284.61          2490248.23                0.00                0.00
 248          5791449.07          3547466.42          5973600.27          3499332.21                0.00                0.00
 249          7832260.49          3865178.32          7509369.27          4649383.76                0.00                0.00
 250          7702369.14           429490.27          6870817.69          4154583.85                0.00                0.00
 251          7456665.75                0.00          6700043.76          1804321.36                0.00                0.00
 252          7106597.46                0.00          6424810.08           488658.19                0.00                0.00
 253          2810485.05                0.00          3104826.53          1594948.77                0.00                0.00
 254           786986.41                0.00           835496.72           718841.19                0.00                0.00
 255                0.00                0.00                0.00           779542.41                0.00                0.00
 256                0.00                0.00                0.00           879804.37                0.00                0.00
 257                0.00                0.00                0.00          1513125.62                0.00                0.00
 258          2802083.61            51214.24          3293050.49          1867994.02                0.00                0.00
 259          4591804.59           867097.99          5396201.91          2886178.27                0.00                0.00
 260          7197025.40          4567641.85          7441884.01          4313124.16                0.00                0.00
 261          7184280.59          4551803.53          6582301.74          4133647.60                0.00                0.00
 262          7928686.62          1025897.69          7293928.00          1220677.08                0.00                0.00
 263          7517182.32                0.00          6338982.68                0.00                0.00                0.00
 264          5585153.04                0.00          3979804.52                0.00                0.00                0.00
 265          2905862.04                0.00          2949302.40           481071.53                0.00                0.00
 266           831776.55                0.00           926982.57           922159.83                0.00                0.00
 267                0.00                0.00                0.00          1202617.83                0.00                0.00
 268                0.00                0.00                0.00          1043898.34                0.00                0.00
 269                0.00                0.00                0.00          1350280.41                0.00                0.00
 270          3741266.71            76882.88          4289385.18          2296036.51                0.00                0.00
 271          5290596.98          1007580.43          5728740.66          3165242.42                0.00                0.00
 272          7160778.48          4189292.74          7331227.03          4254627.13                0.00                0.00
 273          8311474.11          4984378.04          7219158.33          4467003.65                0.00                0.00
 274          8950631.65          1137050.21          8329938.37          3082912.13                0.00                0.00
 275          7119917.68                0.00          5349959.66          1417873.74                0.00                0.00
 276          5041120.17                0.00          4147651.41           851993.67                0.00                0.00
 277          3782309.73                0.00          3652795.61          1579876.29                0.00                0.00
 278          1068537.63                0.00           559599.25           576328.30                0.00                0.00
 279                0.00                0.00                0.00           867659.17                0.00                0.00
 280                0.00                0.00                0.00          1097996.65                0.00                0.00
 281                0.00                0.00                0.00          1240625.92                0.00                0.00
 282          3727867.18            67140.05          4212309.00          2282818.79                0.00                0.00
 283          5236028.19           858818.52          5587047.74          3066782.86                0.00                0.00
 284          7316734.95          4260564.38          6898150.49          4241723.65                0.00                0.00
 285          8627799.44          5175164.26          7454101.82          1582413.58                0.00                0.00
 286          8988849.41          1079878.25          5344605.28           327268.80                0.00                0.00
 287          7791587.09                0.00          4263935.74           403602.32                0.00                0.00
 288          5903683.10                0.00          4116164.98           743538.60                0.00                0.00
 289          3298775.25                0.00          3720666.49          2044230.59                0.00                0.00
 290           839565.78                0.00           963548.13           891078.91                0.00                0.00
 291                0.00                0.00                0.00           686634.86                0.00                0.00
