               Stress_Period  Alfalfa_Irrigated             Grain_Irrigated               Pasture_Irrigated             Native_Vegetation             Urban_Barren                  Water                         
   1          3338564.30                0.00          2320579.74          3630194.38                0.00                0.00
   2           732905.77                0.00           575411.78          3296130.67                0.00                0.00
   3                0.00                0.00                0.00          2275324.12                0.00                0.00
   4                0.00                0.00                0.00          2441012.67                0.00                0.00
   5                0.00                0.00                0.00          2655830.07                0.00                0.00
   6          3711307.67                0.00          3582668.32          8324159.66                0.00                0.00
   7          3918095.37                0.00          3570508.68          4187891.97                0.00                0.00
   8          4219021.48                0.00          3534600.50          3302251.95                0.00                0.00
   9          5965228.18                0.00          4696634.49          3078632.09                0.00                0.00
  10          8228200.94                0.00          6281896.89          2166008.18                0.00                0.00
  11          6956369.12                0.00          4380690.48           766263.91                0.00                0.00
  12          4957186.03                0.00          2707089.93           194764.95                0.00                0.00
  13          3007318.69                0.00          2164788.48          1696440.64                0.00                0.00
  14           554499.84                0.00           431003.33          2368052.71                0.00                0.00
  15                0.00                0.00                0.00          2312861.60                0.00                0.00
  16                0.00                0.00                0.00          3114145.47                0.00                0.00
  17                0.00                0.00                0.00          4252804.68                0.00                0.00
  18          3373915.46                0.00          3257146.24          7642215.93                0.00                0.00
  19          4897619.86                0.00          4432568.63          3446834.98                0.00                0.00
  20          6007614.70                0.00          4730390.94          1337835.51                0.00                0.00
  21          7588627.98                0.00          6246978.07          6585105.32                0.00                0.00
  22          8162692.55                0.00          6089972.94           747911.54                0.00                0.00
  23          7823681.86                0.00          4234985.53                0.00                0.00                0.00
  24          5259535.28                0.00          3170439.73           449011.43                0.00                0.00
  25          3193052.40                0.00          2748968.85          3909800.49                0.00                0.00
  26           761852.18                0.00           735525.43          3738073.75                0.00                0.00
  27                0.00                0.00                0.00          2377492.73                0.00                0.00
  28                0.00                0.00                0.00          2380184.63                0.00                0.00
  29                0.00                0.00                0.00          3435226.79                0.00                0.00
  30          3373915.46                0.00          3257455.59          7760063.20                0.00                0.00
  31          4244603.96                0.00          4064981.74          9390456.00                0.00                0.00
  32          6073047.83                0.00          5386136.48         10260602.24                0.00                0.00
  33          7798052.53                0.00          6381449.40          6732322.93                0.00                0.00
  34          7604323.26                0.00          5547271.80                0.00                0.00                0.00
  35          7039271.33                0.00          5439615.48          2490373.60                0.00                0.00
  36          5561462.28                0.00          4156820.28           608110.23                0.00                0.00
  37          3382803.81                0.00          2692917.40          1879993.44                0.00                0.00
  38           672046.53                0.00           510627.76           944877.67                0.00                0.00
  39                0.00                0.00                0.00          2342191.32                0.00                0.00
  40                0.00                0.00                0.00          2338014.45                0.00                0.00
  41                0.00                0.00                0.00          3415040.02                0.00                0.00
  42          3711307.67                0.00          3564775.58          5611150.90                0.00                0.00
  43          4429901.92                0.00          3613233.29           582514.30                0.00                0.00
  44          6210299.73                0.00          4984848.84          4041957.35                0.00                0.00
  45          7280101.56                0.00          5368009.81                0.00                0.00                0.00
  46          9328236.66                0.00          5435801.86                0.00                0.00                0.00
  47          7521803.59                0.00          3105147.26                0.00                0.00                0.00
  48          5424544.84                0.00          2510909.57           535212.59                0.00                0.00
  49          2074457.30                0.00          1689757.15            74850.56                0.00                0.00
  50           609481.50                0.00           588509.12          3100148.99                0.00                0.00
  51                0.00                0.00                0.00          2341389.84                0.00                0.00
  52                0.00                0.00                0.00          1629270.87                0.00                0.00
  53                0.00                0.00                0.00          5450326.91                0.00                0.00
  54          2699132.37                0.00          2606098.92          6343275.68                0.00                0.00
  55          4244603.96                0.00          4098189.37          9832436.77                0.00                0.00
  56          6410440.04                0.00          5802987.61         13396858.96                0.00                0.00
  57          7463526.00                0.00          5823792.58          9063340.51                0.00                0.00
  58          8006725.08                0.00          6124094.44          4743628.89                0.00                0.00
  59          7614070.12                0.00          5546318.98                0.00                0.00                0.00
  60          5249190.18                0.00          3881712.44           162634.04                0.00                0.00
  61          3250617.93                0.00          2435957.07            59880.45                0.00                0.00
  62           796777.26                0.00           549990.07          1661804.18                0.00                0.00
  63                0.00                0.00                0.00          2403901.42                0.00                0.00
  64                0.00                0.00                0.00          2421239.74                0.00                0.00
  65                0.00                0.00                0.00          4265117.75                0.00                0.00
  66          3036524.58                0.00          2931666.74          6945047.78                0.00                0.00
  67          4571111.27                0.00          4312978.21         10025557.02                0.00                0.00
  68          6403551.66                0.00          5508116.03          9332564.47                0.00                0.00
  69          8157883.63                0.00          5691968.37          2784919.17                0.00                0.00
  70          9179931.31                0.00          6712924.94           430431.90                0.00                0.00
  71          8134691.03                0.00          5601623.30           218455.78                0.00                0.00
  72          4976412.28                0.00          3194246.54          1088490.72                0.00                0.00
  73          3101363.86                0.00          2671615.36          3413743.71                0.00                0.00
  74           691585.90                0.00           577637.27          2432177.08                0.00                0.00
  75                0.00                0.00                0.00          2435519.04                0.00                0.00
  76                0.00                0.00                0.00          3142683.45                0.00                0.00
  77                0.00                0.00                0.00          3417034.65                0.00                0.00
  78          3373915.46                0.00          3256653.35          7608138.61                0.00                0.00
  79          4571111.27                0.00          4013079.84          8351093.59                0.00                0.00
  80          7654526.95                0.00          5620307.13          5702121.37                0.00                0.00
  81          7324725.81                0.00          5444549.20          2247085.65                0.00                0.00
  82          5268417.11                0.00          4061448.88          2046961.40                0.00                0.00
  83           652385.89                0.00           587783.21          1014852.82                0.00                0.00
  84           653015.90                0.00           630549.74          1486202.07                0.00                0.00
  85           337392.21                0.00           325778.29           775253.00                0.00                0.00
  86           152370.68                0.00           147128.56           776069.95                0.00                0.00
  87                0.00                0.00                0.00          2349100.42                0.00                0.00
  88                0.00                0.00                0.00          2467473.75                0.00                0.00
  89                0.00                0.00                0.00          3414023.74                0.00                0.00
  90          3036524.58                0.00          2931771.69          7047712.67                0.00                0.00
  91          4571111.27                0.00          4275776.70         10142172.81                0.00                0.00
  92          5060873.86                0.00          4688153.28         10752240.47                0.00                0.00
  93          7809171.36                0.00          6468327.89         10304710.58                0.00                0.00
  94          9366680.80                0.00          6818160.54          1205038.94                0.00                0.00
  95          8132011.54                0.00          6011578.27           160487.27                0.00                0.00
  96          5623871.28                0.00          4338622.74          1891046.72                0.00                0.00
  97          3170616.17                0.00          2700261.48          3558181.10                0.00                0.00
  98           609481.50                0.00           588500.37          3127610.66                0.00                0.00
  99                0.00                0.00                0.00          2351548.44                0.00                0.00
 100                0.00                0.00                0.00          3156473.36                0.00                0.00
 101                0.00                0.00                0.00          5515746.66                0.00                0.00
 102          2699132.37                0.00          2605731.87          6079908.05                0.00                0.00
 103          4571111.27                0.00          4020765.53          7463046.14                0.00                0.00
 104          6677797.81                0.00          4864283.73          3779157.79                0.00                0.00
 105          7455060.74                0.00          5368327.55                0.00                0.00                0.00
 106          8726414.98                0.00          6434835.21                0.00                0.00                0.00
 107          7249019.62                0.00          5401309.69           587571.42                0.00                0.00
 108          5727031.46                0.00          4288578.21                0.00                0.00                0.00
 109          2943486.58                0.00          2853938.67          1522669.94                0.00                0.00
 110           761852.18                0.00           735570.27          3822006.32                0.00                0.00
 111                0.00                0.00                0.00          2341122.19                0.00                0.00
 112                0.00                0.00                0.00          2422505.23                0.00                0.00
 113                0.00                0.00                0.00          4321483.14                0.00                0.00
 114          2024349.28                0.00          1954471.71          4656091.20                0.00                0.00
 115          4897619.86                0.00          4714193.55         11231395.40                0.00                0.00
 116          6402589.33                0.00          5396274.17         10332859.44                0.00                0.00
 117          3557864.75                0.00          2523315.46          1294448.98                0.00                0.00
 118          7499114.84                0.00          5600060.46          2038151.75                0.00                0.00
 119          7531235.11                0.00          5462587.92           183100.48                0.00                0.00
 120          5245500.50                0.00          3151113.86           462297.96                0.00                0.00
 121          3134654.42                0.00          2752578.93          3913668.82                0.00                0.00
 122           609481.50                0.00           588416.23          2755970.83                0.00                0.00
 123                0.00                0.00                0.00          2331108.92                0.00                0.00
 124                0.00                0.00                0.00          3118485.58                0.00                0.00
 125                0.00                0.00                0.00          3121515.11                0.00                0.00
 126          3373915.46                0.00          3256831.83          5715261.55                0.00                0.00
 127          4244603.96                0.00          3802688.19          2527409.61                0.00                0.00
 128          7352538.42                0.00          5599019.25          1150244.37                0.00                0.00
 129          7583232.94                0.00          5612767.38           258050.11                0.00                0.00
 130          8784647.24                0.00          5005515.36          1232478.46                0.00                0.00
 131          8117130.77                0.00          3283510.39                0.00                0.00                0.00
 132          5160720.69                0.00          2717731.21          1284911.58                0.00                0.00
 133          2240711.20                0.00          1813858.84           678452.71                0.00                0.00
 134           454184.40                0.00           375472.35          2638143.77                0.00                0.00
 135                0.00                0.00                0.00          2424968.76                0.00                0.00
 136                0.00                0.00                0.00          3178955.02                0.00                0.00
 137                0.00                0.00                0.00          4361529.89                0.00                0.00
 138          4048698.55                0.00          3846409.68          9088666.79                0.00                0.00
 139          4571086.84                0.00          3827877.22          7922690.12                0.00                0.00
 140          6031060.42                0.00          4678077.79          7193222.57                0.00                0.00
 141          7021387.70                0.00          4979203.67           691931.55                0.00                0.00
 142          8146397.13                0.00          6049181.67           471707.37                0.00                0.00
 143          7823681.86                0.00          4759523.06                0.00                0.00                0.00
 144          5756336.76                0.00          3109683.71           359757.88                0.00                0.00
 145          2787742.85                0.00          1768250.62                0.00                0.00                0.00
 146           605555.56                0.00           529483.53          2998343.97                0.00                0.00
 147                0.00                0.00                0.00          2413409.17                0.00                0.00
 148                0.00                0.00                0.00          3194302.49                0.00                0.00
 149                0.00                0.00                0.00         10304462.56                0.00                0.00
 150          4048698.55                0.00          3908987.42          9396732.08                0.00                0.00
 151          3591588.07                0.00          3467784.01          8329626.58                0.00                0.00
 152          6747830.92                0.00          6038063.75         13405612.42                0.00                0.00
 153          8878685.00                0.00          6322263.82          5323966.62                0.00                0.00
 154          9688731.57                0.00          7362211.19          3538808.47                0.00                0.00
 155          7577759.98                0.00          6334716.37          7084826.67                0.00                0.00
 156          5543015.32                0.00          4029924.30           219326.90                0.00                0.00
 157          3508298.26                0.00          2332526.32                0.00                0.00                0.00
 158           752465.33                0.00           712708.93          3696476.62                0.00                0.00
 159                0.00                0.00                0.00          2400811.87                0.00                0.00
 160                0.00                0.00                0.00          3997526.49                0.00                0.00
 161                0.00                0.00                0.00          6229413.10                0.00                0.00
 162          3036524.58                0.00          2931090.21          6915216.94                0.00                0.00
 163          5224127.17                0.00          4623066.96         10635043.15                0.00                0.00
 164          6375359.64                0.00          4957122.78          7813835.42                0.00                0.00
 165          7954840.45                0.00          5642700.81          1426561.47                0.00                0.00
 166          9392213.82                0.00          6932818.67           415671.48                0.00                0.00
 167          7848993.51                0.00          5085167.65           547596.00                0.00                0.00
 168          5345399.04                0.00          2998435.20                0.00                0.00                0.00
 169          3036950.64                0.00          2752315.67          4039459.12                0.00                0.00
 170           761852.18                0.00           735576.83          3760179.19                0.00                0.00
 171                0.00                0.00                0.00          3902095.51                0.00                0.00
 172                0.00                0.00                0.00          3148742.04                0.00                0.00
 173                0.00                0.00                0.00          4508736.01                0.00                0.00
 174          3711307.67                0.00          3582237.91          8432428.50                0.00                0.00
 175          4244603.96                0.00          3779819.32          8997358.76                0.00                0.00
 176          5732246.47                0.00          5155679.82         10418058.82                0.00                0.00
 177          6388166.21                0.00          4519775.74          4695334.02                0.00                0.00
 178          8701132.42                0.00          6306782.92           786757.09                0.00                0.00
 179          8443602.02                0.00          5868642.34           159992.18                0.00                0.00
 180          4945620.83                0.00          2759785.44                0.00                0.00                0.00
 181          2823811.12                0.00          1905886.19           699973.70                0.00                0.00
 182           607088.91                0.00           581768.22          3032287.06                0.00                0.00
 183                0.00                0.00                0.00          2396086.88                0.00                0.00
 184                0.00                0.00                0.00          2465974.09                0.00                0.00
 185                0.00                0.00                0.00          4223204.52                0.00                0.00
 186          2024349.28                0.00          1954588.87          4736316.72                0.00                0.00
 187          3918095.37                0.00          3782934.28          8996221.93                0.00                0.00
 188          6407171.40                0.00          5501295.06         11285573.06                0.00                0.00
 189          7894944.01                0.00          5557254.81          4578369.28                0.00                0.00
 190          9215599.80                0.00          6650960.45                0.00                0.00                0.00
 191          7292550.77                0.00          5002045.96          1504338.58                0.00                0.00
 192          5076910.39                0.00          3189589.38                0.00                0.00                0.00
 193          2394000.93                0.00          1925458.50           255766.83                0.00                0.00
 194           590076.43                0.00           566714.91          3028074.52                0.00                0.00
 195                0.00                0.00                0.00          2367743.65                0.00                0.00
 196                0.00                0.00                0.00          2305489.11                0.00                0.00
 197                0.00                0.00                0.00          3613077.76                0.00                0.00
 198          3373915.46                0.00          3232153.38          7566853.29                0.00                0.00
 199          4571080.71                0.00          3801582.99          7987411.66                0.00                0.00
