               Stress_Period  Alfalfa_Irrigated             Grain_Irrigated               Pasture_Irrigated             Native_Vegetation             Urban_Barren                  Water                         
 110                0.00                0.00                0.00          4334236.03                0.00                0.00
 111                0.00                0.00                0.00          2670703.04                0.00                0.00
 112                0.00                0.00                0.00          2718329.15                0.00                0.00
 113                0.00                0.00                0.00          4970224.88                0.00                0.00
 114                0.00                0.00                0.00          5334659.04                0.00                0.00
 115                0.00                0.00                0.00         12884536.84                0.00                0.00
 116                0.00                0.00                0.00         13959938.32                0.00                0.00
 117                0.00                0.00                0.00          5321301.24                0.00                0.00
 118                0.00                0.00                0.00          4625238.68                0.00                0.00
 119                0.00                0.00                0.00           336956.66                0.00                0.00
 120                0.00                0.00                0.00           850759.00                0.00                0.00
 121                0.00                0.00                0.00          6151813.79                0.00                0.00
 122                0.00                0.00                0.00          3440672.99                0.00                0.00
 123                0.00                0.00                0.00          2665007.42                0.00                0.00
 124                0.00                0.00                0.00          3564012.52                0.00                0.00
 125                0.00                0.00                0.00          4065426.52                0.00                0.00
 126                0.00                0.00                0.00          8840653.77                0.00                0.00
 127                0.00                0.00                0.00         10792205.55                0.00                0.00
 128                0.00                0.00                0.00          5313288.03                0.00                0.00
 129                0.00                0.00                0.00           474885.18                0.00                0.00
 130                0.00                0.00                0.00          2260822.91                0.00                0.00
 131                0.00                0.00                0.00                0.00                0.00                0.00
 132                0.00                0.00                0.00          2401379.62                0.00                0.00
 133                0.00                0.00                0.00          1077842.14                0.00                0.00
 134                0.00                0.00                0.00          3107793.32                0.00                0.00
 135                0.00                0.00                0.00          2726088.81                0.00                0.00
 136                0.00                0.00                0.00          3595897.18                0.00                0.00
 137                0.00                0.00                0.00          4944866.46                0.00                0.00
 138                0.00                0.00                0.00         10532501.96                0.00                0.00
 139                0.00                0.00                0.00          9746564.20                0.00                0.00
 140                0.00                0.00                0.00         10898245.61                0.00                0.00
 141                0.00                0.00                0.00          1287996.94                0.00                0.00
 142                0.00                0.00                0.00           868074.97                0.00                0.00
 143                0.00                0.00                0.00                0.00                0.00                0.00
 144                0.00                0.00                0.00           658530.14                0.00                0.00
 145                0.00                0.00                0.00                0.00                0.00                0.00
 146                0.00                0.00                0.00          3428480.19                0.00                0.00
 147                0.00                0.00                0.00          2718176.90                0.00                0.00
 148                0.00                0.00                0.00          3607258.29                0.00                0.00
 149                0.00                0.00                0.00         11574313.73                0.00                0.00
 150                0.00                0.00                0.00         10718643.15                0.00                0.00
 151                0.00                0.00                0.00          9501058.53                0.00                0.00
 152                0.00                0.00                0.00         16051051.01                0.00                0.00
 153                0.00                0.00                0.00          5973532.75                0.00                0.00
 154                0.00                0.00                0.00          6547412.49                0.00                0.00
 155                0.00                0.00                0.00         13311481.06                0.00                0.00
 156                0.00                0.00                0.00           403623.52                0.00                0.00
 157                0.00                0.00                0.00                0.00                0.00                0.00
 158                0.00                0.00                0.00          4207104.63                0.00                0.00
 159                0.00                0.00                0.00          2714607.91                0.00                0.00
 160                0.00                0.00                0.00          4515439.32                0.00                0.00
 161                0.00                0.00                0.00          6888835.46                0.00                0.00
 162                0.00                0.00                0.00          7935942.92                0.00                0.00
