Stress_Period,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Runoff,Storage,Error
1,4066513,1129531,374104,-8086636,-281122,0,2797610,0
2,5971931,0,0,-3549323,-468617,0,-1953992,0
3,3847915,0,0,-1398627,-298094,0,-2151194,0
4,4629442,0,0,-1866853,-376095,0,-2386494,0
5,4771590,0,0,-2479018,-536387,0,-1756184,0
6,16933489,20656,180522,-12447960,-2860926,0,-1825782,0
7,6318744,1256048,2167682,-12774238,-429837,0,3461602,0
8,5365874,2899435,3644575,-12679045,-352627,0,1121788,0
9,5838298,4484970,5637584,-14444944,-745390,0,-770517,0
10,4285536,3665834,9245842,-16698309,-1403158,0,904254,0
11,1465048,1589535,8793778,-12098591,-701140,0,951370,0
12,372378,1403254,1599585,-7859041,-449521,0,4933345,0
13,3438474,874497,361383,-6241102,-387106,0,1953854,0
14,13615465,0,0,-2822369,-1708393,0,-9084703,0
15,10055835,0,0,-1388811,-3063876,0,-5603148,0
16,9275055,0,0,-1872624,-3379675,0,-4022755,0
17,662721,0,0,-2557027,-120441,0,2014747,0
18,7735621,69985,481571,-11267169,-774913,0,3754904,0
19,6684325,1929369,3663601,-15526823,-452525,0,3702053,0
20,2337380,4647109,5841393,-14299911,-164314,0,1638342,0
21,12947687,3823346,6176469,-18859781,-1711062,0,-2376658,0
22,1389836,4111959,9434609,-16442208,-1268312,0,2774117,0
23,0,1105998,10723667,-12058667,-786886,0,1015889,0
24,858482,2357297,1358477,-8863705,-497934,0,4787383,0
25,12384493,947494,286795,-9351373,-1319051,0,-2948358,0
26,5827405,0,0,-3744308,-636305,0,-1446793,0
27,22447534,0,0,-1429236,-7716612,0,-13301686,0
28,26584368,0,0,-1431127,-18954349,0,-6198892,0
29,874791,0,0,-2064208,-338608,0,1528025,0
30,9874164,0,0,-11331047,-686430,0,2143313,0
31,9819852,22415,38240,-14159649,-707368,0,4986510,0
32,19484765,2015775,2368685,-19237455,-1612964,0,-3018806,0
33,4549767,5732444,7205652,-23048107,-1438138,0,6998382,0
34,0,6529213,8343676,-14738355,-1814178,0,1679644,0
35,4894143,3988514,7196158,-14911990,-1637481,0,470657,0
36,1182363,2837696,1391258,-10306596,-939608,0,5834886,0
37,3719191,921075,278798,-7917980,-575333,0,3574249,0
38,3452041,0,0,-1955850,-257189,0,-1239002,0
39,12999486,0,0,-1406820,-1972368,0,-9620297,0
40,10455993,0,0,-1404586,-3735592,0,-5315815,0
41,265088,0,0,-2051007,-48120,0,1834039,0
42,3216089,87859,586918,-12178635,-189398,0,8477168,0
43,1114022,1994263,3848064,-10902100,-56547,0,4002298,0
44,7945150,4316014,5425207,-15167883,-484115,0,-2034373,0
45,0,5208337,8300440,-12648111,-501864,0,-358801,0
46,0,1602004,12664763,-14764039,-800172,0,1297444,0
47,0,879077,10390406,-10626951,-733624,0,91092,0
48,1028069,730558,2036774,-8450870,-538114,0,5193584,0
49,143110,807472,421197,-3839065,-146213,0,2613501,0
50,19999844,0,0,-3062704,-3226008,0,-13711131,0
51,9471551,0,0,-1407962,-3456640,0,-4606949,0
52,54559077,0,0,-979895,-41571018,0,-12008164,0
53,304852,0,0,-3270777,-132062,0,3097988,0
54,29760083,0,0,-9117669,-19668476,0,-973938,0
55,13849492,538,7751,-14266379,-1150574,0,1559171,0
56,9268192,2505483,3147919,-20932354,-1458065,0,7468824,0
57,6965293,5048970,6346530,-20342138,-1032214,0,3013559,0
58,8377836,5869137,7377474,-19091640,-2724156,0,191349,0
59,0,5107170,8635132,-13160389,-1535771,0,953857,0
60,310946,2788716,1340432,-9293537,-823615,0,5677057,0
61,114488,1185446,358820,-5746455,-251781,0,4339483,0
62,3265349,0,0,-2624949,-197907,0,-442493,0
63,47733147,0,0,-1442341,-22207274,0,-24083532,0
64,43721917,0,0,-1453428,-41317954,0,-950535,0
65,2920790,0,0,-2560137,-1502295,0,1141643,0
66,6807206,0,0,-10166232,-507691,0,3866716,0
67,9849335,74087,77689,-15170612,-699003,0,5868503,0
68,7416498,3362260,4038275,-19476943,-458091,0,5118000,0
69,1032528,6481829,8071598,-16683102,-403281,0,1500428,0
70,822959,6475757,9986905,-16323288,-1663200,0,700868,0
71,417674,3150682,10040269,-13954770,-1096476,0,1442621,0
72,2171415,2294534,1253356,-9241437,-661082,0,4183213,0
73,7737014,1093262,330917,-7939988,-798127,0,-423078,0
74,23920798,0,0,-3544178,-6682230,0,-13694390,0
75,51307607,0,0,-1464411,-40261076,0,-9582119,0
76,28758681,0,0,-1885610,-26718324,0,-154747,0
77,371124,0,0,-2049365,-187397,0,1865638,0
78,5305488,0,0,-11224059,-1010006,0,6928577,0
79,4437458,1285746,1579713,-13950526,-277579,0,6925187,0
80,1399788,5846223,7280101,-16617313,-78574,0,2169775,0
81,7069693,5498203,6846723,-14709150,-1727754,0,-2977715,0
82,2125851,3527914,5458228,-11425989,-1112761,0,1426758,0
83,6603800,472440,588313,-2156551,-1350570,0,-4157433,0
84,3581591,364421,110306,-2175287,-829514,0,-1051517,0
85,8211587,65596,19855,-1128322,-2334274,0,-4834442,0
86,13108212,0,0,-765679,-8280456,0,-4062077,0
87,6196957,0,0,-1414928,-4180673,0,-601356,0
88,31266384,0,0,-1488820,-28425713,0,-1351852,0
89,212071,0,0,-2051790,-98508,0,1938228,0
90,16716671,0,0,-10201947,-6016200,0,-498524,0
91,3540706,113933,106026,-15030373,-176077,0,11445785,0
92,18341374,1759431,2136221,-16716326,-1319054,0,-4201646,0
93,9645572,5313514,6616737,-23637692,-1663268,0,3725138,0
94,2344699,7621763,9491120,-19430604,-2338196,0,2311218,0
95,306842,5733216,9119007,-14304077,-1710731,0,855744,0
96,3763795,3013338,1283244,-11825404,-1211027,0,4976054,0
97,7519426,900826,272669,-8603409,-940128,0,850616,0
98,43554971,0,0,-3079643,-19684313,0,-20791016,0
99,6587372,0,0,-1414825,-5156519,0,-16028,0
100,24986579,0,0,-1895250,-22386004,0,-705325,0
101,2465321,0,0,-3315094,-1234579,0,2084352,0
102,4949309,0,0,-8987699,-739333,0,4777723,0
103,856278,1197169,1337746,-13256339,-32120,0,9897266,0
104,284198,5246380,6533137,-13757535,-13980,0,1707799,0
105,0,6406761,7978119,-12823388,-861231,0,-700261,0
106,0,7489798,9604537,-15161250,-1857084,0,-76002,0
107,1123400,4568059,7993717,-13237901,-1303063,0,855788,0
108,0,3169829,1505118,-10015610,-912980,0,6253642,0
109,6013542,1311914,397101,-6711027,-772394,0,-239136,0
110,17795032,0,0,-3794294,-3745866,0,-10254873,0
111,5312665,0,0,-1407566,-2185662,0,-1719438,0
112,35180875,0,0,-1455137,-22605967,0,-11119772,0
113,3489610,0,0,-2606969,-1274576,0,391934,0
114,9232849,0,0,-6787225,-4966915,0,2521291,0
115,14482354,12397,25558,-16384553,-2271467,0,4135712,0
116,2587126,3280925,3967282,-18533086,-117906,0,8815659,0
117,2008985,2725009,3393360,-8450824,-186680,0,510149,0
118,3989482,5117734,7418153,-15425935,-1003155,0,-96280,0
119,350077,2143318,9639918,-13176924,-790398,0,1834010,0
