Stress_Period,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Runoff,Storage,Error
1,4066513,1305663,508944,-6526536,-308837,0,954253,0
2,5971931,0,0,-2482747,-561558,0,-2927627,0
3,3847915,0,0,-709098,-365534,0,-2773284,0
4,4629442,0,0,-947483,-465813,0,-3216147,0
5,4771590,0,0,-1235589,-658702,0,-2877298,0
6,16933489,12451,160284,-10301115,-3237075,0,-3568034,0
7,6318744,1563410,2350991,-11613779,-876159,0,2256793,0
8,5365874,4951837,5879965,-15486259,-699234,0,-12183,0
9,5838298,7615031,9041824,-19476160,-1262085,0,-1756907,0
10,4285536,3899153,10777983,-17726504,-1837450,0,601283,0
11,1465048,1619622,9320313,-12149455,-1071832,0,816304,0
12,372378,1435289,2362864,-8000700,-640600,0,4470770,0
13,3438474,1184447,462676,-5982352,-853922,0,1750677,0
14,13615465,0,0,-1937455,-3469824,0,-8208186,0
15,10055835,0,0,-699281,-3661955,0,-5694598,0
16,9275055,0,0,-953252,-3708677,0,-4613127,0
17,662721,0,0,-1272687,-257208,0,867174,0
18,7735621,48240,266923,-9304303,-2186580,0,3440100,0
19,6684325,2545300,3854588,-14584880,-1256472,0,2757139,0
20,2337380,7989663,9511638,-21152216,-785561,0,2099094,0
21,12947687,6042398,9978366,-25133327,-2977610,0,-857514,0
22,1389836,4405422,10691617,-16966151,-1553311,0,2032587,0
23,0,1105998,11211296,-12257841,-1027588,0,968135,0
24,858482,2630676,2041026,-9184697,-799643,0,4454157,0
25,12384493,1028704,400986,-7812811,-3254675,0,-2746697,0
26,5827405,0,0,-2671904,-1694286,0,-1461216,0
27,22447534,0,0,-739706,-9290726,0,-12417102,0
28,26584368,0,0,-741598,-16768912,0,-9073858,0
29,874791,0,0,-1029658,-569122,0,723988,0
30,9874164,0,0,-9356954,-2680442,0,2163232,0
31,9819852,31931,29457,-12888669,-2271459,0,5278888,0
32,19484765,3585698,4075005,-22787677,-1725451,0,-2632339,0
33,4549767,9628274,11433850,-28057200,-2509005,0,4954314,0
34,0,7638323,8980611,-19538008,-2149435,0,5068509,0
35,4894143,5041093,7079330,-14410649,-2808873,0,204956,0
36,1182363,3934023,1766890,-10161495,-1413154,0,4691372,0
37,3719191,1000021,389805,-7090535,-1339933,0,3321451,0
38,3452041,0,0,-1606696,-870505,0,-974840,0
39,12999486,0,0,-717291,-4235844,0,-8046351,0
40,10455993,0,0,-715057,-5069786,0,-4671150,0
41,265088,0,0,-1017380,-124136,0,876428,0
42,3216089,85871,451080,-10061264,-716840,0,7025064,0
43,1114022,2747408,4386414,-11870367,-222193,0,3844716,0
44,7945150,7481236,8905996,-21326136,-1542254,0,-1463992,0
45,0,7952915,13292599,-21138698,-1163625,0,1056809,0
46,0,1612605,14113456,-16783529,-902349,0,1959817,0
47,0,879077,10721273,-10648725,-975288,0,23664,0
48,1028069,730558,2881607,-8272154,-717380,0,4349300,0
49,143110,1102363,545234,-4492651,-199120,0,2901065,0
50,19999844,0,0,-2211535,-5290611,0,-12497698,0
51,9471551,0,0,-718432,-3724765,0,-5028354,0
52,54559077,0,0,-520209,-38930349,0,-15108519,0
53,304852,0,0,-1625300,-207675,0,1528124,0
54,29760083,0,0,-7556398,-21998542,0,-205143,0
55,13849492,1536,5020,-13029023,-2831431,0,2004406,0
56,9268192,4443403,5263750,-24162071,-1412792,0,6599519,0
57,6965293,8473064,10061039,-26550814,-1796670,0,2848088,0
58,8377836,6810558,8023051,-21176991,-3502312,0,1467857,0
59,0,6617006,8399281,-15202091,-1968534,0,2154338,0
60,310946,3867991,1704971,-9713313,-1158048,0,4987453,0
61,114488,1287051,501689,-5969753,-356817,0,4423343,0
62,3265349,0,0,-2143329,-769985,0,-352035,0
63,47733147,0,0,-752811,-23318748,0,-23661588,0
64,43721917,0,0,-763898,-40625679,0,-2332340,0
65,2920790,0,0,-1274697,-2209752,0,563660,0
66,6807206,0,0,-8367286,-1975207,0,3535286,0
67,9849335,93109,67895,-13941813,-1858464,0,5789938,0
68,7416498,5793728,6666015,-23930211,-552277,0,4606248,0
69,1032528,10754024,12663551,-27704379,-1311891,0,4566166,0
70,822959,8524751,10436916,-19743105,-2088930,0,2047409,0
71,417674,3286977,10529565,-14729302,-1300149,0,1795234,0
72,2171415,2820961,1762747,-9369194,-956428,0,3570497,0
73,7737014,1186966,462676,-7108146,-1668566,0,-609943,0
74,23920798,0,0,-2475599,-8950201,0,-12494999,0
75,51307607,0,0,-774882,-37488739,0,-13043986,0
76,28758681,0,0,-966238,-27350769,0,-441674,0
77,371124,0,0,-1014029,-276470,0,919375,0
78,5305488,0,0,-9314917,-2172948,0,6182377,0
79,4437458,1727847,1959187,-13478072,-364418,0,5717997,0
80,1399788,10047183,11862309,-27115996,-895518,0,4702234,0
81,7069693,9058711,10889088,-24079083,-3118845,0,180435,0
82,2125851,4737285,5699504,-12000812,-1517943,0,956116,0
83,6603800,514770,583525,-1732935,-2993870,0,-2975290,0
84,3581591,395655,154225,-1771191,-1695253,0,-665028,0
85,8211587,71218,27761,-913951,-3656771,0,-3739844,0
86,13108212,0,0,-550237,-8110955,0,-4447021,0
87,6196957,0,0,-725398,-4226947,0,-1244612,0
88,31266384,0,0,-799290,-25375031,0,-5092063,0
89,212071,0,0,-1016939,-146971,0,951839,0
90,16716671,0,0,-8431624,-8294587,0,9540,0
91,3540706,139071,100523,-13883719,-609080,0,10712500,0
92,18341374,3120101,3592346,-19501564,-1493188,0,-4059068,0
93,9645572,8767275,10320682,-27949890,-3091497,0,2307859,0
94,2344699,8734193,10146390,-23673439,-2918945,0,5367104,0
95,306842,7319284,8813583,-15730571,-2233740,0,1524603,0
96,3763795,4083502,1634096,-11272410,-2456031,0,4247048,0
97,7519426,978036,381236,-7509524,-2491279,0,1122106,0
98,43554971,0,0,-2230198,-21433982,0,-19890791,0
99,6587372,0,0,-725295,-5221269,0,-640808,0
100,24986579,0,0,-975908,-22365013,0,-1645658,0
101,2465321,0,0,-1658177,-1833542,0,1026398,0
102,4949309,0,0,-7470282,-1750085,0,4271057,0
103,856278,1623429,1733496,-13406890,-32120,0,9225808,0
104,284198,9016520,10615403,-23476192,-637787,0,4197859,0
105,0,10698590,12594261,-23534213,-1782289,0,2023651,0
106,0,8853935,10403257,-17298981,-2139050,0,180839,0
107,1123400,5920676,7915644,-13281553,-1779149,0,100984,0
108,0,4368036,1907293,-10316405,-1203419,0,5244495,0
109,6013542,1424359,555212,-6555816,-1466751,0,29455,0
110,17795032,0,0,-2721024,-6359480,0,-8714528,0
111,5312665,0,0,-718036,-2545606,0,-2049023,0
112,35180875,0,0,-765607,-20960390,0,-13454878,0
113,3489610,0,0,-1317978,-2166032,0,-5601,0
114,9232849,0,0,-5635121,-5595814,0,1998087,0
115,14482354,18026,17913,-15356568,-3873315,0,4711589,0
116,2587126,5803853,6747393,-23835079,-117916,0,8814624,0
117,2008985,4434834,5216076,-11963732,-278002,0,581839,0
118,3989482,6559550,7478803,-18492241,-1488241,0,1952648,0
119,350077,2204179,10125673,-14162089,-1013921,0,2496081,0
120,883885,2511574,2082539,-9386565,-677957,0,4586524,0
121,11398943,984817,383879,-7724278,-2137697,0,-2905664,0
122,3806065,0,0,-2150786,-970578,0,-684701,0
123,5284851,0,0,-712322,-1864874,0,-2707655,0
124,6741824,0,0,-960462,-2469639,0,-3311722,0
125,3750330,0,0,-1125869,-1449790,0,-1174671,0
126,11768463,25451,137840,-9333230,-4294957,0,1696433,0
127,4996716,2138707,2965074,-12783044,-790688,0,3473234,0
128,2210440,10421203,12152315,-24310011,-1035559,0,561612,0
