Stress_Period,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Runoff,Storage,Error
94,2344699,9418743,11245713,-20461262,-2782367,0,234474,0
95,306842,7071538,10834728,-17171819,-2092830,0,1051543,0
96,3763795,3793549,1495298,-13554067,-1363722,0,5865148,0
97,7519426,1109440,314115,-9985138,-999817,0,2041973,0
98,43554971,0,0,-4049765,-13422334,0,-26082872,0
99,6587372,0,0,-1969140,-4417407,0,-200825,0
100,24986579,0,0,-2646595,-19324255,0,-3015728,0
101,2465321,0,0,-4594677,-1404723,0,3534078,0
102,4949309,0,0,-11328717,-778748,0,7158156,0
103,856278,1450982,1579301,-16058884,-32120,0,12204443,0
104,284198,6483317,7740898,-16397144,-14044,0,1902775,0
105,0,7917281,9453009,-15427512,-1015636,0,-927142,0
106,0,9191458,11413374,-18264977,-2225294,0,-114560,0
107,1123400,5647322,9499693,-15726823,-1596932,0,1053341,0
108,0,3994899,1753235,-12043076,-1024775,0,7319716,0
109,6013542,1615730,457460,-8197141,-781759,0,892168,0
110,17795032,0,0,-4974644,-3001600,0,-9818788,0
111,5312665,0,0,-1958713,-1287716,0,-2066236,0
112,35180875,0,0,-2040096,-15254661,0,-17886118,0
113,3489610,0,0,-3606009,-1436951,0,1553350,0
114,9232849,0,0,-8592847,-3027091,0,2387089,0
115,14482354,13626,25921,-20740516,-952618,0,7171232,0
116,2587126,4083071,4820665,-22152646,-98128,0,10759911,0
117,2008985,3367484,4020680,-8322994,-177768,0,-896387,0
118,3989482,6347417,8804408,-17436299,-1142199,0,-562809,0
119,350077,2172911,11957439,-15729272,-946356,0,2195202,0
120,883885,2471380,1818356,-10582440,-607169,0,6015989,0
121,11398943,1117133,316293,-10303492,-1197027,0,-1331849,0
122,3806065,0,0,-3719756,-304463,0,218154,0
123,5284851,0,0,-1948700,-859336,0,-2476814,0
124,6741824,0,0,-2608608,-1175606,0,-2957611,0
125,3750330,0,0,-2620236,-656003,0,-474092,0
126,11768463,71105,447456,-12611111,-1915204,0,2239290,0
127,4996716,2043973,3659989,-11674638,-273385,0,1247346,0
128,2210440,7414532,8765872,-16535677,-202491,0,-1652675,0
129,493376,4166396,10904857,-16111150,-1020086,0,1566609,0
130,2408668,1120078,13949909,-17344728,-1162978,0,1029051,0
131,0,845388,13656761,-13662320,-1039206,0,199377,0
132,2585536,692418,2626597,-10549499,-881583,0,5526530,0
133,1313505,674499,664041,-5584374,-246433,0,3178762,0
134,30908691,0,0,-3248548,-5253368,0,-22406775,0
135,24642115,0,0,-2042560,-11767280,0,-10832275,0
136,18780782,0,0,-2669077,-11853185,0,-4258520,0
137,12265877,0,0,-3670727,-8128235,0,-466914,0
138,2518332,1572,6239,-16896653,-101456,0,14471967,0
139,8206100,1996023,2479537,-16292844,-579713,0,4190897,0
140,1522817,5616100,6639666,-18167978,-74898,0,4464293,0
141,585936,7156826,8461198,-14902391,-1099856,0,-201713,0
142,901875,5221703,11239008,-17492996,-1465844,0,1596255,0
143,0,1794549,12692643,-15094066,-1020300,0,1627174,0
144,687834,1274771,2649846,-10726283,-686143,0,6799975,0
145,0,1115022,475893,-5498372,-185981,0,4093438,0
146,21522996,0,0,-3854431,-2964125,0,-14704440,0
147,72561527,0,0,-2031000,-47422385,0,-23108142,0
148,17614457,0,0,-2684424,-14901915,0,-28118,0
149,25944796,0,0,-8692590,-17160446,0,-91759,0
