Stress_Period,Precipitation,SW Irrigation,GW Irrigation,ET,Recharge,Runoff,Storage,Error
92,18341374,3114622,3678808,-18885972,-1306693,0,-4942138,0
93,9645572,8783681,10347728,-27599141,-2543630,0,1365791,0
94,2344699,12405275,13540603,-30023526,-3732306,0,5465256,0
95,306842,8650436,12960574,-22439483,-2604559,0,3126190,0
96,3763795,4576540,2100496,-15903628,-1868253,0,7331050,0
97,7519426,1442711,447436,-10053459,-1193135,0,1837021,0
98,43554971,0,0,-2725939,-15247045,0,-25581987,0
99,6587372,0,0,-725295,-5095224,0,-766853,0
100,24986579,1968835,0,-975940,-24091998,0,-1887476,0
101,2465321,1842097,0,-1658265,-3646008,0,996855,0
102,4949309,1968835,262,-9569580,-2944498,0,5595672,0
103,856278,2110898,2311630,-15791063,-32120,0,10544377,0
104,284198,8711899,10328154,-22434938,-47897,0,3158584,0
105,0,10605517,12515735,-22798326,-1531259,0,1208333,0
106,0,10921475,14020606,-22981022,-2675711,0,714653,0
107,1123400,6063729,11883553,-19016264,-1809619,0,1755200,0
108,0,4872944,2430001,-14020601,-1116108,0,7833764,0
109,6013542,2101087,651622,-9184231,-891704,0,1309684,0
110,17795032,0,0,-3349503,-3537507,0,-10908022,0
111,5312665,0,0,-718036,-1760430,0,-2834199,0
112,35180875,1968835,0,-765621,-19261636,0,-17122453,0
113,3489610,1842097,0,-1318038,-3830618,0,-183051,0
114,9232849,1968835,0,-7206375,-6913729,0,2918420,0
115,14482354,20458,33640,-17750289,-2023257,0,5237095,0
116,2587126,5570603,6575570,-22836178,-118552,0,8221430,0
117,2008985,4501017,5284985,-11880626,-217864,0,303503,0
118,3989482,7713320,10576497,-23741081,-1407682,0,2869465,0
119,350077,2204179,14624497,-19510142,-1126428,0,3457817,0
120,883885,2511574,2733213,-12493101,-793305,0,7157735,0
121,11398943,1452714,450538,-10355582,-1384159,0,-1562454,0
122,3806065,0,0,-2654114,-344581,0,-807370,0
123,5284851,0,0,-712322,-1038543,0,-3533986,0
124,6741824,1968835,0,-960499,-3183824,0,-4566337,0
125,3750330,1842097,0,-1125899,-2729686,0,-1736842,0
126,11768463,1964938,517855,-11969561,-4231668,0,1949973,0
127,4996716,2746870,4479040,-14893450,-394207,0,3065031,0
128,2210440,9938323,11738637,-22894476,-317122,0,-675802,0
129,493376,4225694,15097514,-21269216,-1192394,0,2645026,0
130,2408668,1120078,17300431,-20066296,-1572309,0,809428,0
131,0,845388,16749514,-16480044,-1346974,0,232116,0
132,2585536,692418,3535348,-12260762,-1200446,0,6647906,0
133,1313505,681611,960578,-7063629,-320877,0,4428813,0
134,30908691,0,0,-2238045,-5960537,0,-22710109,0
135,24642115,0,0,-773367,-11875265,0,-11993484,0
136,18780782,1968835,0,-992311,-16054066,0,-3703240,0
137,12265877,1842097,0,-1417387,-12083712,0,-606875,0
138,2518332,1970433,6766,-14275637,-1929889,0,11709995,0
139,8206100,2643443,3045915,-15633917,-774859,0,2513318,0
140,1522817,7528920,8917064,-20910567,-155508,0,3097274,0
141,585936,9569255,11136326,-22523540,-1481975,0,2713999,0
142,901875,5284745,14331354,-22460408,-1747807,0,3690242,0
143,0,1796448,15492643,-17687080,-1307224,0,1705213,0
144,687834,1279228,3631803,-12505455,-905239,0,7811828,0
145,0,1360974,662112,-6726305,-239457,0,4942676,0
146,21522996,0,0,-2580566,-3263344,0,-15679086,0
147,72561527,0,0,-765887,-48777440,0,-23018200,0
148,17614457,1968835,0,-1003673,-18383747,0,-195872,0
149,25944796,1842097,0,-3343521,-24386567,0,-56805,0
150,18665194,1968835,0,-14352833,-8525224,0,2244029,0
151,17230283,51,333,-12977750,-3150767,0,-1102151,0
152,1577937,4855954,5773231,-24552441,-59290,0,12404609,0
153,0,11866546,13866106,-29290855,-1497359,0,5055563,0
154,7023777,10049295,13363089,-28456133,-3636088,0,1656061,0
155,14685089,6901896,10300395,-23941273,-5472073,0,-2474035,0
156,419339,4047776,2392853,-14099330,-1349218,0,8588580,0
157,0,1731387,674059,-8842086,-318862,0,6755503,0
