Date,PRCP_mm_cal,PRCP_mm_fj,PRCP_mm_et,PRCP_mm_gv,PRCP_mm_yr,PRCP_mm_y2,PRCP_mm_orig,mean_PRCP_fjcal,month_day1,water_year,fj_interp,cal_interp,gv_interp,interp_cal_fj_gv_mean,interp_cal_fj_mean,interp_cal_gv_mean,stitched
1935-11-12,NA,NA,NA,NA,3.8,NA,NA,NA,1935-11-01,1936,3.25980624781266,2.66806198887921,3.13688192133326,3.02158338600838,2.96393411834593,2.90247195510624,2.96393411834593
1935-11-13,NA,NA,NA,NA,0,NA,NA,NA,1935-11-01,1936,0,0,0,0,0,0,0
1935-11-14,NA,NA,NA,NA,0,NA,NA,NA,1935-11-01,1936,0,0,0,0,0,0,0
1935-11-15,NA,NA,NA,NA,0,NA,NA,NA,1935-11-01,1936,0,0,0,0,0,0,0
1935-11-16,NA,NA,NA,NA,0,NA,NA,NA,1935-11-01,1936,0,0,0,0,0,0,0
1935-11-17,NA,NA,NA,NA,3,NA,NA,NA,1935-11-01,1936,2.57353124827315,2.10636472806253,2.47648572736837,2.38546056790135,2.33994798816784,2.29142522771545,2.33994798816784
1935-11-18,NA,NA,NA,NA,0,NA,NA,NA,1935-11-01,1936,0,0,0,0,0,0,0
1935-11-19,NA,NA,NA,NA,7.6,NA,NA,NA,1935-11-01,1936,6.51961249562531,5.33612397775842,6.27376384266653,6.04316677201675,5.92786823669186,5.80494391021247,5.92786823669186
1935-11-20,NA,NA,NA,NA,0,NA,NA,NA,1935-11-01,1936,0,0,0,0,0,0,0
1935-11-21,NA,NA,NA,NA,0,NA,NA,NA,1935-11-01,1936,0,0,0,0,0,0,0
1935-11-22,NA,NA,NA,NA,0,NA,NA,NA,1935-11-01,1936,0,0,0,0,0,0,0
1935-11-23,NA,NA,NA,NA,0,NA,NA,NA,1935-11-01,1936,0,0,0,0,0,0,0
1935-11-24,NA,NA,NA,NA,0,NA,NA,NA,1935-11-01,1936,0,0,0,0,0,0,0
1935-11-25,NA,NA,NA,NA,0,NA,NA,NA,1935-11-01,1936,0,0,0,0,0,0,0
1935-11-26,NA,NA,NA,NA,0,NA,NA,NA,1935-11-01,1936,0,0,0,0,0,0,0
1935-11-27,NA,NA,NA,NA,0,NA,NA,NA,1935-11-01,1936,0,0,0,0,0,0,0
1935-11-28,NA,NA,NA,NA,0,NA,NA,NA,1935-11-01,1936,0,0,0,0,0,0,0
1935-11-29,NA,NA,NA,NA,0,NA,NA,NA,1935-11-01,1936,0,0,0,0,0,0,0
1935-11-30,NA,NA,NA,NA,0,NA,NA,NA,1935-11-01,1936,0,0,0,0,0,0,0
1935-12-01,NA,NA,NA,NA,0,NA,NA,NA,1935-12-01,1936,0,0,0,0,0,0,0
1935-12-02,NA,NA,NA,NA,0,NA,NA,NA,1935-12-01,1936,0,0,0,0,0,0,0
1935-12-03,NA,NA,NA,NA,0,NA,NA,NA,1935-12-01,1936,0,0,0,0,0,0,0
1935-12-04,NA,NA,NA,NA,0,NA,NA,NA,1935-12-01,1936,0,0,0,0,0,0,0
1935-12-05,NA,NA,NA,NA,4.3,NA,NA,NA,1935-12-01,1936,3.71098997478519,3.37584458787101,3.37698594498778,3.48794016921466,3.5434172813281,3.3764152664294,3.5434172813281
1935-12-06,NA,NA,NA,NA,0.5,NA,NA,NA,1935-12-01,1936,0.431510462184324,0.392540068357094,0.392672784300905,0.405574438280775,0.412025265270709,0.392606426329,0.412025265270709
1935-12-07,NA,NA,NA,NA,8.9,NA,NA,NA,1935-12-01,1936,7.68088622688097,6.98721321675628,6.98957556055611,7.21922500139779,7.33404972181863,6.98839438865619,7.33404972181863
1935-12-08,NA,NA,NA,NA,1,NA,NA,NA,1935-12-01,1936,0.863020924368648,0.785080136714189,0.78534556860181,0.811148876561549,0.824050530541419,0.785212852657999,0.824050530541419
1935-12-09,NA,NA,NA,NA,0,NA,NA,NA,1935-12-01,1936,0,0,0,0,0,0,0
1935-12-10,NA,NA,NA,NA,0,NA,NA,NA,1935-12-01,1936,0,0,0,0,0,0,0
1935-12-11,NA,NA,NA,NA,10.2,NA,NA,NA,1935-12-01,1936,8.80281342856021,8.00781739448473,8.01052479973846,8.2737185409278,8.40531541152247,8.00917109711159,8.40531541152247
1935-12-12,NA,NA,NA,NA,12.4,NA,NA,NA,1935-12-01,1936,10.7014594621712,9.73499369525594,9.73828505066244,10.0582460693632,10.2182265787136,9.73663937295919,10.2182265787136
1935-12-13,NA,NA,NA,NA,0,NA,NA,NA,1935-12-01,1936,0,0,0,0,0,0,0
1935-12-14,NA,NA,NA,NA,0,NA,NA,NA,1935-12-01,1936,0,0,0,0,0,0,0
1935-12-15,NA,NA,NA,NA,0,NA,NA,NA,1935-12-01,1936,0,0,0,0,0,0,0
1935-12-16,NA,NA,NA,NA,0,NA,NA,NA,1935-12-01,1936,0,0,0,0,0,0,0
1935-12-17,NA,NA,NA,NA,0,NA,NA,NA,1935-12-01,1936,0,0,0,0,0,0,0
1935-12-18,NA,NA,NA,NA,0,NA,NA,NA,1935-12-01,1936,0,0,0,0,0,0,0
1935-12-19,NA,NA,NA,NA,0,NA,NA,NA,1935-12-01,1936,0,0,0,0,0,0,0
1935-12-20,NA,NA,NA,NA,0,NA,NA,NA,1935-12-01,1936,0,0,0,0,0,0,0
1935-12-21,NA,NA,NA,NA,0,NA,NA,NA,1935-12-01,1936,0,0,0,0,0,0,0
1935-12-22,NA,NA,NA,NA,0,NA,NA,NA,1935-12-01,1936,0,0,0,0,0,0,0
1935-12-23,NA,NA,NA,NA,0,NA,NA,NA,1935-12-01,1936,0,0,0,0,0,0,0
1935-12-24,NA,NA,NA,NA,0,NA,NA,NA,1935-12-01,1936,0,0,0,0,0,0,0
1935-12-25,NA,NA,NA,NA,5.8,NA,NA,NA,1935-12-01,1936,5.00552136133816,4.55346479294229,4.5550042978905,4.70466348405698,4.77949307714023,4.5542345454164,4.77949307714023
1935-12-26,NA,NA,NA,NA,0,NA,NA,NA,1935-12-01,1936,0,0,0,0,0,0,0
1935-12-27,NA,NA,NA,NA,12.4,NA,NA,NA,1935-12-01,1936,10.7014594621712,9.73499369525594,9.73828505066244,10.0582460693632,10.2182265787136,9.73663937295919,10.2182265787136
1935-12-28,NA,NA,NA,NA,10.9,NA,NA,NA,1935-12-01,1936,9.40692807561827,8.55737349018466,8.56026669775973,8.84152275452088,8.98215078290146,8.55882009397219,8.98215078290146
1935-12-29,NA,NA,NA,NA,0,NA,NA,NA,1935-12-01,1936,0,0,0,0,0,0,0
1935-12-30,NA,NA,NA,NA,1.5,NA,NA,NA,1935-12-01,1936,1.29453138655297,1.17762020507128,1.17801835290272,1.21672331484232,1.23607579581213,1.177819278987,1.23607579581213
1935-12-31,NA,NA,NA,NA,7.6,NA,NA,NA,1935-12-01,1936,6.55895902520173,5.96660903902783,5.96862632137376,6.16473146186777,6.26278403211478,5.96761768020079,6.26278403211478
1936-01-01,NA,NA,NA,NA,0,NA,NA,NA,1936-01-01,1936,0,0,0,0,0,0,0
1936-01-02,NA,NA,NA,NA,43.9,NA,NA,NA,1936-01-01,1936,42.5603634175809,31.0442283531966,41.6251779508837,38.4099232405538,36.8022958853888,36.3347031520402,36.8022958853888
1936-01-03,NA,NA,NA,NA,11.7,NA,NA,NA,1936-01-01,1936,11.3429670156195,8.27374650871072,11.0937262420351,10.2368132554551,9.80835676216511,9.6837363753729,9.80835676216511
1936-01-04,NA,NA,NA,NA,0,NA,NA,NA,1936-01-01,1936,0,0,0,0,0,0,0
1936-01-05,NA,NA,50.8,NA,1.5,NA,NA,NA,1936-01-01,1936,27.2085982189835,1.06073673188599,29.9524870233423,19.4072739914039,14.1346674754347,15.5066118776141,14.1346674754347
1936-01-06,NA,NA,57.2,NA,0,NA,NA,NA,1936-01-01,1936,30.6364531127137,0,33.7260286955744,21.4541606027627,15.3182265563568,16.8630143477872,15.3182265563568
1936-01-07,NA,NA,63.5,NA,4.6,NA,NA,NA,1936-01-01,1936,34.0107477737294,3.2529259777837,37.4406087791779,24.9014275102303,18.6318368757565,20.3467673784808,18.6318368757565
1936-01-08,NA,NA,38.1,NA,26.7,NA,NA,NA,1936-01-01,1936,20.4064486642376,18.8811138275706,22.4643652675067,20.5839759197717,19.6437812459041,20.6727395475387,19.6437812459041
1936-01-09,NA,25.9,NA,NA,0,NA,NA,25.9,1936-01-01,1936,25.9,16.053501335661,23.1983805736721,21.7172939697777,20.9767506678305,19.6259409546666,20.9767506678305
1936-01-10,NA,3,NA,NA,7.4,NA,NA,3,1936-01-01,1936,3,1.85947891918854,2.68707110891955,2.51551667603603,2.42973945959427,2.27327501405404,2.42973945959427
1936-01-11,NA,20.8,NA,NA,20.1,NA,NA,20.8,1936-01-01,1936,20.8,12.8923871730405,18.6303596885089,17.4409156205165,16.8461935865203,15.7613734307747,16.8461935865203
1936-01-12,NA,7.1,NA,NA,20.3,NA,NA,7.1,1936-01-01,1936,7.1,4.40076677541287,6.35940162444293,5.9533894666186,5.75038338770643,5.3800841999279,5.75038338770643
