Source,Year,FA_Tim,FA_Mag,FA_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_BFL_Dur,Wet_Tim,Peak_2,Peak_5,Peak_10,Peak_Dur_2,Peak_Dur_5,Peak_Dur_10,Peak_Fre_2,Peak_Fre_5,Peak_Fre_10,SP_Tim,SP_Mag,SP_ROC,SP_Dur,DS_Mag_50,DS_Mag_90,DS_Dur_WS,DS_Tim,DS_7d_Low_Mag,DS_7d_Low_Tim,DS_No_Flow_Tim,DS_No_Flow_Dur,Overall_Int_Class,Int_Class,WYT,Avg,Std,CV
fj_alf_curtail_07.15_update_2025-09-30,1991,,,,,,,,2100.163845,3728.922504338952,6061.982531,,,,,,,237,376.5001505,0.044116291,50,56.21551331,352.7700678,271,287,23.192098860312655,300,,,Perennial,Perennial,dry,146.15668960395945,109.10546257920625,0.7464965365242545
fj_alf_curtail_07.15_update_2025-09-30,1992,68,125.4370505,67,467.50545,606.2628249,21,192,2100.163845,3728.922504338952,6061.982531,,,,,,,213,532.2906966,0.048424598876191854,51,40.48921452,545.6811272,261,264,10.912337599634512,304,,,Perennial,Perennial,dry,150.31242831759164,177.18321715216788,1.178766247976525
fj_alf_curtail_07.15_update_2025-09-30,1993,72,170.7442311,71,845.0683348,1119.797755,85,159,2100.163845,3728.922504338952,6061.982531,5,,,2,,,244,2401.808118,0.041523099,62,,,,306,55.72496293,367,,,Perennial,Perennial,moderate,493.4823902463613,550.5548786,1.1156525328094835
fj_alf_curtail_07.15_update_2025-09-30,1994,73,187.8271004,68,,,,,2100.163845,3728.922504338952,6061.982531,,,,,,,222,355.1583325,0.05968938,37,9.646578897,30.701089537975513,183,259,7.875207765901274,300,,,Perennial,Perennial,dry,132.02328465581567,112.7530200165545,0.854038894
fj_alf_curtail_07.15_update_2025-09-30,1995,,,,52.70786114946774,876.1310503,95,76,2100.163845,3728.922504338952,6061.982531,18,2,,6,1,,171,2710.147054,0.041233771060156924,152,84.6729424,1294.011938178583,169,323,63.58486504698782,370,,,Perennial,Perennial,wet,681.8604472043553,758.9281414212109,1.1130256118137296
fj_alf_curtail_07.15_update_2025-09-30,1996,67,379.092574,50,972.0069209,1224.670176,82,126,2100.163845,3728.922504338952,6061.982531,12,,,3,,,208,1915.636128,0.045487325,98,641.6473036,1616.212183468182,263,306,42.27706308807654,363,,,Perennial,Perennial,wet,659.0349507893088,659.2341021084633,1.0003021862784605
fj_alf_curtail_07.15_update_2025-09-30,1997,50,1710.954731,49,,,,203,2100.163845,3728.922504338952,6061.982531,16,7,4,3,2,1,124,1756.474683,0.026078186291103943,38,159.3483926,633.4514315651976,303,162,57.61026047294621,299,,,Perennial,Perennial,wet,702.2218038,1230.051791958002,1.7516570766779311
fj_alf_curtail_07.15_update_2025-09-30,1998,58,259.6148122,5,886.1965478,1265.362727,121,99,2100.163845,3728.922504338952,6061.982531,10,3,,2,1,,220,1815.686016,0.034462779084403275,104,501.51754096701245,1352.771865058764,192,324,75.08274189,366,,,Perennial,Perennial,wet,744.0231539459245,736.0000588117822,0.989216606
fj_alf_curtail_07.15_update_2025-09-30,1999,55,1528.673092,52,760.4329347188971,1025.1617438962849,90,150,2100.163845,3728.922504338952,6061.982531,1,,,1,,,240,1585.085002,0.040460325194943546,66,77.46227193,237.0118436,161,306,55.70019770339357,364,,,Perennial,Perennial,wet,644.8345333432158,502.98489542179675,0.7800216480559998
fj_alf_curtail_07.15_update_2025-09-30,2000,62,279.4933359,7,709.9618097,940.5945820069135,96,101,2100.163845,3728.922504338952,6061.982531,,,,,,,197,1531.547641,0.036296213,113,69.47719865112134,141.6652929537583,210,310,40.94332172470718,362,,,Perennial,Perennial,moderate,462.2434874811115,410.40797647190703,0.8878610247346694
fj_alf_curtail_07.15_update_2025-09-30,2001,,,,163.8672430061579,211.8232345,74,154,2100.163845,3728.922504338952,6061.982531,,,,,,,228,280.0661038,0.080953826,25,13.0465152,693.4643751401061,303,253,8.237814244772862,300,,,Perennial,Perennial,dry,104.34664749732418,105.049921,1.0067397806884006
fj_alf_curtail_07.15_update_2025-09-30,2002,68,124.6476574,67,836.5042256912936,890.5014221,7,190,2100.163845,3728.922504338952,6061.982531,,,,,,,197,1292.662722,0.04563393,94,29.83973751219085,73.77767203363874,148,291,23.507111760454013,360,,,Perennial,Perennial,moderate,310.9901637381779,324.89245309017616,1.0447033088921185
