"Date","alf_curtail_07.15_update_2025-09-30","alf_curtail_07.31_update_2025-09-30","alf_curtail_08.15_update_2025-09-30","basecase_0_curtail_update_2025-09-30","basecase_0_mar_0_curt_update_2025-09-30","basecase_0_mar_update_2025-09-30","basecase_update_2025-09-30","curtail_all_07.15","curtail_all_07.31","curtail_all_08.15","eflows25_div_lims_update_2025-09-30","grain_12k","grain_12k_update_2025-09-30","grain_14k","grain_14k_update_2025-09-30","grain_6k","grain_6k_update_2025-09-30","irr_eff_0.1","irr_eff_0.1_update_2025-09-30","irr_eff_0.2_update_2025-09-30","irr_eff_minus_0.1_update_2025-09-30","maxMAR_fields2024_update_2025-09-30","natveg_high_12k_update_2025-09-30","natveg_high_4k_update_2025-09-30","natveg_high_8k_update_2025-09-30","natveg_high_all_update_2025-09-30","natveg_low_12k_update_2025-09-30","natveg_low_4k_update_2025-09-30","natveg_low_8k_update_2025-09-30","natveg_low_all_update_2025-09-30","reservoir_etna_update_2025-09-30","reservoir_french_update_2025-09-30","reservoir_shackleford_update_2025-09-30"
1990-10-01,81.8751215722582,81.8751215722582,81.8751215722582,81.8751215722582,81.8751215722582,81.8751215722582,81.8751215722582,81.8751215722582,81.8751215722582,81.8751215722582,81.6178558598383,82.1796410882003,81.8751215722582,82.2646251797868,81.8751215722582,81.9572281724789,81.8751215722582,81.9418107045363,82.3412383874001,81.9926736343026,81.7871291942439,81.8751215722582,81.9841719552674,81.8003681069338,81.8905063414354,81.6586516571701,82.2823438233529,81.9790872972291,82.1557260285681,82.4935042763897,81.7747404494575,81.8751297469496,81.8751215722582
1990-10-02,93.6406932853681,93.6406932853681,93.6406932853681,93.6406932853681,93.6406932853681,93.6406932853681,93.6406932853681,93.6406932853681,93.6406932853681,93.6406932853681,94.0501227031354,95.4378419624214,93.6406932853681,95.6403495046325,93.6406932853681,94.9870281695429,93.6406932853681,94.9573049916852,95.7146206631654,95.0750328095942,94.6331580417397,93.6406932853681,95.0260868449565,94.3886979833665,94.8745566781911,94.3455192634974,95.5667323214099,94.7462262855622,95.4078817185137,96.0270982411659,94.7748499674293,93.6406687612939,94.2520702789869
1990-10-03,103.971843727338,103.971843727338,103.971843727338,103.971843727338,103.971843727338,103.971843727338,103.971843727338,103.971843727338,103.971843727338,103.971843727338,102.914549580977,105.084934229713,103.971843727338,105.375605818457,103.971843727338,104.358657861402,103.971843727338,104.337387314432,105.396283700303,104.424766590593,103.863430970256,103.971843727338,104.445182882314,103.912376934894,104.213042083851,103.542672429888,105.327877882835,104.390653603464,104.996884628859,105.828545031095,104.126549761704,103.971774242461,104.0229478105
1990-10-04,110.116722451573,110.116722451573,110.116722451573,110.116722451573,110.116722451573,110.116722451573,110.116722451573,110.116722451573,110.116722451573,110.116722451573,108.57260908415,111.322285062838,110.116722451573,111.649767286867,110.116722451573,110.457030766376,110.116722451573,110.450262121914,111.734387604687,110.782804479907,109.699784579773,110.116722451573,110.543236974324,109.88541547163,110.120768923806,109.478597867759,111.661367173935,110.535213514735,111.243652706454,112.307012473819,109.985109920355,110.116518084288,110.134424745756
1990-10-05,113.980960377084,113.980960377084,113.980960377084,113.980960377084,113.980960377084,113.980960377084,113.980960377084,113.980960377084,113.980960377084,113.980960377084,112.161911701824,115.344666480441,113.980960377084,115.708824457346,113.980960377084,114.439879376466,113.980960377084,114.386093994531,115.908311451092,114.69165987097,113.718973780392,113.980960377084,114.101242786049,113.754190350857,114.271366288359,113.322235570992,115.823065769382,113.966196884452,115.240488213495,116.562683234024,113.793952049729,113.980768271837,113.99050432927
1990-10-06,116.619419679547,116.619419679547,116.619419679547,116.619419679547,116.619419679547,116.619419679547,116.619419679547,116.619419679547,116.619419679547,116.619419679547,114.485465542946,117.996626285719,116.619419679547,118.488383020374,116.619419679547,117.013476590174,116.619419679547,117.005739244783,118.769784509093,116.985069537629,116.188204709252,116.619419679547,116.845539817809,116.288614443473,116.631080876801,115.866403895733,118.519193432185,117.237095272874,117.972662177938,119.443035741767,116.797501243915,116.619162176769,116.626098402405
1990-10-07,117.983174831053,117.983174831053,117.983174831053,117.983174831053,117.983174831053,117.983174831053,117.983174831053,117.983174831053,117.983174831053,117.983174831053,116.113725096089,119.846252394086,117.983174831053,120.307905827734,117.983174831053,118.784613399257,117.983174831053,118.776197554481,120.851175380121,118.83652268952,117.820625180307,117.983174831053,119.096964269541,117.831750935275,118.573591915973,117.687058897849,120.509448756362,118.849320168875,119.633362993822,121.53601015048,117.99684291504,117.982831494015,117.98792841409
1990-10-08,118.940316745971,118.940316745971,118.940316745971,118.940316745971,118.940316745971,118.940316745971,118.940316745971,118.940316745971,118.940316745971,118.940316745971,117.081355140048,121.026166911147,118.940316745971,121.608597322589,118.940316745971,119.857643826524,118.940316745971,119.939149586928,122.180024599434,120.507646236913,118.363375639791,118.940316745971,119.636837237659,119.262448634492,119.839712640982,118.818591503978,121.841208165807,120.274283322088,121.174255532841,122.869048899125,119.789781626033,118.939969321588,118.944162938266
1990-10-09,120.343334940175,120.343334940175,120.343334940175,120.343334940175,120.343334940175,120.343334940175,120.343334940175,120.343334940175,120.343334940175,120.343334940175,117.645126818416,121.766487399248,120.343334940175,122.550452564627,120.343334940175,120.578704741734,120.343334940175,120.541751049351,123.136667858178,121.277612243304,119.823056707295,120.343334940175,121.104643948395,119.231679096137,120.455495793254,119.570802080691,122.482986836668,121.01555207439,121.834999487704,123.8317332548,120.493365051072,120.34295072968,120.346388187406
1990-10-10,120.014111506883,120.014111506883,120.014111506883,120.014111506883,120.014111506883,120.014111506883,120.014111506883,120.014111506883,120.014111506883,120.014111506883,118.058075440822,122.055973657742,120.014111506883,122.426144120157,120.014111506883,120.545274341335,120.014111506883,121.123098314185,123.857982188821,121.138376812374,119.998644990792,120.014111506883,121.377805348203,120.401722673357,120.06912717987,119.898889231882,122.915260429496,121.269862635876,121.751413268343,124.702975512697,120.476696855348,120.013600588671,120.016576176334
1990-10-11,120.891374424982,120.891374424982,120.891374424982,120.891374424982,120.891374424982,120.891374424982,120.891374424982,120.891374424982,120.891374424982,120.891374424982,117.855992982563,122.428751846707,120.891374424982,123.096726316095,120.891374424982,121.209586548985,120.891374424982,120.694348013341,124.272410430367,121.785313713496,119.500883945318,120.891374424982,121.392609714292,120.035725390891,121.057868364318,120.194338927738,123.300643992569,120.856272300196,122.515914493546,124.780827186055,121.035093674134,120.890924816956,120.893213730542
1990-10-12,120.6431294845,120.6431294845,120.6431294845,120.6431294845,120.6431294845,120.6431294845,120.6431294845,120.6431294845,120.6431294845,120.6431294845,117.661512987287,122.246889487576,120.6431294845,122.559788062183,120.6431294845,121.016242835811,120.6431294845,121.177549933467,124.112390846603,121.759293670833,119.870584362978,120.6431294845,121.294268176991,120.452250440777,120.816522863361,120.03308087823,123.168381573387,121.378304004377,122.283651074712,124.850324324822,120.742566430446,120.64256951814,120.644842082344
1990-10-13,120.260374084705,120.260374084705,120.260374084705,120.260374084705,120.260374084705,120.260374084705,120.260374084705,120.260374084705,120.260374084705,120.260374084705,117.238574892014,122.642442366726,120.260374084705,122.84591452252,120.260374084705,120.02748530198,120.260374084705,120.071424268148,123.438620521027,121.314005969328,119.401651366656,120.260374084705,120.976199110086,120.078756966316,120.549083747518,119.472219389994,122.891897161532,120.978140599289,122.132431546219,124.604086271073,120.285997654836,120.259760982852,120.261870053228
1990-10-14,118.668851594624,118.668851594624,118.668851594624,118.668851594624,118.668851594624,118.668851594624,118.668851594624,118.668851594624,118.668851594624,118.668851594624,116.743253991917,121.840096407779,118.668851594624,122.51483952163,118.668851594624,120.42407227959,118.668851594624,120.566634809911,123.85551751937,120.752609038806,117.845468067411,118.668851594624,120.541967678672,119.528179239836,119.965639674345,119.609680912894,122.473263041271,120.57927697013,121.690434157994,124.485786224768,118.708192296891,118.668267104191,118.670155457899
1990-10-15,118.686631548376,118.686631548376,118.686631548376,118.686631548376,118.686631548376,118.686631548376,118.686631548376,118.686631548376,118.686631548376,118.686631548376,116.153564454529,121.088625640635,118.686631548376,121.831856318868,118.686631548376,119.499849846858,118.686631548376,119.422750245108,123.353652778823,119.80113627236,118.209626044316,118.686631548376,120.12270819452,118.207390266223,119.351822535349,118.993309182842,122.024398912287,119.526940774092,121.089520769342,124.012328536767,119.307601542329,118.685904000843,118.687706520292
1990-10-16,118.765341564328,118.765341564328,118.765341564328,118.765341564328,118.765341564328,118.765341564328,118.765341564328,118.765341564328,118.765341564328,118.765341564328,115.398439600339,119.994708876892,118.765341564328,120.957434106023,118.765341564328,118.467831846245,118.765341564328,119.24134975604,123.422385583946,119.712350949281,116.927630068647,118.765341564328,119.515929464803,118.309075252299,117.985014136613,118.33561847521,121.263420979068,119.320693310574,120.268614173616,123.40774879903,118.686570238191,118.764802034697,118.766322527294
1990-10-17,117.402837140604,117.402837140604,117.402837140604,117.402837140604,117.402837140604,117.402837140604,117.402837140604,117.402837140604,117.402837140604,117.402837140604,114.47159717902,119.761771046019,117.402837140604,120.390020602646,117.402837140604,118.494538562983,117.402837140604,118.353463826493,122.284672911135,118.989479339931,116.922394178818,117.402837140604,118.705000079907,117.488107346389,118.169610930011,117.559905660779,120.420716568778,118.340666347137,119.677518589311,122.640590799128,117.891924838524,117.402121855108,117.403715919927
