Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,FA_Dif_num,SP_ROC,SP_ROC_Max,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5,Mean_Ann_Flow,WY_Cat
1991,NA,282,NA,NA,NA,NA,NA,NA,0.045620530477906214,0.1547690925036547,45,376.500150474458,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6076.011036703976,2107.46016620542,3715.5384908770516,NA,NA,NA,141.90140157160607,dry year
1992,211,264,12.79043665439885,148.9429509245574,67,123.594626331323,68,73.7799249785833,0.04956110370377871,0.13968466061957688,51,531.3404296228,213,21,464.281674586668,598.9959126055985,192,NA,NA,NA,NA,NA,NA,6076.011036703976,2107.46016620542,3715.5384908770516,NA,NA,NA,146.3383676258129,dry year
1993,500,306,50.650410270881295,58.136145201128016,22,180.50915341858,72,167.58441148962257,0.05371745125676451,0.24151657121142261,62,2389.40711120719,244,134,508.3774844703302,979.882598387219,110,NA,205.5,NA,NA,5,NA,6076.011036703976,2107.46016620542,3715.5384908770516,NA,2,NA,482.27854501357797,mod year
1994,NA,258,NA,NA,66,202.837084457306,73,145.25652030251715,0.05683948531287972,0.21940062055784182,36,354.26583191407,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6076.011036703976,2107.46016620542,3715.5384908770516,NA,NA,NA,131.57281658631308,dry year
1995,150,341,102.995944983048,1319.32006331822,NA,NA,NA,0,0.04128707727958224,0.13665149685319444,151,1645.34731490144,190,114,14.090946711978221,973.060900177523,76,NA,103.5,124,NA,17,2,6076.011036703976,2107.46016620542,3715.5384908770516,NA,6,1,668.1447927841599,wet year
1996,277,291,581.8069277306874,1595.485686732828,49,379.095488279892,67,275.4567836630175,0.060226231829580576,0.1707582946085985,83,1915.6545212145,208,82,972.9934589736378,1222.74601691354,126,NA,92,NA,NA,12,NA,6076.011036703976,2107.46016620542,3715.5384908770516,NA,3,NA,655.7566411497417,wet year
1997,301,165,163.178705509338,627.9500563717052,47,1735.99115406486,50,1117.40263164116,0.025459702891055307,0.08042865988350656,41,1784.29765346941,124,-79,481.7295968983867,736.8093764066265,203,92,80,81,4,15,7,6076.011036703976,2107.46016620542,3715.5384908770516,1,2,2,699.635117585627,wet year
1998,121,352,204.2193164550035,915.7808908133576,5,275.839657595837,58,108.83585867066103,0.03755735580931835,0.12853324601748295,132,1815.79760049853,220,119,895.6863753812524,1275.0460574245099,101,NA,141,174,NA,9,3,6076.011036703976,2107.46016620542,3715.5384908770516,NA,2,1,740.3744513779069,wet year
1999,163,303,65.4616287951106,226.5119262872148,46,1472.13030500678,55,1263.041559919088,0.06204638135034482,0.26307103780174135,63,1586.26951514695,240,132,797.9362933505785,1061.27992151035,108,NA,152,NA,NA,1,NA,6076.011036703976,2107.46016620542,3715.5384908770516,NA,1,NA,639.6095830375061,wet year
2000,216,303,66.61532298957,134.06400344730642,2,181.165478952752,52,115.3399660328978,0.04835766988003885,0.19601198603976214,106,1548.32047234123,197,96,696.4791113994446,938.675614078915,101,NA,NA,NA,NA,NA,NA,6076.011036703976,2107.46016620542,3715.5384908770516,NA,NA,NA,460.6104733532477,mod year
