Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,FA_Dif_num,SP_ROC,SP_ROC_Max,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5,Mean_Ann_Flow,WY_Cat
2010,101,328,80.3214560779582,325.595776249005,4,67.6265854487699,59,34.2395955226297,0.04263167455348284,0.19990041307792775,80,2183.46742482024,248,173,181.76337996763118,553.221462545819,75,NA,248,NA,NA,1,NA,6102.655871028696,2177.93765483624,3792.753682763636,NA,1,NA,426.1314434234008,mod year
2011,117,337,86.32921457265769,125.80412156476208,24,137.258226500461,25,54.98619913762961,0.04556582817418997,0.14084706536609326,65,1469.02465800461,272,208,536.8582890814611,1002.37370852793,64,NA,NA,NA,NA,NA,NA,6102.655871028696,2177.93765483624,3792.753682763636,NA,NA,NA,672.2824712751902,wet year
2012,168,313,49.4887396213079,566.4759316734252,12,134.134386722619,55,46.96247795803551,0.041673633701271556,0.1303556692536583,84,1418.92810555512,229,140,202.432527155601,498.645506207749,89,NA,183,NA,NA,1,NA,6102.655871028696,2177.93765483624,3792.753682763636,NA,1,NA,383.45634717402083,mod year
2013,151,290,39.793342285182845,60.4767293768027,51,159.008680990721,52,105.19575852075178,0.03862486834272126,0.15887867712693982,69,748.197211980449,221,105,379.720903262283,501.0496625058785,116,NA,66,NA,NA,1,NA,6102.655871028696,2177.93765483624,3792.753682763636,NA,1,NA,310.723704067944,dry year
2014,160,263,11.347223707047,55.576628484587,NA,NA,NA,0,0.035815233332509674,0.10620522742566076,83,602.264665137534,180,104,67.76971775508066,98.1758076957076,76,NA,NA,NA,NA,NA,NA,6102.655871028696,2177.93765483624,3792.753682763636,NA,NA,NA,150.2513795789125,dry year
2015,328,193,62.9997673505296,1040.093320445372,25,46.4898867873204,26,34.99781919795505,0.03611445921615684,0.3627219635717449,63,6215.41936235652,130,72,382.074722672036,579.80106283332,58,130,130,130,1,5,2,6102.655871028696,2177.93765483624,3792.753682763636,1,1,1,357.75322486595513,mod year
2016,125,309,62.0492326299188,542.687923094663,58,288.999300303435,71,224.20974558543975,0.038631531247540596,0.10961455932023273,114,1916.23001948765,195,39,1289.1332047034239,1713.595360825645,156,NA,116,NA,NA,9,NA,6102.655871028696,2177.93765483624,3792.753682763636,NA,4,NA,571.8140481655536,wet year
2017,72,342,66.5621302727603,123.1105399095896,17,242.530422472961,18,173.51841689685563,0.03598915265378728,0.18839764191548264,125,2249.82895634123,217,148,824.8143516203628,1461.93115130652,69,133,76,132,1,29,3,6102.655871028696,2177.93765483624,3792.753682763636,1,5,1,983.5955746453832,wet year
2018,161,280,28.179000932032,66.51840057869215,1,141.757834138791,44,74.94579333217985,0.04258916664183326,0.17173292762391693,62,500.093775406087,218,169,197.2128322078042,339.9442712724845,49,NA,NA,NA,NA,NA,NA,6102.655871028696,2177.93765483624,3792.753682763636,NA,NA,NA,233.27123988275753,dry year
2019,160,319,59.9877491760746,167.231525390295,NA,NA,NA,0,0.0403638917783123,0.16878911847777456,98,1540.1737792792,221,145,230.2594688583385,781.9777139740355,76,NA,191,NA,NA,1,NA,6102.655871028696,2177.93765483624,3792.753682763636,NA,1,NA,504.94608766167744,mod year
2020,154,287,25.1763920317227,49.43024970448398,3,203.636720506061,75,143.25504930176692,0.04410532826168833,0.16071516189155155,56,449.127721907968,231,117,193.02425972318022,247.04769357569052,114,NA,NA,NA,NA,NA,NA,6102.655871028696,2177.93765483624,3792.753682763636,NA,NA,NA,156.42550130438485,dry year
2021,187,275,25.03607815463255,219.2540249105436,NA,NA,NA,0,0.036501713569209615,0.07846975535126596,57,420.248294821075,218,142,88.39360004194181,270.059488640175,76,NA,NA,NA,NA,NA,NA,6102.655871028696,2177.93765483624,3792.753682763636,NA,NA,NA,141.53058874306242,dry year
2022,145,296,27.85387833267035,54.68017139112775,36,186.752242885054,37,160.18158857106468,0.04622062956164842,0.09419641931391555,58,341.341415950932,238,141,248.2922167660737,290.9440614264095,97,NA,NA,NA,NA,NA,NA,6102.655871028696,2177.93765483624,3792.753682763636,NA,NA,NA,182.16840113155985,dry year
2023,122,321,56.9304718227943,146.57716540156173,NA,NA,NA,0,0.045119872123127416,0.16606296512349739,79,1706.62999241494,242,166,366.2501452890026,687.036541735789,76,NA,NA,NA,NA,NA,NA,6102.655871028696,2177.93765483624,3792.753682763636,NA,NA,NA,470.72235974581133,mod year
2024,184,305,53.7406132373674,1232.9315597526536,NA,NA,NA,5.102386900290497,0.04771362571570767,0.11687529130223283,75,1779.95362247008,230,152,393.30127894215383,896.095158998401,78,NA,NA,NA,NA,NA,NA,6102.655871028696,2177.93765483624,3792.753682763636,NA,NA,NA,519.6479053314421,wet year
2025,NA,322,49.705236104142955,59.474763994109225,47,124.163037147048,49,62.4060926510939,0.033638466674368005,0.13990838323823276,123,1847.15919087605,199,75,1112.91805726028,1366.635708380595,124,NA,118,NA,NA,13,NA,6102.655871028696,2177.93765483624,3792.753682763636,NA,2,NA,742.0114243793844,wet year
