Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,FA_Dif_num,SP_ROC,SP_ROC_Max,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5,Mean_Ann_Flow,WY_Cat
1991,NA,287,NA,NA,NA,NA,NA,NA,0.04411629142788088,0.1547690925036547,50,376.500150474458,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6061.9825305736795,2100.16384541421,3728.922504338952,NA,NA,NA,146.15668960395945,dry year
1992,260,264,40.4892145238436,544.045330598312,67,125.437050536584,68,68.54059564829475,0.048424598876191854,0.1394585566004,51,532.290696622269,213,21,465.208929829902,601.21386987082,192,NA,NA,NA,NA,NA,NA,6061.9825305736795,2100.16384541421,3728.922504338952,NA,NA,NA,150.31242831759167,dry year
1993,500,306,73.62680483434426,88.76735428905765,71,170.744231149738,72,129.38040721261729,0.04152309925583603,0.24079656853359924,62,2401.80811803064,244,85,840.7163253464439,1106.51606814276,159,NA,205.5,NA,NA,5,NA,6061.9825305736795,2100.16384541421,3728.922504338952,NA,2,NA,493.48239024636126,mod year
1994,NA,259,NA,NA,68,187.827100355845,73,120.8355269771463,0.05968938001526578,0.2155448089437958,37,355.158332456902,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6061.9825305736795,2100.16384541421,3728.922504338952,NA,NA,NA,132.02328465581567,dry year
1995,168,323,85.1976676608196,1294.0119381785828,NA,NA,NA,0,0.041233771060156924,0.13446632958233962,152,2710.14705415274,171,95,52.25525750791155,875.571492705574,76,NA,103.5,124,NA,18,2,6061.9825305736795,2100.16384541421,3728.922504338952,NA,6,1,681.8604472043554,wet year
1996,262,306,641.094857927103,1616.212183468182,50,379.092574002415,67,293.0186080370793,0.04548732545783683,0.16995609535401987,98,1915.6361281589,208,82,972.2125797542551,1219.28505695054,126,NA,92,NA,NA,12,NA,6061.9825305736795,2100.16384541421,3728.922504338952,NA,3,NA,659.0349507893089,wet year
1997,302,162,160.99888726675,639.7595711383283,49,1710.95473114262,50,1067.544759743244,0.026078186291103943,0.07921587918874301,38,1756.47468262301,124,-79,481.97003092125544,736.5098148410066,203,92,66,81,4,16,7,6061.9825305736795,2100.16384541421,3728.922504338952,1,3,2,702.22180376243,wet year
1998,191,324,501.51754096701245,1352.7718650587642,5,259.614812171665,58,96.3586248937545,0.034462779084403275,0.16482788915703994,104,1815.6860159612,220,121,885.9061950509491,1263.965324569105,99,NA,141,174,NA,10,3,6061.9825305736795,2100.16384541421,3728.922504338952,NA,2,1,744.0231539459245,wet year
1999,160,306,77.9697281629943,237.011843641459,52,1528.67309209088,55,1025.113697147699,0.040460325194943546,0.23542048224649975,66,1585.08500236598,240,90,760.465870550467,1027.08040527336,150,NA,152,NA,NA,1,NA,6061.9825305736795,2100.16384541421,3728.922504338952,NA,1,NA,644.8345333432158,wet year
2000,209,310,69.45411945368275,141.6376342942091,7,279.493335908128,62,201.00507480886327,0.0362962126079632,0.1804130061953832,113,1531.54764056774,197,96,708.9423603230719,939.194870475373,101,NA,NA,NA,NA,NA,NA,6061.9825305736795,2100.16384541421,3728.922504338952,NA,NA,NA,462.2434874811115,mod year
