Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,FA_Dif_num,SP_ROC,SP_ROC_Max,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5,Mean_Ann_Flow,WY_Cat
1991,NA,283,NA,NA,NA,NA,NA,NA,0.043221540158722205,0.15433362482514618,46,378.941955313738,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6099.595348322937,2123.68365871817,3753.8632424985917,NA,NA,NA,144.29819337649758,dry year
1992,210,265,11.6573040568003,155.973508002932,67,121.274906420457,68,71.5188135175662,0.046516275846252904,0.1434905702492243,52,545.690241997796,213,21,477.5933706412803,614.84069210344,192,NA,NA,NA,NA,NA,NA,6099.595348322937,2123.68365871817,3753.8632424985917,NA,NA,NA,147.69812365464003,dry year
1993,489,317,39.0865363968013,44.55014860346395,20,155.973508002932,72,144.1008265785466,0.04595235040673559,0.2426539804937563,74,2423.96132730316,243,133,528.3504667656889,1012.160919092815,110,NA,205.5,NA,NA,5,NA,6099.595348322937,2123.68365871817,3753.8632424985917,NA,2,NA,492.11320175711467,mod year
1994,NA,259,NA,NA,72,194.315925132548,73,143.5325841614637,0.05939477971141344,0.2138315354707696,37,357.629921784225,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6099.595348322937,2123.68365871817,3753.8632424985917,NA,NA,NA,133.4482409456477,dry year
1995,125,329,59.0859213103787,603.7855869055115,NA,NA,NA,0,0.04910332871554644,0.11652358514745584,139,1663.95753118295,190,114,14.821002975835839,1017.66683941472,76,NA,103.5,124,NA,17,2,6099.595348322937,2123.68365871817,3753.8632424985917,NA,6,1,675.3209631372873,wet year
1996,272,296,626.265395535386,1648.020152868496,3,2077.64849731356,74,2018.2654300588638,0.0519778008821448,0.1696661594544501,88,1924.1206403422,208,119,974.3228395478911,1243.87922906912,89,NA,92,NA,NA,12,NA,6099.595348322937,2123.68365871817,3753.8632424985917,NA,3,NA,663.3357178263958,wet year
1997,304,162,174.804853773616,644.1289436809385,49,1702.88255039253,50,1068.9499483180139,0.026375202470880155,0.08043985445948969,38,1795.29159153909,124,-79,489.2883620690145,742.246220586365,203,92,66,81,4,16,7,6099.595348322937,2123.68365871817,3753.8632424985917,1,3,2,710.6659645996514,wet year
1998,184,331,547.106956887407,1404.457503940294,5,285.145930630113,58,108.71878891540752,0.04646315097807424,0.2009164230984057,111,1837.36754554109,220,119,900.7407053145924,1277.5405644991151,101,NA,141,174,NA,9,2,6099.595348322937,2123.68365871817,3753.8632424985917,NA,2,1,742.5480174821494,wet year
1999,158,308,55.4535625932068,243.07102462355022,54,1561.59637550963,55,1013.651042711019,0.05348798338847601,0.23968722064316517,68,1587.12074576035,240,90,768.782801560479,1039.89014666582,150,NA,115,NA,NA,1,NA,6099.595348322937,2123.68365871817,3753.8632424985917,NA,1,NA,648.5643232371814,wet year
2000,211,308,64.08165505590705,142.9846010820276,7,290.695704083921,62,234.5100774409068,0.04353286622705413,0.18338947140749037,111,1560.46610180598,197,96,721.6511606263714,952.312102884091,101,NA,NA,NA,NA,NA,NA,6099.595348322937,2123.68365871817,3753.8632424985917,NA,NA,NA,464.8733169193481,mod year
2001,302,253,11.0601481650407,705.783267188654,NA,NA,NA,0,0.08025483390742584,0.16151278287198514,25,281.67143337818,228,74,170.5454332824744,219.587995795855,154,NA,NA,NA,NA,NA,NA,6099.595348322937,2123.68365871817,3753.8632424985917,NA,NA,NA,104.79920095523387,dry year
2002,155,286,10.54108959611445,68.9567507933951,67,50.6207586215732,68,39.19096378746785,0.0502459077944421,0.16194209668209864,89,1314.19763820568,197,7,797.8356342882703,898.3031022666814,190,NA,NA,NA,NA,NA,NA,6099.595348322937,2123.68365871817,3753.8632424985917,NA,NA,NA,306.73774747378656,dry year
2003,159,306,61.1016244488221,422.30225960252244,NA,NA,NA,0,0.04781461362349937,0.2248220081250202,129,2163.99306191295,177,101,717.0716085936901,1165.47155407748,76,NA,89,NA,NA,8,NA,6099.595348322937,2123.68365871817,3753.8632424985917,NA,5,NA,658.7385621186495,wet year
2004,193,288,24.85242839923145,398.0000964521926,14,540.113304044532,67,478.72039490511213,0.04658973445793703,0.1499120437525356,92,1040.48910630323,196,96,603.3681667269204,933.629050102386,100,NA,141,NA,NA,2,NA,6099.595348322937,2123.68365871817,3753.8632424985917,NA,1,NA,431.19379061664785,mod year
2005,133,310,30.480419343835948,657.3422491501003,34,60.3895352574016,35,32.63708236435575,0.04882267849247905,0.19856801987115597,79,1485.69130053706,231,115,611.778370965578,782.694634408062,116,NA,NA,NA,NA,NA,NA,6099.595348322937,2123.68365871817,3753.8632424985917,NA,NA,NA,420.6071366696355,mod year
2006,276,160,194.636491567669,1350.3091902323881,35,100.195332502371,36,68.4485993064426,0.040599180526370626,0.11901084262923796,35,3414.4529175429702,125,47,1779.7623551285171,2450.4489623126346,78,92,92,89,2,41,6,6099.595348322937,2123.68365871817,3753.8632424985917,1,4,1,910.6392470831339,wet year
2007,157,270,12.059260784809801,80.10583428710086,1,385.029647984424,47,187.7227177216135,0.05385153747388585,0.19713689075728857,94,990.782895367139,176,105,398.07597312011296,649.9401601144615,71,NA,74,75,NA,3,1,6099.595348322937,2123.68365871817,3753.8632424985917,NA,1,1,366.662626926005,mod year
2008,212,297,44.913033780921,240.54458148212882,18,83.8780067946177,19,71.7512257157838,0.05702774165495167,0.22152514458266928,56,1170.07513152813,241,179,244.5896280490519,545.727130292648,62,NA,NA,NA,NA,NA,NA,6099.595348322937,2123.68365871817,3753.8632424985917,NA,NA,NA,366.76924191603104,mod year
2009,167,289,12.6138980630292,75.94693307104424,44,170.21887643351,45,113.4275501200404,0.059235705763346184,0.11931405779373813,53,813.305154578313,236,92,418.7726731053798,570.927230973045,144,NA,NA,NA,NA,NA,NA,6099.595348322937,2123.68365871817,3753.8632424985917,NA,NA,NA,255.90161938160398,dry year
2010,155,317,142.4544649888125,899.7937981132816,6,76.0972946656768,71,63.272432546571196,0.054595400813493775,0.24779593285467702,69,2075.15623827908,248,157,433.7537719348494,581.3108670210205,91,NA,NA,NA,NA,NA,NA,6099.595348322937,2123.68365871817,3753.8632424985917,NA,NA,NA,406.42979852240103,mod year
2011,116,337,80.1257703157037,121.90956820500298,38,403.317225546548,39,250.771508696349,0.04846396908691542,0.1522942871037057,72,1394.62883542807,265,158,547.5094623415746,1031.14514794169,107,NA,NA,NA,NA,NA,NA,6099.595348322937,2123.68365871817,3753.8632424985917,NA,NA,NA,653.8869364654662,wet year
2012,180,301,36.0970775094132,533.972516753333,NA,NA,NA,2.1381743210265114,0.05201309348031202,0.1331564941000358,72,1354.96907495726,229,141,204.202714883014,501.170218767005,88,NA,183,NA,NA,1,NA,6099.595348322937,2123.68365871817,3753.8632424985917,NA,1,NA,368.9183632488242,mod year
2013,172,269,14.985358661148,54.01823638373102,47,143.37407280826,52,106.70059658343929,0.057547069312684045,0.18713782593236244,48,665.057249022383,221,105,380.250265620959,498.800191805387,116,NA,66,NA,NA,1,NA,6099.595348322937,2123.68365871817,3753.8632424985917,NA,1,NA,291.5170889785993,dry year
2014,197,248,8.405521571068055,211.30252467688445,NA,NA,NA,0,0.04112276275404559,0.16142460956819807,68,613.327147994433,180,104,64.65270139213355,105.600107367826,76,NA,NA,NA,NA,NA,NA,6099.595348322937,2123.68365871817,3753.8632424985917,NA,NA,NA,142.06723654683077,dry year
2015,313,208,14.1850318509719,1034.580259530557,24,106.617472234141,54,98.14150423826939,0.030984436946164824,0.3629252427743253,78,6206.83961501864,130,50,420.658173846868,575.089375089172,80,130,130,130,1,5,2,6099.595348322937,2123.68365871817,3753.8632424985917,1,1,1,335.74544022431064,mod year
2016,142,292,25.9871186842725,513.7290461822479,70,254.221457350068,71,239.1099382681179,0.05052812832497865,0.1359058004397502,97,1909.32649261724,195,39,1282.361045123494,1704.68709307793,156,NA,110,NA,NA,10,NA,6099.595348322937,2123.68365871817,3753.8632424985917,NA,5,NA,542.4564357287641,wet year
2017,150,317,60.4319046828242,272.565795881789,17,211.497135875957,18,184.143347762702,0.045548842997754815,0.2373978616996326,100,2198.48617219086,217,148,806.8214144596484,1456.89995574979,69,133,89.5,132,1,31,3,6099.595348322937,2123.68365871817,3753.8632424985917,1,6,1,958.5565762799033,wet year
2018,172,269,10.6908380888936,44.167872240584515,40,120.839015526693,41,60.110287799861005,0.05900479256085886,0.19554568451997736,60,646.768992960875,209,107,257.2320792872352,356.005765926155,102,NA,NA,NA,NA,NA,NA,6099.595348322937,2123.68365871817,3753.8632424985917,NA,NA,NA,222.71114959950881,dry year
2019,181,298,50.370608977999495,170.0466663412264,NA,NA,NA,0,0.05370997638747903,0.1713520511184955,77,1479.79849250888,221,145,206.99824965414052,778.003894310576,76,NA,191,NA,NA,2,NA,6099.595348322937,2123.68365871817,3753.8632424985917,NA,1,NA,477.2450126653211,mod year
2020,170,271,10.3085486465079,31.0640602227043,3,182.681512255284,75,131.8998757073524,0.060664631518966866,0.2403914859458061,40,382.084179972494,231,117,180.2401705122706,245.4175701929135,114,NA,NA,NA,NA,NA,NA,6099.595348322937,2123.68365871817,3753.8632424985917,NA,NA,NA,141.3018746847983,dry year
2021,206,256,11.194625108118201,185.1122174986084,NA,NA,NA,0,0.07186805183678009,0.12231779145979535,38,339.148783879605,218,142,83.58427133154414,263.910052525496,76,NA,NA,NA,NA,NA,NA,6099.595348322937,2123.68365871817,3753.8632424985917,NA,NA,NA,121.83172117442213,dry year
2022,147,294,35.698011965377404,56.89220200509891,42,193.498317024794,43,182.20855199725335,0.041913040749623286,0.12649470061505477,63,330.690254952855,231,134,238.7064702440394,278.618901433246,97,NA,NA,NA,NA,NA,NA,6099.595348322937,2123.68365871817,3753.8632424985917,NA,NA,NA,165.65997671828737,dry year
2023,142,301,42.7834244927887,90.34255273792188,NA,NA,NA,0,0.060759214816634925,0.19012852051871865,59,1636.43923108428,242,166,357.6146310239984,669.470192670049,76,NA,NA,NA,NA,NA,NA,6099.595348322937,2123.68365871817,3753.8632424985917,NA,NA,NA,447.2763978310948,mod year
2024,194,295,42.5331317921159,1126.5573254605235,NA,NA,NA,23.968101117208505,0.05528163355078271,0.12294048348667637,65,1687.74343069133,230,152,393.6198540224546,886.481926302805,78,NA,120,NA,NA,1,NA,6099.595348322937,2123.68365871817,3753.8632424985917,NA,1,NA,498.6769010184196,wet year
2025,NA,300,29.271100053146853,41.572221344471004,48,98.3901399289998,49,55.3010514634758,0.04495378136223207,0.1317742281872155,101,1841.24132741878,199,75,1106.76220810021,1352.32564544244,124,NA,90,NA,NA,14,NA,6099.595348322937,2123.68365871817,3753.8632424985917,NA,3,NA,710.8751831312345,wet year
