Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,FA_Dif_num,SP_ROC,SP_ROC_Max,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5,Mean_Ann_Flow,WY_Cat
1991,NA,286,NA,NA,NA,NA,NA,NA,0.043120824751467224,0.13600868523983953,49,402.181278607075,237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6058.745434534112,2123.57738773023,3717.8973798216593,NA,NA,NA,146.5299709149438,dry year
1992,205,270,10.6742485745743,132.38338009106002,67,95.1138298948837,68,56.309732355137896,0.042007024169332795,0.10326759853418863,57,539.387023588876,213,21,470.8282045098225,607.0651913402539,192,NA,NA,NA,NA,NA,NA,6058.745434534112,2123.57738773023,3717.8973798216593,NA,NA,NA,144.78981421273724,dry year
1993,493,313,30.7949183186475,36.27639803000632,21,133.12923075788,73,122.17890323614381,0.05273346419218562,0.2420804916627815,69,2486.14559152897,244,134,503.5776572037236,1000.35782963362,110,NA,205.5,NA,NA,5,NA,6058.745434534112,2123.57738773023,3717.8973798216593,NA,2,NA,485.37884448875604,mod year
1994,NA,263,NA,NA,72,190.197274461908,73,148.9255098117632,0.05979889976288302,0.19427922191741367,41,387.932636212598,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6058.745434534112,2123.57738773023,3717.8973798216593,NA,NA,NA,130.40774213298695,dry year
1995,128,326,51.0720465465518,549.8400750287049,NA,NA,NA,0,0.05100014587544103,0.11901493516527815,136,1637.50022427849,190,114,14.244458178693378,961.136559608431,76,NA,103.5,124,NA,16,2,6058.745434534112,2123.57738773023,3717.8973798216593,NA,6,1,666.9071094935532,wet year
1996,272,294,599.150312089038,1613.4505683527284,3,2026.00038844015,74,1974.57146552304,0.05828862959247594,0.15676231853273268,86,1912.37830927668,208,119,932.6065392678472,1232.181102647245,89,NA,92,NA,NA,12,NA,6058.745434534112,2123.57738773023,3717.8973798216593,NA,3,NA,656.6991819100078,wet year
1997,289,152,156.32780321468698,683.9602623123963,49,1706.6513692329,50,1091.815336703547,0.027572176434854663,0.07996742389915525,28,1776.16301807717,124,-77,482.72251943747585,727.6661680286525,201,92,80,81,4,15,7,6058.745434534112,2123.57738773023,3717.8973798216593,1,2,2,703.9371868862668,wet year
1998,188,327,514.816925936407,1375.1411069003782,NA,NA,NA,86.353581283988,0.0538450642327625,0.1951732680594357,107,1851.59089544043,220,144,290.5307543437864,1192.76554064468,76,NA,141,174,NA,9,2,6058.745434534112,2123.57738773023,3717.8973798216593,NA,2,1,735.0307100483284,wet year
1999,194,307,70.6415505994674,728.6038991388893,54,1491.67852625069,55,973.1383349416201,0.05709083558305231,0.2358039256256259,67,1642.84761689781,240,90,786.616054299776,1033.29987396909,150,NA,NA,NA,NA,NA,NA,6058.745434534112,2123.57738773023,3717.8973798216593,NA,NA,NA,642.9907929521715,wet year
2000,197,306,48.45972173243055,125.95786216807701,51,170.622489558361,52,91.23869510576296,0.047401863774304505,0.18043760537295309,109,1537.62012831246,197,61,866.7091258499602,954.7422342640809,136,NA,NA,NA,NA,NA,NA,6058.745434534112,2123.57738773023,3717.8973798216593,NA,NA,NA,455.4661568560835,mod year
2001,298,257,11.6259238689999,679.1238165157524,NA,NA,NA,0,0.07175644478887115,0.11767708357269645,29,334.567637782105,228,90,154.84953698633,197.608985109301,138,NA,NA,NA,NA,NA,NA,6058.745434534112,2123.57738773023,3717.8973798216593,NA,NA,NA,101.30144008930426,dry year
2002,154,287,9.99917377262065,40.11654358682948,67,50.8872535605612,68,38.5259401773005,0.0481097860766009,0.1628814112653362,90,1315.60098747489,197,7,794.362498122452,896.0983880014956,190,NA,NA,NA,NA,NA,NA,6058.745434534112,2123.57738773023,3717.8973798216593,NA,NA,NA,302.85758081609663,dry year
2003,182,321,96.2521883683143,613.5116834776449,NA,NA,NA,0,0.04908302834201987,0.2196711204021297,79,1530.87220669247,242,166,736.9971000194762,1062.60463024848,76,NA,89,NA,NA,6,NA,6058.745434534112,2123.57738773023,3717.8973798216593,NA,3,NA,643.9781514894763,wet year
2004,290,289,73.876083873286,773.39700610992,65,518.192092513381,67,419.8719524666682,0.0442821688244717,0.15700703669868932,93,1039.95746524933,196,58,872.192361403281,1033.69250439607,138,NA,141,NA,NA,1,NA,6058.745434534112,2123.57738773023,3717.8973798216593,NA,1,NA,421.210129581744,mod year
2005,138,306,21.4042432308108,593.9127709724894,69,1154.6828416349,70,866.9916186599819,0.05469456243823907,0.18780241664105535,75,1513.30254687672,231,17,993.2030536236445,1140.4323517601701,214,NA,NA,NA,NA,NA,NA,6058.745434534112,2123.57738773023,3717.8973798216593,NA,NA,NA,407.66132630847244,mod year
2006,276,160,189.777160722507,1369.343869189112,24,60.2614950663167,36,38.116206456646594,0.04129649716095003,0.11975555028118459,35,3392.42866402698,125,46,1768.970393246108,2401.75171266012,79,92,92.5,89,2,40,6,6058.745434534112,2123.57738773023,3717.8973798216593,1,4,1,899.5333690215012,wet year
2007,152,275,10.973847948142,76.02230004695673,1,361.913975072902,47,171.22860205073152,0.04868138939880973,0.1771705943649501,99,980.204681227591,176,105,376.2419712402765,618.512232116396,71,NA,74,75,NA,3,1,6058.745434534112,2123.57738773023,3717.8973798216593,NA,1,1,361.80365733613297,mod year
2008,211,298,36.549955207497845,217.0220329264257,18,83.5413811782807,19,72.40947455046995,0.06268498862696346,0.21228414472366258,57,1206.21270359749,241,179,224.31460235177104,500.915985865087,62,NA,230,NA,NA,1,NA,6058.745434534112,2123.57738773023,3717.8973798216593,NA,1,NA,359.9328514742295,mod year
2009,254,289,31.137479169661,484.3815934897751,44,160.213095057847,45,120.05698285835565,0.061623004228524,0.11734321008000057,53,840.656323111715,236,92,405.3754755012172,556.378650977146,144,NA,NA,NA,NA,NA,NA,6058.745434534112,2123.57738773023,3717.8973798216593,NA,NA,NA,250.41462375356346,dry year
2010,156,316,113.265229360654,858.4431926521227,71,60.9953452861907,72,28.043333549522245,0.05627402282456364,0.24160899758416365,68,2123.57738773023,248,70,567.508493291016,935.262557807395,178,NA,248,NA,NA,1,NA,6058.745434534112,2123.57738773023,3717.8973798216593,NA,1,NA,395.71253734272557,mod year
2011,116,337,70.3864634423002,113.7821878513648,38,375.487817130687,39,255.965233467101,0.051585569712482196,0.15404147555213996,65,1429.23205879887,272,165,524.0211788222605,1056.3890649678851,107,NA,NA,NA,NA,NA,NA,6058.745434534112,2123.57738773023,3717.8973798216593,NA,NA,NA,641.8979557807253,wet year
2012,236,298,57.0434297082831,496.0494285927458,NA,NA,NA,4.766004481022492,0.05726187865399222,0.1346716095807105,69,1378.49350696186,229,141,183.14020399824602,472.427247715973,88,NA,183,NA,NA,1,NA,6058.745434534112,2123.57738773023,3717.8973798216593,NA,1,NA,359.93339716614844,mod year
2013,166,275,12.5949411580863,47.147570955199456,36,119.650480797572,52,48.0601019443194,0.050497147893401734,0.16708822205320165,54,704.95848987656,221,52,482.2742071001596,585.196767878689,169,NA,66,NA,NA,1,NA,6058.745434534112,2123.57738773023,3717.8973798216593,NA,1,NA,284.8849626929123,dry year
2014,238,251,9.46015219860991,624.2221722984128,NA,NA,NA,0,0.03951897030627053,0.11384428154383858,71,580.131115997787,180,104,56.44229887284,88.0633711216096,76,NA,NA,NA,NA,NA,NA,6058.745434534112,2123.57738773023,3717.8973798216593,NA,NA,NA,134.29505764787433,dry year
2015,328,193,31.6360078186554,1010.030247094808,24,106.22463335253,54,96.70843199557498,0.0363001341744878,0.3647932680457168,63,6158.60076118526,130,6,496.4219084054754,860.243537633505,124,130,130,130,1,5,2,6058.745434534112,2123.57738773023,3717.8973798216593,1,1,1,327.55142147523236,mod year
2016,140,294,19.4098245363135,484.819895917497,70,215.284458130274,71,181.1423151472581,0.05286926752105254,0.11046064513036166,99,1898.46600638434,195,39,1259.1255107996142,1681.4404166496952,156,NA,116,NA,NA,9,NA,6058.745434534112,2123.57738773023,3717.8973798216593,NA,4,NA,538.0504807219174,wet year
2017,156,311,53.9818688167197,255.7858676587183,17,164.579066928843,18,142.81924219858868,0.05360329598418581,0.23483396720671842,94,2217.55731844583,217,148,778.5274751187732,1436.62059010886,69,133,76,132,1,30,3,6058.745434534112,2123.57738773023,3717.8973798216593,1,5,1,948.5237206791336,wet year
2018,168,273,10.2661779948816,36.44488242494692,41,107.025826679992,42,52.627373546874644,0.05252496752963645,0.18350846207320165,55,464.427923902802,218,116,248.5070832154474,350.089766298523,102,NA,NA,NA,NA,NA,NA,6058.745434534112,2123.57738773023,3717.8973798216593,NA,NA,NA,216.43090376205657,dry year
2019,180,299,44.3255350608231,152.980103600749,NA,NA,NA,0,0.0562068109220782,0.1712225128980547,78,1506.14253906426,221,145,197.699425807384,755.7623779344275,76,NA,191,NA,NA,2,NA,6058.745434534112,2123.57738773023,3717.8973798216593,NA,1,NA,474.7221023220431,mod year
2020,164,277,9.69787426761316,18.64515090686899,3,179.552036027736,75,134.79232062731973,0.055482550298325176,0.20975746304588377,46,406.603095882233,231,117,165.1207775675833,235.473722322818,114,NA,NA,NA,NA,NA,NA,6058.745434534112,2123.57738773023,3717.8973798216593,NA,NA,NA,137.57801516618474,dry year
2021,200,260,10.6309204622201,158.809410626296,NA,NA,NA,0,0.057136722022864544,0.09449729510522446,42,370.526368040807,218,142,65.86815864984538,243.059402664815,76,NA,NA,NA,NA,NA,NA,6058.745434534112,2123.57738773023,3717.8973798216593,NA,NA,NA,117.3025311555349,dry year
2022,156,285,12.4602827368601,25.58542906430379,5,48.6198394124906,36,37.90253085543945,0.05022356739167664,0.1249673654779656,47,305.133484312856,238,143,231.65802407978342,270.9637362145195,95,NA,NA,NA,NA,NA,NA,6058.745434534112,2123.57738773023,3717.8973798216593,NA,NA,NA,155.38658424807258,dry year
2023,152,302,39.832409952757,152.8878383115508,NA,NA,NA,0,0.061611220707792784,0.17681873524027367,60,1670.61925068234,242,166,340.7603548002956,656.984496043892,76,NA,NA,NA,NA,NA,NA,6058.745434534112,2123.57738773023,3717.8973798216593,NA,NA,NA,438.00967544083676,mod year
2024,196,293,33.0553287998783,1098.1950702237884,7,171.961340512577,69,131.33152926732146,0.06379774781456798,0.139543334042912,63,1726.48807533561,230,141,504.34243228108886,894.9334331696605,89,NA,NA,NA,NA,NA,NA,6058.745434534112,2123.57738773023,3717.8973798216593,NA,NA,NA,493.57780053726367,wet year
2025,NA,299,24.0801933028808,36.40122499515054,48,81.8619030962968,49,48.1054281556139,0.04848636614503272,0.13109402595397507,100,1825.21464060101,199,75,1085.8222865223152,1335.9027926436602,124,NA,90,NA,NA,14,NA,6058.745434534112,2123.57738773023,3717.8973798216593,NA,3,NA,707.0304960955,wet year
