Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,FA_Dif_num,SP_ROC,SP_ROC_Max,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5,Mean_Ann_Flow,WY_Cat
2010,94,335,106.411682553341,366.48151194419285,NA,NA,NA,26.744046466647305,0.03026347674683752,0.16417238955055677,87,2363.91883221891,248,172,267.0065618576466,572.472738125348,76,NA,248,NA,NA,1,NA,6122.442221032502,2324.93904257709,3867.7755232060435,NA,1,NA,476.82146463504796,mod year
2011,107,346,115.6823568503305,136.6488437228037,24,242.89202585881,25,135.8802964341025,0.03074560435317625,0.101454106296558,74,1596.83440453954,272,208,551.3838736705088,1039.88900220902,64,NA,NA,NA,NA,NA,NA,6122.442221032502,2324.93904257709,3867.7755232060435,NA,NA,NA,720.479321830934,wet year
2012,108,316,79.5922000346398,106.0285094268176,NA,NA,NA,34.4864560791265,0.03236946251525456,0.12538841610426563,87,1506.48464989852,229,141,197.93454423718242,479.6252065331615,88,NA,183,NA,NA,1,NA,6122.442221032502,2324.93904257709,3867.7755232060435,NA,1,NA,423.8918269565795,mod year
2013,184,290,80.3106695726823,96.07858653482285,1,120.627789676125,56,40.44291225439821,0.02774931004729349,0.08074432892584678,69,881.263285072727,221,162,385.1506759252438,528.987140341783,59,NA,66,NA,NA,1,NA,6122.442221032502,2324.93904257709,3867.7755232060435,NA,1,NA,357.5327866521997,dry year
2014,274,218,103.604607979129,708.7940877708213,NA,NA,NA,0,0.021220726033051255,0.042442461201684954,26,428.308826635953,192,83,91.44078369504066,410.5770626901385,109,NA,NA,NA,NA,NA,NA,6122.442221032502,2324.93904257709,3867.7755232060435,NA,NA,NA,188.5243171856612,dry year
2015,278,193,97.9304279845541,362.24170989489403,12,359.986072207225,54,254.27052593507648,0.03615257112724239,0.36125215474392935,63,6247.69549633217,130,3,951.4601038497026,1574.711073764025,127,130,130,130,1,4,2,6122.442221032502,2324.93904257709,3867.7755232060435,1,1,1,410.00572754094554,mod year
2016,135,299,118.792125940635,594.336665506654,13,332.801982103593,71,233.4482279477744,0.03248418516092709,0.10903915387943044,104,1932.67688544236,195,89,963.506157398752,1362.62520478957,106,NA,116,NA,NA,9,NA,6122.442221032502,2324.93904257709,3867.7755232060435,NA,4,NA,626.882512859831,wet year
2017,102,312,107.39986377143,157.1480697320768,17,316.904479933697,18,195.2116178923635,0.04054787723057243,0.1405203304893452,95,2337.50006898431,217,148,860.0600893842462,1478.07003576349,69,133,90,132,1,25,3,6122.442221032502,2324.93904257709,3867.7755232060435,1,6,1,1039.7265187844757,wet year
2018,160,281,73.5870390481263,111.407068874486,1,184.454925715916,44,75.9946450660185,0.030013736162202664,0.06623614311870796,63,585.898360766377,218,169,207.08142141664803,344.937246059672,49,NA,NA,NA,NA,NA,NA,6122.442221032502,2324.93904257709,3867.7755232060435,NA,NA,NA,274.6317788369444,dry year
2019,168,312,89.8084960627206,180.87770529210184,NA,NA,NA,0,0.031256055535060355,0.16448477385964516,91,1630.89621810025,221,145,279.092216064148,801.0520074851886,76,NA,191,NA,NA,1,NA,6122.442221032502,2324.93904257709,3867.7755232060435,NA,1,NA,560.1283923050879,mod year
2020,151,290,66.22355090518349,94.49290854034423,22,198.514254520068,69,108.25651829255949,0.027545412140109346,0.06395485156579438,46,482.6793938531,244,129,221.5570087757466,282.5032715799535,115,NA,NA,NA,NA,NA,NA,6122.442221032502,2324.93904257709,3867.7755232060435,NA,NA,NA,204.79520272447053,dry year
2021,182,279,88.2406474788763,256.4020006877814,NA,NA,NA,3.7350573649789,0.024857532735016036,0.06492450196513852,52,487.070960682807,227,151,105.46867631475709,308.842830229772,76,NA,NA,NA,NA,NA,NA,6122.442221032502,2324.93904257709,3867.7755232060435,NA,NA,NA,196.33496825951937,dry year
2022,146,295,69.1112728972056,108.90500593263641,12,148.916754717295,28,59.65631040141798,0.02764940666847565,0.08079525703096964,47,469.421025397706,248,152,268.25258428642877,320.360968340519,96,NA,NA,NA,NA,NA,NA,6122.442221032502,2324.93904257709,3867.7755232060435,NA,NA,NA,235.2391719276875,dry year
2023,131,323,96.26806157530135,187.34242576506713,NA,NA,NA,0,0.031139023218922313,0.10042446765137358,81,1821.82480045301,242,166,373.43777047881844,731.035019656536,76,NA,NA,NA,NA,NA,NA,6122.442221032502,2324.93904257709,3867.7755232060435,NA,NA,NA,523.9600150086791,mod year
2024,181,308,108.896923615269,1300.9926627470354,5,206.096423832117,68,108.93066874128522,0.03221005989119963,0.10416384593749295,78,1936.72213147175,230,141,529.3721928298551,939.3709533276981,89,NA,NA,NA,NA,NA,NA,6122.442221032502,2324.93904257709,3867.7755232060435,NA,NA,NA,572.0958999848434,wet year
2025,NA,305,109.558505475998,144.390403576115,41,173.482200970369,49,62.055306425614006,0.03156157409790829,0.11696991482073625,83,1839.65543729106,222,98,1146.080662943868,1517.42279569953,124,NA,90,NA,NA,10,NA,6122.442221032502,2324.93904257709,3867.7755232060435,NA,3,NA,803.0114032038297,wet year
