Year,DS_Dur_WS,DS_Tim,DS_Mag_50,DS_Mag_90,FA_Dur,FA_Mag,FA_Tim,FA_Dif_num,SP_ROC,SP_ROC_Max,SP_Dur,SP_Mag,SP_Tim,Wet_BFL_Dur,Wet_BFL_Mag_10,Wet_BFL_Mag_50,Wet_Tim,Peak_Tim_10,Peak_Tim_2,Peak_Tim_5,Peak_Dur_10,Peak_Dur_2,Peak_Dur_5,Peak_10,Peak_2,Peak_5,Peak_Fre_10,Peak_Fre_2,Peak_Fre_5,Mean_Ann_Flow,WY_Cat
2010,115,314,70.03507842067654,276.0403605749255,20,81.8829733633287,72,50.3605843539602,0.05811508683203837,0.2691450188876053,66,2069.32318724488,248,145,419.70555662362847,571.9564859279725,103,NA,NA,NA,NA,NA,NA,6090.283066890497,2083.40797612534,3657.732877468569,NA,NA,NA,392.59450163047785,mod year
2011,106,346,104.470193350591,132.59416532576262,12,333.983964817573,39,259.30186046156473,0.048230022421365704,0.16610514114154773,81,1391.29670860121,265,201,528.8856311115718,962.080143797696,64,NA,NA,NA,NA,NA,NA,6090.283066890497,2083.40797612534,3657.732877468569,NA,NA,NA,643.8888570488588,wet year
2012,186,295,36.1046677103595,507.15369229728776,NA,NA,NA,0,0.05858542217630058,0.14096146833259907,66,1348.15150496671,229,142,199.4672322471978,425.480097304275,87,NA,183,NA,NA,1,NA,6090.283066890497,2083.40797612534,3657.732877468569,NA,1,NA,360.1552586464484,mod year
2013,173,268,24.32967466543425,69.09365725475078,52,99.4245490268422,53,62.8467583820936,0.05806086392704388,0.1879171664143512,47,660.361951534453,221,105,376.51702508113954,490.3053795109465,116,NA,NA,NA,NA,NA,NA,6090.283066890497,2083.40797612534,3657.732877468569,NA,NA,NA,282.6259204355336,dry year
2014,241,248,24.07587767893405,636.2464443822794,NA,NA,NA,0,0.04165022492857822,0.15296721626035162,68,601.205225134686,180,104,83.52206111267319,111.950342514218,76,NA,NA,NA,NA,NA,NA,6090.283066890497,2083.40797612534,3657.732877468569,NA,NA,NA,133.59349765268036,dry year
2015,269,193,29.8713584446524,221.8999656905578,53,51.413969362903,54,26.943171321564705,0.03615424214538252,0.3631650896985778,63,6198.10005246428,130,6,514.6404180001298,887.770584651948,124,130,129,130,1,6,2,6090.283066890497,2083.40797612534,3657.732877468569,1,1,1,327.0333705937937,mod year
2016,143,291,27.2554772310463,431.35423842469527,2,141.700954636169,75,111.6792505375322,0.0571210989088337,0.1342284484522695,96,1865.05829075441,195,98,460.64582936362245,1275.3652791229,97,NA,140,NA,NA,10,NA,6090.283066890497,2083.40797612534,3657.732877468569,NA,4,NA,531.9320523652569,wet year
2017,166,307,78.1810112364018,257.1271048053478,30,675.830388677887,31,646.662467126931,0.05233080453421,0.26198138876101523,90,2196.28758894421,217,148,807.5874729635594,1455.59188250862,69,133,76,132,1,33,3,6090.283066890497,2083.40797612534,3657.732877468569,1,7,1,941.8805993002817,wet year
2018,180,269,23.0345350122304,43.7521826441584,5,286.936265701901,55,208.27496069183155,0.05819647006587915,0.19987547925178473,51,447.54914812903297,218,110,253.452321074852,363.998210736529,108,NA,NA,NA,NA,NA,NA,6090.283066890497,2083.40797612534,3657.732877468569,NA,NA,NA,213.71926914307605,dry year
2019,176,296,64.7672132864537,152.90323697770322,NA,NA,NA,0,0.05667050789766221,0.1718627129497414,75,1472.71643037873,221,137,205.5951762807704,784.7037283085244,84,NA,191,NA,NA,2,NA,6090.283066890497,2083.40797612534,3657.732877468569,NA,1,NA,468.6638713757086,mod year
2020,183,271,21.473171615425052,37.22474017576865,NA,NA,NA,2.390569961056002,0.06151264579837688,0.245838915513143,40,373.222687808858,231,124,165.1179597514648,235.341549825241,107,NA,NA,NA,NA,NA,NA,6090.283066890497,2083.40797612534,3657.732877468569,NA,NA,NA,136.79713800945945,dry year
2021,206,256,27.4282321665107,179.87823973003222,NA,NA,NA,0,0.07118272638509082,0.15047525391246766,38,332.746471861777,218,129,106.3345330859729,253.56957884800698,89,NA,NA,NA,NA,NA,NA,6090.283066890497,2083.40797612534,3657.732877468569,NA,NA,NA,113.08629105615482,dry year
2022,150,291,50.5937944020563,64.6367738234487,24,44.2822091965091,25,16.280196668239952,0.03786100263496947,0.1272304504209774,53,294.167213486154,238,141,227.73695242992108,262.65135442026053,97,NA,NA,NA,NA,NA,NA,6090.283066890497,2083.40797612534,3657.732877468569,NA,NA,NA,158.5534591007787,dry year
2023,145,298,55.79442678702435,101.09629998179929,NA,NA,NA,15.722945941186353,0.06454192854932332,0.20011499767461896,56,1635.73727033548,242,166,346.2393918321232,612.593551189992,76,NA,NA,NA,NA,NA,NA,6090.283066890497,2083.40797612534,3657.732877468569,NA,NA,NA,428.9515094814321,mod year
2024,196,292,57.3206539297074,1102.1551768424583,NA,NA,NA,36.89550084270198,0.060960714672915486,0.1289461246859703,62,1687.10016422664,230,152,362.807354395056,873.613245385495,78,NA,120,NA,NA,2,NA,6090.283066890497,2083.40797612534,3657.732877468569,NA,1,NA,491.0277414595588,wet year
2025,NA,295,17.6168093919565,38.9706348049465,53,485.329015696643,54,426.97273464007753,0.05272708219397444,0.13320584306980154,96,1833.96789576343,199,76,1094.297459120714,1329.39242755517,123,NA,90,NA,NA,14,NA,6090.283066890497,2083.40797612534,3657.732877468569,NA,3,NA,700.6913347701502,wet year
